use?	name	exon	chr	strand	UCSC_start	UCSC_end	exon_start	exon_end	exon_len	intergenic_5p_start	intergenic_5p_end	intergenic_5p_len	intergenic_3p_start	intergenic_3p_end	intergenic_3p_len
Y	ENSCSAT00000010124.1	ENSCSAG00000012033.1_ex1/2	chr10	-	77371173	77373825	77371173	77373825	2653	77373826	77378778	4953	77094438	77371172	276735
Y	ENSCSAT00000009468.1	ENSCSAG00000011380.1_ex1/11	chr10	-	84761425	84764672	84761425	84764672	3248	84764673	84782720	18048	84015542	84761424	745883
Y	ENSCSAT00000008355.1	ENSCSAG00000010270.1_ex20/20	chr10	+	91389360	91389718	91389360	91389718	359	91356833	91389359	32527	91389719	91425045	35327
Y	ENSCSAT00000004285.1	ENSCSAG00000006235.1_ex2/4	chr10	+	121060546	121062906	121060546	121062906	2361	121057730	121060545	2816	121062907	121067682	4776
Y	ENSCSAT00000008871.1	ENSCSAG00000010783.1_ex1/13	chr22	-	44875291	44879611	44875291	44879611	4321	44879612	44884135	4524	44819267	44875290	56024
Y	ENSCSAT00000007291.1	ENSCSAG00000009224.1_ex2/21	chr22	+	50754709	50757341	50754709	50757341	2633	50750541	50754708	4168	50757342	50777049	19708
Y	ENSCSAT00000007844.1	ENSCSAG00000009757.1_ex8/8	chr15	+	68665061	68665258	68665061	68665258	198	68660478	68665060	4583	68665259	69181611	516353
Y	ENSCSAT00000014807.1	ENSCSAG00000016711.1_ex2/3	chr22	-	4522598	4524251	4522598	4524251	1654	4524252	4536224	11973	4522407	4522597	191
Y	ENSCSAT00000014749.1	ENSCSAG00000016664.1_ex10/10	chr22	+	5833159	5833400	5833159	5833400	242	5830159	5833158	3000	5833401	5844779	11379
Y	ENSCSAT00000014694.1	ENSCSAG00000016604.1_ex3/3	chr22	+	6135268	6136515	6135268	6136515	1248	6132364	6135267	2904	6136516	6164988	28473
Y	ENSCSAT00000004314.1	ENSCSAG00000006281.1_ex1/10	chr22	-	78406587	78406763	78406587	78406763	177	78406764	78406966	203	78050111	78406586	356476
Y	ENSCSAT00000004336.1	ENSCSAG00000006301.1_ex19/19	chr22	+	75178288	75178548	75178288	75178548	261	75172978	75178287	5310	75178549	75606752	428204
Y	ENSCSAT00000009594.1	ENSCSAG00000011508.1_ex6/6	chr15	+	41189518	41193268	41189518	41193268	3751	41186459	41189517	3059	41193269	41262086	68818
Y	ENSCSAT00000009600.1	ENSCSAG00000011515.1_ex5/5	chr15	+	40963491	40966890	40963491	40966890	3400	40958944	40963490	4547	40966891	41009752	42862
Y	ENSCSAT00000010072.1	ENSCSAG00000011987.1_ex1/20	chr15	-	35580713	35580813	35580713	35580813	101	35580814	35584938	4125	35232971	35580712	347742
Y	ENSCSAT00000010888.1	ENSCSAG00000012797.1_ex1/26	chr15	-	17059958	17063674	17059958	17063674	3717	17063675	17071548	7874	16896582	17059957	163376
Y	ENSCSAT00000012067.1	ENSCSAG00000013974.1_ex2/2	chr15	+	4337059	4337613	4337059	4337613	555	4302092	4337058	34967	4337614	4522044	184431
Y	ENSCSAT00000007004.1	ENSCSAG00000008934.1_ex1/2	chr15	-	86891382	86894221	86891382	86894221	2840	86894222	86951508	57287	86864934	86891381	26448
Y	ENSCSAT00000006679.1	ENSCSAG00000008621.1_ex1/3	chr15	-	90629329	90634444	90629329	90634444	5116	90634445	90637669	3225	90604252	90629328	25077
Y	ENSCSAT00000014211.1	ENSCSAG00000016118.1_ex1/9	chr27	-	42449618	42452654	42449618	42452654	3037	42452655	42455476	2822	42346552	42449617	103066
Y	ENSCSAT00000015225.1	ENSCSAG00000017132.1_ex9/9	chr27	+	4218855	4219122	4218855	4219122	268	4213729	4218854	5126	4219123	4891019	671897
Y	ENSCSAT00000002990.1	ENSCSAG00000004960.1_ex1/13	chr7	-	16340606	16343009	16340606	16343009	2404	16343010	16343162	153	16054378	16340605	286228
Y	ENSCSAT00000003249.1	ENSCSAG00000005216.1_ex1/2	chr7	+	1207627	1208351	1207627	1208351	725	1176650	1207626	30977	1208352	1212916	4565
Y	ENSCSAT00000002911.1	ENSCSAG00000004879.1_ex2/2	chr7	+	18988875	18989955	18988875	18989955	1081	18985516	18988874	3359	18989956	19048627	58672
Y	ENSCSAT00000002750.1	ENSCSAG00000004720.1_ex4/4	chr7	+	23578497	23582473	23578497	23582473	3977	23573704	23578496	4793	23582474	23804313	221840
Y	ENSCSAT00000002745.1	ENSCSAG00000004717.1_ex1/9	chr7	-	23989744	23989873	23989744	23989873	130	23989874	23993615	3742	23649016	23989743	340728
Y	ENSCSAT00000002628.1	ENSCSAG00000004597.1_ex3/9	chr7	+	25238330	25241508	25238330	25241508	3179	25234446	25238329	3884	25241509	25244846	3338
Y	ENSCSAT00000018117.1	ENSCSAG00000000418.1_ex1/1	chr7	-	25397384	25399766	25397384	25399766	2383	25399767	25525117	125351	25194781	25397383	202603
Y	ENSCSAT00000002038.1	ENSCSAG00000004010.1_ex1/2	chr7	-	52527746	52531861	52527746	52531861	4116	52531862	52541041	9180	52440536	52527745	87210
Y	ENSCSAT00000001830.1	ENSCSAG00000003803.1_ex49/49	chr7	+	61172063	61175519	61172063	61175519	3457	61168841	61172062	3222	61175520	61192741	17222
Y	ENSCSAT00000001821.1	ENSCSAG00000003792.1_ex1/2	chr7	-	61712062	61713461	61712062	61713461	1400	61713462	61749970	36509	61631883	61712061	80179
Y	ENSCSAT00000001661.1	ENSCSAG00000003634.1_ex1/17	chr7	+	72500263	72504478	72500263	72504478	4216	72198150	72500262	302113	72504479	72518381	13903
Y	ENSCSAT00000001584.1	ENSCSAG00000003553.1_ex5/5	chr7	+	80225737	80225757	80225737	80225757	21	80212126	80225736	13611	80225758	81052842	827085
Y	ENSCSAT00000001304.1	ENSCSAG00000003278.1_ex8/8	chr7	-	101034267	101036304	101034267	101036304	2038	101036305	101057876	21572	100978880	101034266	55387
Y	ENSCSAT00000001231.1	ENSCSAG00000003200.1_ex1/15	chr7	-	107857487	107860815	107857487	107860815	3329	107860816	107894721	33906	107079071	107857486	778416
Y	ENSCSAT00000001141.1	ENSCSAG00000003111.1_ex1/3	chr7	-	116193728	116199498	116193728	116199498	5771	116199499	116206351	6853	116092591	116193727	101137
Y	ENSCSAT00000001120.1	ENSCSAG00000003089.1_ex1/5	chr7	-	120739920	120740408	120739920	120740408	489	120740409	120747934	7526	120680468	120739919	59452
Y	ENSCSAT00000001038.1	ENSCSAG00000003012.1_ex1/8	chr7	-	130060650	130060856	130060650	130060856	207	130060857	130063849	2993	129855343	130060649	205307
Y	ENSCSAT00000015434.1	ENSCSAG00000017341.1_ex2/2	chr4	+	6177916	6178048	6177916	6178048	133	6157468	6177915	20448	6178049	6245402	67354
Y	ENSCSAT00000015253.1	ENSCSAG00000017158.1_ex1/24	chr4	-	32757683	32761570	32757683	32761570	3888	32761571	32764591	3021	32240381	32757682	517302
Y	ENSCSAT00000014856.1	ENSCSAG00000016759.1_ex3/6	chr4	-	42225722	42225900	42225722	42225900	179	42225901	42230212	4312	42225668	42225721	54
Y	ENSCSAT00000014700.1	ENSCSAG00000016605.1_ex2/2	chr4	+	50807525	50811253	50807525	50811253	3729	50796132	50807524	11393	50811254	51040932	229679
Y	ENSCSAT00000014085.1	ENSCSAG00000015992.1_ex7/7	chr4	+	60552682	60557227	60552682	60557227	4546	60535837	60552681	16845	60557228	60624838	67611
Y	ENSCSAT00000014056.1	ENSCSAG00000015963.1_ex1/7	chr4	-	61338928	61342654	61338928	61342654	3727	61342655	61349118	6464	61174249	61338927	164679
Y	ENSCSAT00000013323.1	ENSCSAG00000015226.1_ex1/9	chr4	-	73589494	73594215	73589494	73594215	4722	73594216	73604178	9963	73582267	73589493	7227
Y	ENSCSAT00000013004.1	ENSCSAG00000014909.1_ex1/4	chr4	-	77156042	77160746	77156042	77160746	4705	77160747	77163988	3242	76776187	77156041	379855
Y	ENSCSAT00000012923.1	ENSCSAG00000014835.1_ex1/11	chr4	-	78047502	78050762	78047502	78050762	3261	78050763	78060623	9861	77984328	78047501	63174
Y	ENSCSAT00000013444.1	ENSCSAG00000015350.1_ex4/4	chr23	+	2364826	2369294	2364826	2369294	4469	2358269	2364825	6557	2369295	2419033	49739
Y	ENSCSAT00000013255.1	ENSCSAG00000015159.1_ex1/8	chr23	-	6526424	6529091	6526424	6529091	2668	6529092	6533766	4675	6245746	6526423	280678
Y	ENSCSAT00000010630.1	ENSCSAG00000012587.1_ex4/4	chr23	+	43638162	43638473	43638162	43638473	312	43625248	43638161	12914	43638474	43659961	21488
Y	ENSCSAT00000008430.1	ENSCSAG00000010344.1_ex1/9	chr23	-	63637108	63637456	63637108	63637456	349	63637457	63655893	18437	63344246	63637107	292862
Y	ENSCSAT00000006994.1	ENSCSAG00000008928.1_ex6/24	chr23	+	79218587	79221144	79218587	79221144	2558	79215849	79218586	2738	79221145	79232566	11422
Y	ENSCSAT00000006524.1	ENSCSAG00000008473.1_ex1/21	chr23	-	80852330	80856061	80852330	80856061	3732	80856062	80859931	3870	80799519	80852329	52811
Y	ENSCSAT00000005575.1	ENSCSAG00000007527.1_ex2/2	chr17	+	58782743	58783663	58782743	58783663	921	58722022	58782742	60721	58783664	58803039	19376
Y	ENSCSAT00000005644.1	ENSCSAG00000007599.1_ex1/4	chr17	-	54853760	54855902	54853760	54855902	2143	54855903	54859096	3194	54798259	54853759	55501
Y	ENSCSAT00000005945.1	ENSCSAG00000007893.1_ex1/7	chr17	-	46268288	46271421	46268288	46271421	3134	46271422	46276384	4963	46216469	46268287	51819
Y	ENSCSAT00000008561.1	ENSCSAG00000010478.1_ex1/8	chr17	-	34751944	34754678	34751944	34754678	2735	34754679	34758627	3949	34729979	34751943	21965
Y	ENSCSAT00000010564.1	ENSCSAG00000012475.1_ex9/9	chr17	+	27358858	27361706	27358858	27361706	2849	27319516	27358857	39342	27361707	27551641	189935
Y	ENSCSAT00000010732.1	ENSCSAG00000012642.1_ex1/18	chr17	-	24663871	24667195	24663871	24667195	3325	24667196	24674362	7167	24623255	24663870	40616
Y	ENSCSAT00000011298.1	ENSCSAG00000013206.1_ex1/3	chr17	-	16582781	16588159	16582781	16588159	5379	16588160	16594202	6043	16438493	16582780	144288
Y	ENSCSAT00000015543.1	ENSCSAG00000017449.1_ex4/4	chr13	+	2618316	2619081	2618316	2619081	766	2573307	2618315	45009	2619082	3097289	478208
Y	ENSCSAT00000012805.1	ENSCSAG00000014711.1_ex8/8	chr13	+	68703868	68707885	68703868	68707885	4018	68696647	68703867	7221	68707886	68731268	23383
Y	ENSCSAT00000012973.1	ENSCSAG00000014881.1_ex8/8	chr13	+	66702337	66704696	66702337	66704696	2360	66685232	66702336	17105	66704697	66731854	27158
Y	ENSCSAT00000014173.1	ENSCSAG00000016078.1_ex13/13	chr13	+	55067054	55070328	55067054	55070328	3275	55062179	55067053	4875	55070329	55148110	77782
Y	ENSCSAT00000014309.1	ENSCSAG00000016217.1_ex2/3	chr13	-	52398713	52399371	52398713	52399371	659	52399372	52404761	5390	52398643	52398712	70
Y	ENSCSAT00000014728.1	ENSCSAG00000016634.1_ex1/8	chr13	-	42270158	42272173	42270158	42272173	2016	42272174	42300956	28783	42126604	42270157	143554
Y	ENSCSAT00000015198.1	ENSCSAG00000017106.1_ex1/74	chr13	-	28354587	28356819	28354587	28356819	2233	28356820	28358938	2119	27339242	28354586	1015345
Y	ENSCSAT00000015291.1	ENSCSAG00000017203.1_ex1/6	chr13	-	22597972	22598256	22597972	22598256	285	22598257	22624747	26491	22479013	22597971	118959
Y	ENSCSAT00000015307.1	ENSCSAG00000017214.1_ex1/6	chr13	-	22234011	22236783	22234011	22236783	2773	22236784	22242364	5581	22151665	22234010	82346
Y	ENSCSAT00000011548.1	ENSCSAG00000013457.1_ex1/12	chr13	-	81691774	81691987	81691774	81691987	214	81691988	81695972	3985	81308594	81691773	383180
Y	ENSCSAT00000015786.1	ENSCSAG00000017690.1_ex5/5	chr28	+	15863111	15867303	15863111	15867303	4193	15858991	15863110	4120	15867304	15874351	7048
Y	ENSCSAT00000011509.1	ENSCSAG00000013420.1_ex10/10	chr21	+	42008183	42010301	42008183	42010301	2119	41945972	42008182	62211	42010302	42207021	196720
Y	ENSCSAT00000011709.1	ENSCSAG00000013609.1_ex1/5	chr21	-	36747895	36752340	36747895	36752340	4446	36752341	36766528	14188	36734203	36747894	13692
Y	ENSCSAT00000012991.1	ENSCSAG00000014898.1_ex1/15	chr21	-	24255865	24257266	24255865	24257266	1402	24257267	24262148	4882	24184269	24255864	71596
Y	ENSCSAT00000016385.1	ENSCSAG00000018288.1_ex5/5	chr28	+	1862242	1864827	1862242	1864827	2586	1858949	1862241	3293	1864828	1894941	30114
Y	ENSCSAT00000016230.1	ENSCSAG00000018132.1_ex1/2	chr28	-	10462858	10466442	10462858	10466442	3585	10466443	10480322	13880	10369985	10462857	92873
Y	ENSCSAT00000010624.1	ENSCSAG00000012537.1_ex44/51	chr21	-	56999352	57001740	56999352	57001740	2389	57001741	57004234	2494	56995043	56999351	4309
Y	ENSCSAT00000015923.1	ENSCSAG00000017827.1_ex6/6	chr28	+	13192459	13195800	13192459	13195800	3342	13187002	13192458	5457	13195801	13201351	5551
Y	ENSCSAT00000009017.1	ENSCSAG00000010925.1_ex3/3	chr21	+	85203958	85206588	85203958	85206588	2631	85201123	85203957	2835	85206589	85214733	8145
Y	ENSCSAT00000008868.1	ENSCSAG00000010780.1_ex1/2	chr21	+	89092905	89094020	89092905	89094020	1116	87995792	89092904	1097113	89094021	89113228	19208
Y	ENSCSAT00000008334.1	ENSCSAG00000010249.1_ex2/2	chr21	-	93505255	93507056	93505255	93507056	1802	93507057	93539164	32108	93496890	93505254	8365
Y	ENSCSAT00000007972.1	ENSCSAG00000009893.1_ex11/11	chr21	+	98375050	98377096	98375050	98377096	2047	98361145	98375049	13905	98377097	98476479	99383
Y	ENSCSAT00000006970.1	ENSCSAG00000008898.1_ex1/4	chr21	-	104605591	104609191	104605591	104609191	3601	104609192	104619449	10258	104516566	104605590	89025
Y	ENSCSAT00000005060.1	ENSCSAG00000007020.1_ex1/3	chr21	-	117673144	117676102	117673144	117676102	2959	117676103	117678400	2298	117660372	117673143	12772
Y	ENSCSAT00000004554.1	ENSCSAG00000006516.1_ex2/2	chr21	+	123241148	123241481	123241148	123241481	334	123235852	123241147	5296	123241482	123288465	46984
Y	ENSCSAT00000015096.1	ENSCSAG00000017002.1_ex14/14	chr8	+	6425075	6425131	6425075	6425131	57	6414533	6425074	10542	6425132	6456909	31778
Y	ENSCSAT00000014842.1	ENSCSAG00000016743.1_ex14/14	chr8	-	15851045	15853293	15851045	15853293	2249	15853294	15907673	54380	15846085	15851044	4960
Y	ENSCSAT00000014049.1	ENSCSAG00000015956.1_ex1/9	chr8	-	25975121	25977517	25975121	25977517	2397	25977518	25980074	2557	25959092	25975120	16029
Y	ENSCSAT00000011913.1	ENSCSAG00000013824.1_ex2/2	chr8	+	66462804	66463496	66462804	66463496	693	66452405	66462803	10399	66463497	67117555	654059
Y	ENSCSAT00000010006.1	ENSCSAG00000011912.1_ex3/3	chr8	+	98082021	98082132	98082021	98082132	112	98073812	98082020	8209	98082133	98118164	36032
Y	ENSCSAT00000007997.1	ENSCSAG00000009917.1_ex1/12	chr8	-	127008618	127010905	127008618	127010905	2288	127010906	127016561	5656	126815665	127008617	192953
Y	ENSCSAT00000006275.1	ENSCSAG00000008222.1_ex1/4	chr8	-	138913807	138919494	138913807	138919494	5688	138919495	138935795	16301	138900205	138913806	13602
Y	ENSCSAT00000007880.1	ENSCSAG00000009793.1_ex4/4	chr12	+	52725680	52725710	52725680	52725710	31	52711821	52725679	13859	52725711	52741296	15586
Y	ENSCSAT00000006408.1	ENSCSAG00000008358.1_ex1/2	chr12	-	81454393	81454623	81454393	81454623	231	81454624	81467106	12483	81417780	81454392	36613
Y	ENSCSAT00000006371.1	ENSCSAG00000008347.1_ex2/26	chr12	-	81610919	81611203	81610919	81611203	285	81611204	81611791	588	81610085	81610918	834
Y	ENSCSAT00000005525.1	ENSCSAG00000007484.1_ex12/12	chr12	+	95620326	95620364	95620326	95620364	39	95590872	95620325	29454	95620365	96119166	498802
Y	ENSCSAT00000005381.1	ENSCSAG00000007339.1_ex5/5	chr12	+	98960734	98960934	98960734	98960934	201	98957129	98960733	3605	98960935	98987692	26758
Y	ENSCSAT00000005323.1	ENSCSAG00000007280.1_ex14/14	chr12	+	101347137	101349856	101347137	101349856	2720	101343770	101347136	3367	101349857	101717429	367573
Y	ENSCSAT00000005019.1	ENSCSAG00000006974.1_ex1/5	chr12	-	104904136	104910031	104904136	104910031	5896	104910032	104913701	3670	104886676	104904135	17460
Y	ENSCSAT00000004757.1	ENSCSAG00000006736.1_ex14/14	chr12	+	106633279	106633316	106633279	106633316	38	106630362	106633278	2917	106633317	106673313	39997
Y	ENSCSAT00000009175.1	ENSCSAG00000011090.1_ex1/7	chr12	-	39567851	39571384	39567851	39571384	3534	39571385	39578665	7281	39542191	39567850	25660
Y	ENSCSAT00000009851.1	ENSCSAG00000011760.1_ex1/7	chr12	-	29371208	29375809	29371208	29375809	4602	29375810	29378905	3096	29059937	29371207	311271
Y	ENSCSAT00000012550.1	ENSCSAG00000014458.1_ex2/4	chr12	-	9247463	9249628	9247463	9249628	2166	9249629	9259127	9499	9243562	9247462	3901
Y	ENSCSAT00000012924.1	ENSCSAG00000014833.1_ex2/2	chr12	+	6878710	6881991	6878710	6881991	3282	6871396	6878709	7314	6881992	7001737	119746
Y	ENSCSAT00000011627.1	ENSCSAG00000013532.1_ex15/15	chr9	+	6352126	6354932	6352126	6354932	2807	6349632	6352125	2494	6354933	6410509	55577
Y	ENSCSAT00000011582.1	ENSCSAG00000013499.1_ex1/20	chr9	-	7226294	7226435	7226294	7226435	142	7226436	7229993	3558	6923891	7226293	302403
Y	ENSCSAT00000011482.1	ENSCSAG00000013395.1_ex1/15	chr9	-	11514089	11519562	11514089	11519562	5474	11519563	11529292	9730	11220131	11514088	293958
Y	ENSCSAT00000011313.1	ENSCSAG00000013223.1_ex1/3	chr9	-	12940633	12942685	12940633	12942685	2053	12942686	12955473	12788	12856211	12940632	84422
Y	ENSCSAT00000010857.1	ENSCSAG00000012762.1_ex1/9	chr9	-	16535572	16539859	16535572	16539859	4288	16539860	16592484	52625	16501513	16535571	34059
Y	ENSCSAT00000009836.1	ENSCSAG00000011743.1_ex1/5	chr9	-	27227973	27230574	27227973	27230574	2602	27230575	27230627	53	27098903	27227972	129070
Y	ENSCSAT00000009473.1	ENSCSAG00000011392.1_ex1/23	chr9	-	33396245	33398726	33396245	33398726	2482	33398727	33402692	3966	33014673	33396244	381572
Y	ENSCSAT00000009049.1	ENSCSAG00000010963.1_ex8/8	chr9	+	38851161	38853707	38851161	38853707	2547	38848111	38851160	3050	38853708	38923144	69437
Y	ENSCSAT00000005422.1	ENSCSAG00000007379.1_ex48/48	chr9	+	71250613	71254245	71250613	71254245	3633	71244352	71250612	6261	71254246	71318638	64393
Y	ENSCSAT00000006338.1	ENSCSAG00000008285.1_ex4/4	chr9	+	61012839	61015356	61012839	61015356	2518	60999887	61012838	12952	61015357	61028461	13105
Y	ENSCSAT00000007400.1	ENSCSAG00000009325.1_ex4/4	chr9	+	52072663	52076900	52072663	52076900	4238	52069420	52072662	3243	52076901	52744394	667494
Y	ENSCSAT00000007697.1	ENSCSAG00000009619.1_ex1/12	chr9	-	47324228	47324292	47324228	47324292	65	47324293	47327372	3080	47159904	47324227	164324
Y	ENSCSAT00000004620.1	ENSCSAG00000006579.1_ex1/9	chr9	-	85331465	85331693	85331465	85331693	229	85331694	85346281	14588	85257226	85331464	74239
Y	ENSCSAT00000003351.1	ENSCSAG00000005318.1_ex2/10	chr9	-	96931886	96932083	96931886	96932083	198	96932084	96935362	3279	96926009	96931885	5877
Y	ENSCSAT00000002821.1	ENSCSAG00000004789.1_ex1/5	chr9	-	110805021	110809652	110805021	110809652	4632	110809653	110812576	2924	110549768	110805020	255253
Y	ENSCSAT00000008039.1	ENSCSAG00000009953.1_ex6/6	chr1	+	1123770	1125045	1123770	1125045	1276	1119244	1123769	4526	1125046	1159426	34381
Y	ENSCSAT00000002402.1	ENSCSAG00000004376.1_ex1/5	chr1	-	57862897	57863739	57862897	57863739	843	57863740	57866687	2948	57824576	57862896	38321
Y	ENSCSAT00000003468.1	ENSCSAG00000005433.1_ex1/17	chr1	-	30039748	30043135	30039748	30043135	3388	30043136	30046545	3410	30004770	30039747	34978
Y	ENSCSAT00000003504.1	ENSCSAG00000005470.1_ex1/5	chr1	-	29464089	29464160	29464089	29464160	72	29464161	29494510	30350	29390783	29464088	73306
Y	ENSCSAT00000003511.1	ENSCSAG00000005478.1_ex1/8	chr1	-	28771792	28774661	28771792	28774661	2870	28774662	28780497	5836	28724701	28771791	47091
Y	ENSCSAT00000007447.1	ENSCSAG00000009403.1_ex9/9	chr1	+	4101146	4101717	4101146	4101717	572	4095290	4101145	5856	4101718	4424206	322489
Y	ENSCSAT00000001934.1	ENSCSAG00000003902.1_ex15/15	chr1	+	67349683	67353166	67349683	67353166	3484	67337258	67349682	12425	67353167	67505459	152293
Y	ENSCSAT00000001918.1	ENSCSAG00000003894.1_ex1/5	chr1	-	67564076	67566007	67564076	67566007	1932	67566008	67567416	1409	67491293	67564075	72783
Y	ENSCSAT00000001496.1	ENSCSAG00000003469.1_ex1/11	chr1	-	84398026	84398334	84398026	84398334	309	84398335	84400978	2644	84010740	84398025	387286
