use?	name	exon	chr	strand	UCSC_start	UCSC_end	exon_start	exon_end	exon_len	intergenic_5p_start	intergenic_5p_end	intergenic_5p_len	intergenic_3p_start	intergenic_3p_end	intergenic_3p_len
Y	ENSPTRT00000003067	ENSPTRG00000001692_ex1/3	chr1	-	152670433	152673569	152670433	152673569	3137	152673570	152674396	827	152605222	152670432	65211
Y	ENSPTRT00000058198	ENSPTRG00000001978_ex7/7	chr1	+	195786129	195788368	195786129	195788368	2240	195765572	195786128	20557	195788369	195955031	166663
Y	ENSPTRT00000043883	ENSPTRG00000023622_ex1/7	chr1	-	197078233	197082179	197078233	197082179	3947	197082180	197088178	5999	197036266	197078232	41967
Y	ENSPTRT00000003898	ENSPTRG00000002133_ex1/4	chr1	-	216369694	216370827	216369694	216370827	1134	216370828	216387205	16378	216346694	216369693	23000
Y	ENSPTRT00000004013	ENSPTRG00000002189_ex8/8	chr1	+	227760227	227761653	227760227	227761653	1427	227757204	227760226	3023	227761654	227792786	31133
Y	ENSPTRT00000021671	ENSPTRG00000011629_ex6/6	chr2a	+	7058985	7061434	7058985	7061434	2450	7057950	7058984	1035	7061435	7071124	9690
N	ENSPTRT00000021847	ENSPTRG00000011726_ex1/12	chr2a	-	26283896	26290686	26283896	26290686	6791	26290687	26292891	2205	26263697	26283895	20199
Y	ENSPTRT00000021848	ENSPTRG00000011727_ex8/8	chr2a	-	26539037	26541239	26539037	26541239	2203	26541240	26649665	108426	26526512	26539036	12525
Y	ENSPTRT00000021944	ENSPTRG00000011788_ex9/9	chr2a	+	29432567	29436300	29432567	29436300	3734	29429964	29432566	2603	29436301	29440622	4322
Y	ENSPTRT00000058994	ENSPTRG00000030525_ex3/3	chr2a	+	30921815	30922430	30921815	30922430	616	30910343	30921814	11472	30922431	30956544	34114
Y	ENSPTRT00000065094	ENSPTRG00000011801_ex6/6	chr2a	+	31309373	31313493	31309373	31313493	4121	31291447	31309372	17926	31313494	31620242	306749
Y	ENSPTRT00000021983	ENSPTRG00000011812_ex17/17	chr2a	+	32886232	32887643	32886232	32887643	1412	32882604	32886231	3628	32887644	32892672	5029
Y	ENSPTRT00000022122	ENSPTRG00000011890_ex16/16	chr2a	+	47260951	47261098	47260951	47261098	148	47247514	47260950	13437	47261099	47322615	61517
Y	ENSPTRT00000022336	ENSPTRG00000012004_ex13/13	chr2a	+	70061484	70061687	70061484	70061687	204	70056863	70061483	4621	70061688	70094973	33286
Y	ENSPTRT00000022345	ENSPTRG00000012011_ex18/18	chr2a	+	70744093	70748039	70744093	70748039	3947	70718002	70744092	26091	70748040	70792327	44288
Y	ENSPTRT00000022428	ENSPTRG00000012056_ex1/14	chr2a	-	74519757	74520290	74519757	74520290	534	74520291	74528462	8172	74460447	74519756	59310
Y	ENSPTRT00000022460	ENSPTRG00000012075_ex1/9	chr2a	+	75638723	75640818	75638723	75640818	2096	75593903	75638722	44820	75640819	75652267	11449
Y	ENSPTRT00000058811	ENSPTRG00000012157_ex1/4	chr2a	-	88552342	88554370	88552342	88554370	2029	88554371	88557949	3579	88531982	88552341	20360
Y	ENSPTRT00000022899	ENSPTRG00000012336_ex11/11	chr2a	+	110816898	110817067	110816898	110817067	170	110815293	110816897	1605	110817068	110875076	58009
Y	ENSPTRT00000023012	ENSPTRG00000012394_ex1/24	chr2b	-	118527120	118531968	118527120	118531968	4849	118531969	118537288	5320	118132583	118527119	394537
Y	ENSPTRT00000023256	ENSPTRG00000012547_ex3/3	chr2b	+	159427814	159429587	159427814	159429587	1774	159355098	159427813	72716	159429588	159674076	244489
Y	ENSPTRT00000023639	ENSPTRG00000012755_ex1/2	chr2b	-	197137071	197139465	197137071	197139465	2395	197139466	197144327	4862	196793191	197137070	343880
Y	ENSPTRT00000023678	ENSPTRG00000012779_ex1/12	chr2b	-	204673186	204676366	204673186	204676366	3181	204676367	204694685	18319	204316641	204673185	356545
Y	ENSPTRT00000023808	ENSPTRG00000012838_ex23/23	chr2b	+	211175266	211175624	211175266	211175624	359	211141513	211175265	33753	211175625	211211512	35888
Y	ENSPTRT00000045320	ENSPTRG00000013066_ex4/6	chr2b	+	241278403	241280763	241278403	241280763	2361	241275498	241278402	2905	241280764	241285272	4509
Y	ENSPTRT00000027268	ENSPTRG00000014583_ex1/13	chr3	-	9145339	9146922	9145339	9146922	1584	9146923	9151353	4431	9087974	9145338	57365
Y	ENSPTRT00000027418	ENSPTRG00000014656_ex1/20	chr3	+	15174539	15177064	15174539	15177064	2526	15151879	15174538	22660	15177065	15198500	21436
Y	ENSPTRT00000027488	ENSPTRG00000014696_ex8/8	chr3	+	24571774	24574298	24571774	24574298	2525	24567166	24571773	4608	24574299	25101569	527271
Y	ENSPTRT00000027680	ENSPTRG00000014808_ex1/2	chr3	-	44034944	44037242	44034944	44037242	2299	44037243	44049379	12137	43937558	44034943	97386
Y	ENSPTRT00000027695	ENSPTRG00000014815_ex11/11	chr3	+	45381392	45383401	45381392	45383401	2010	45378132	45381391	3260	45383402	45459391	75990
Y	ENSPTRT00000027714	ENSPTRG00000014822_ex4/4	chr3	+	45643711	45645801	45643711	45645801	2091	45640700	45643710	3011	45645802	45676828	31027
Y	ENSPTRT00000065779	ENSPTRG00000015180_ex16/16	chr3	+	106476592	106476824	106476592	106476824	233	106476392	106476591	200	106476825	106829250	352426
Y	ENSPTRT00000028392	ENSPTRG00000015184_ex1/19	chr3	-	109724912	109725877	109724912	109725877	966	109725878	109731688	5811	108983088	109724911	741824
Y	ENSPTRT00000047540	ENSPTRG00000015519_ex1/7	chr3	-	154380871	154384629	154380871	154384629	3759	154384630	154387139	2510	154310159	154380870	70712
Y	ENSPTRT00000028957	ENSPTRG00000015520_ex1/5	chr3	-	154605675	154606646	154605675	154606646	972	154606647	154611115	4469	154563656	154605674	42019
Y	ENSPTRT00000029012	ENSPTRG00000015550_ex22/22	chr3	+	160165016	160168391	160165016	160168391	3376	160160982	160165015	4034	160168392	160518426	350035
Y	ENSPTRT00000029140	ENSPTRG00000015629_ex26/26	chr3	+	177626908	177630438	177626908	177630438	3531	177618726	177626907	8182	177630439	177781134	150696
Y	ENSPTRT00000057970	ENSPTRG00000030030_ex1/2	chr3	-	190627840	190628424	190627840	190628424	585	190628425	190663925	35501	190440197	190627839	187643
Y	ENSPTRT00000029344	ENSPTRG00000015747_ex1/2	chr3	-	198450274	198453120	198450274	198453120	2847	198453121	198511985	58865	198419326	198450273	30948
Y	ENSPTRT00000029429	ENSPTRG00000015783_ex3/3	chr3	+	202222570	202225725	202222570	202225725	3156	202219392	202222569	3178	202225726	202261035	35310
Y	ENSPTRT00000029656	ENSPTRG00000015883_ex1/10	chr4	-	6491272	6494285	6491272	6494285	3014	6494286	6497585	3300	6430437	6491271	60835
Y	ENSPTRT00000029879	ENSPTRG00000016024_ex9/9	chr4	+	86671247	86676721	86671247	86676721	5475	86666167	86671246	5080	86676722	87329909	653188
Y	ENSPTRT00000029926	ENSPTRG00000016054_ex1/13	chr4	-	78552590	78552598	78552590	78552598	9	78552599	78552752	154	78347885	78552589	204705
Y	ENSPTRT00000030001	ENSPTRG00000016100_ex1/3	chr4	+	62628280	62630553	62628280	62630553	2274	62595070	62628279	33210	62630554	62634979	4426
Y	ENSPTRT00000030048	ENSPTRG00000016131_ex1/3	chr4	-	60117991	60119002	60117991	60119002	1012	60119003	60122360	3358	60100930	60117990	17061
Y	ENSPTRT00000060211	ENSPTRG00000031197_ex1/4	chr4	-	55445658	55449607	55445658	55449607	3950	55449608	55455696	6089	55213053	55445657	232605
Y	ENSPTRT00000030102	ENSPTRG00000016170_ex9/9	chr4	+	55012581	55016004	55012581	55016004	3424	55008791	55012580	3790	55016005	55359873	343869
N	ENSPTRT00000030136	ENSPTRG00000016190_ex8/22	chr4	-	53721447	53722329	53721447	53722329	883	53722330	53722330	1	53718600	53721446	2847
Y	ENSPTRT00000030138	ENSPTRG00000016191_ex1/3	chr4	+	53563242	53563602	53563242	53563602	361	53488026	53563241	75216	53563603	53563603	1
Y	ENSPTRT00000030393	ENSPTRG00000016332_ex1/3	chr4	-	107817414	107821377	107817414	107821377	3964	107821378	107830782	9405	107428686	107817413	388728
Y	ENSPTRT00000050131	ENSPTRG00000016382_ex46/46	chr4	+	116907446	116909721	116907446	116909721	2276	116903639	116907445	3807	116909722	116912219	2498
Y	ENSPTRT00000030477	ENSPTRG00000016384_ex1/2	chr4	-	117442665	117444064	117442665	117444064	1400	117444065	117481791	37727	117370674	117442664	71991
Y	ENSPTRT00000067874	ENSPTRG00000024046_ex1/17	chr4	+	128767102	128772277	128767102	128772277	5176	127790041	128767101	977061	128772278	128792914	20637
Y	ENSPTRT00000030573	ENSPTRG00000016444_ex5/5	chr4	+	136765782	136767218	136765782	136767218	1437	136752028	136765781	13754	136767219	138838362	2071144
Y	ENSPTRT00000030731	ENSPTRG00000016532_ex9/9	chr4	-	158697073	158699125	158697073	158699125	2053	158699126	158722321	23196	158646901	158697072	50172
Y	ENSPTRT00000030780	ENSPTRG00000016559_ex1/14	chr4	-	165644118	165644821	165644118	165644821	704	165644822	165679991	35170	165453479	165644117	190639
Y	ENSPTRT00000030832	ENSPTRG00000016591_ex1/3	chr4	-	174417918	174423632	174417918	174423632	5715	174423633	174430114	6482	174296667	174417917	121251
Y	ENSPTRT00000030854	ENSPTRG00000016607_ex2/11	chr4	-	179138660	179139330	179138660	179139330	671	179139331	179146052	6722	179138639	179138659	21
Y	ENSPTRT00000030892	ENSPTRG00000016636_ex1/8	chr4	-	188744565	188747239	188744565	188747239	2675	188747240	188751680	4441	188536290	188744564	208275
Y	ENSPTRT00000065618	ENSPTRG00000033811_ex2/2	chr5	+	6635609	6636983	6635609	6636983	1375	6614030	6635608	21579	6636984	6707095	70112
Y	ENSPTRT00000031146	ENSPTRG00000016776_ex25/25	chr5	+	82214546	82214725	82214546	82214725	180	82210814	82214545	3732	82214726	82342944	128219
Y	ENSPTRT00000031260	ENSPTRG00000016848_ex3/3	chr5	+	72074957	72076860	72074957	72076860	1904	72071408	72074956	3549	72076861	72093976	17116
Y	ENSPTRT00000031287	ENSPTRG00000016868_ex1/2	chr5	-	61388915	61392312	61388915	61392312	3398	61392313	61404512	12200	61149087	61388914	239828
Y	ENSPTRT00000031364	ENSPTRG00000016919_ex1/7	chr5	-	51324907	51325107	51324907	51325107	201	51325108	51344985	19878	51249329	51324906	75578
Y	ENSPTRT00000055696	ENSPTRG00000016927_ex25/25	chr5	+	50519660	50522862	50519660	50522862	3203	50512822	50519659	6838	50522863	50716620	193758
Y	ENSPTRT00000031562	ENSPTRG00000017026_ex9/9	chr5	+	36414707	36416937	36414707	36416937	2231	36404111	36414706	10596	36416938	36527340	110403
Y	ENSPTRT00000046825	ENSPTRG00000017053_ex4/4	chr5	+	32602580	32602651	32602580	32602651	72	32598463	32602579	4117	32602652	32995496	392845
Y	ENSPTRT00000031610	ENSPTRG00000017057_ex11/11	chr5	+	31696456	31697724	31696456	31697724	1269	31686336	31696455	10120	31697725	31834386	136662
Y	ENSPTRT00000031692	ENSPTRG00000017102_ex5/5	chr5	+	99761473	99764875	99761473	99764875	3403	99754980	99761472	6493	99764876	99811300	46425
Y	ENSPTRT00000065106	ENSPTRG00000030296_ex1/8	chr5	-	104162369	104164539	104162369	104164539	2171	104164540	104169516	4977	103862190	104162368	300179
Y	ENSPTRT00000055454	ENSPTRG00000017328_ex4/4	chr5	+	142777846	142780562	142777846	142780562	2717	142764073	142777845	13773	142780563	142801051	20489
Y	ENSPTRT00000032348	ENSPTRG00000017494_ex1/11	chr5	-	163393766	163399729	163393766	163399729	5964	163399730	163415536	15807	163364546	163393765	29220
Y	ENSPTRT00000042784	ENSPTRG00000017575_ex5/23	chr5	+	179586989	179589552	179586989	179589552	2564	179584334	179586988	2655	179589553	179601637	12085
Y	ENSPTRT00000032567	ENSPTRG00000017614_ex1/22	chr5	-	181560147	181560622	181560147	181560622	476	181560623	181564332	3710	181502445	181560146	57702
Y	ENSPTRT00000032773	ENSPTRG00000017734_ex1/2	chr6	-	13585838	13587914	13585838	13587914	2077	13587915	13608754	20840	13574261	13585837	11577
Y	ENSPTRT00000025457	ENSPTRG00000017749_ex4/4	chr6	+	17630032	17632154	17630032	17632154	2123	17626511	17630031	3521	17632155	17695429	63275
Y	ENSPTRT00000032882	ENSPTRG00000017795_ex7/7	chr6	+	26475259	26477220	26475259	26477220	1962	26470324	26475258	4935	26477221	26495458	18238
Y	ENSPTRT00000033498	ENSPTRG00000018121_ex7/7	chr6	+	38220063	38224058	38220063	38224058	3996	38215198	38220062	4865	38224059	38244765	20707
Y	ENSPTRT00000033704	ENSPTRG00000023379_ex1/10	chr6	-	45911742	45911784	45911742	45911784	43	45911785	45958509	46725	45647490	45911741	264252
Y	ENSPTRT00000033733	ENSPTRG00000018244_ex18/18	chr6	+	48723614	48723704	48723614	48723704	91	48716797	48723613	6817	48723705	48741546	17842
Y	ENSPTRT00000033819	ENSPTRG00000018296_ex4/4	chr6	+	56179429	56181806	56179429	56181806	2378	56173391	56179428	6038	56181807	56302580	120774
Y	ENSPTRT00000065002	ENSPTRG00000033954_ex5/7	chr6	+	78889322	78889334	78889322	78889334	13	78845684	78889321	43638	78889335	78889335	1
Y	ENSPTRT00000034105	ENSPTRG00000018454_ex1/8	chr6	-	106854456	106855051	106854456	106855051	596	106855052	106862282	7231	106826291	106854455	28165
Y	ENSPTRT00000034125	ENSPTRG00000018466_ex1/8	chr6	-	108981663	108983884	108981663	108983884	2222	108983885	109003637	19753	108961542	108981662	20121
Y	ENSPTRT00000034267	ENSPTRG00000018553_ex1/5	chr6	-	120826430	120827901	120826430	120827901	1472	120827902	120832831	4930	120773460	120826429	52970
Y	ENSPTRT00000034280	ENSPTRG00000018560_ex2/2	chr6	+	123505313	123508213	123505313	123508213	2901	123499810	123505312	5503	123508214	123899335	391122
Y	ENSPTRT00000034346	ENSPTRG00000018599_ex7/7	chr6	+	133570158	133572172	133570158	133572172	2015	133555959	133570157	14199	133572173	133716304	144132
Y	ENSPTRT00000034488	ENSPTRG00000018680_ex74/74	chr6	+	147391650	147393672	147391650	147393672	2023	147387175	147391649	4475	147393673	147650013	256341
Y	ENSPTRT00000034506	ENSPTRG00000018689_ex9/9	chr6	+	151731242	151731526	151731242	151731526	285	151704519	151731241	26723	151731527	151856281	124755
Y	ENSPTRT00000034507	ENSPTRG00000018690_ex7/7	chr6	+	152073584	152075634	152073584	152075634	2051	152068099	152073583	5485	152075635	152129792	54158
Y	ENSPTRT00000056737	ENSPTRG00000018724_ex1/12	chr6	-	156996916	156997280	156996916	156997280	365	156997281	157001238	3958	156479137	156996915	517779
Y	ENSPTRT00000046568	ENSPTRG00000028664_ex5/5	chr7	+	6671279	6673588	6671279	6673588	2310	6667422	6671278	3857	6673589	6682300	8712
Y	ENSPTRT00000064559	ENSPTRG00000034402_ex1/10	chr7	-	16227960	16228227	16227960	16228227	268	16228228	16293917	65690	16021592	16227959	206368
Y	ENSPTRT00000035061	ENSPTRG00000018970_ex6/6	chr7	+	21797973	21801494	21797973	21801494	3522	21783359	21797972	14614	21801495	21816031	14537
Y	ENSPTRT00000035249	ENSPTRG00000019072_ex16/16	chr7	+	34555875	34558651	34555875	34558651	2777	34550550	34555874	5325	34558652	34635491	76840
Y	ENSPTRT00000066596	ENSPTRG00000019246_ex6/6	chr7	+	65771152	65771845	65771152	65771845	694	65767521	65771151	3631	65771846	65771872	27
Y	ENSPTRT00000035749	ENSPTRG00000019320_ex1/2	chr7	-	75720184	75723637	75720184	75723637	3454	75723638	75738641	15004	75574905	75720183	145279
Y	ENSPTRT00000035882	ENSPTRG00000019389_ex8/50	chr7	+	91625081	91627469	91625081	91627469	2389	91622563	91625080	2518	91627470	91632059	4590
Y	ENSPTRT00000049139	ENSPTRG00000019463_ex1/7	chr7	-	99738542	99739126	99738542	99739126	585	99739127	99744447	5321	99731620	99738541	6922
Y	ENSPTRT00000036325	ENSPTRG00000019612_ex2/2	chr7	+	116705511	116705662	116705511	116705662	152	116702613	116705510	2898	116705663	116715251	9589
Y	ENSPTRT00000036343	ENSPTRG00000019623_ex1/6	chr7	+	120581776	120582891	120581776	120582891	1116	119649924	120581775	931852	120582892	120783245	200354
Y	ENSPTRT00000036389	ENSPTRG00000019646_ex2/2	chr7	-	125127909	125129583	125127909	125129583	1675	125129584	125158885	29302	125119601	125127908	8308
Y	ENSPTRT00000036463	ENSPTRG00000019683_ex12/12	chr7	+	130174448	130176507	130174448	130176507	2060	130169157	130174447	5291	130176508	130277375	100868
Y	ENSPTRT00000050296	ENSPTRG00000019732_ex2/5	chr7	-	136488327	136489670	136488327	136489670	1344	136489671	136499940	10270	136487516	136488326	811
Y	ENSPTRT00000055141	ENSPTRG00000028363_ex6/8	chr7	-	149748404	149749193	149748404	149749193	790	149749194	149752863	3670	149748404	149748403	0
Y	ENSPTRT00000036878	ENSPTRG00000019904_ex2/3	chr7	+	155832169	155832418	155832169	155832418	250	155825936	155832168	6233	155832419	155832704	286
N	ENSPTRT00000036980	ENSPTRG00000019946_ex14/14	chr8	+	6692771	6693399	6692771	6693399	629	6682116	6692770	10655	6693400	6727401	34002
Y	ENSPTRT00000037097	ENSPTRG00000020023_ex15/16	chr8	-	13951027	13952663	13951027	13952663	1637	13952664	13952952	289	13946040	13951026	4987
Y	ENSPTRT00000037255	ENSPTRG00000020113_ex1/9	chr8	-	24352320	24354141	24352320	24354141	1822	24354142	24357895	3754	24335972	24352319	16348
Y	ENSPTRT00000059886	ENSPTRG00000030985_ex3/3	chr8	+	69072174	69072985	69072174	69072985	812	69058932	69072173	13242	69072986	69909919	836934
Y	ENSPTRT00000059839	ENSPTRG00000020488_ex5/5	chr8	+	102258514	102258625	102258514	102258625	112	102251284	102258513	7230	102258626	102294621	35996
Y	ENSPTRT00000038084	ENSPTRG00000020595_ex1/12	chr8	-	132230276	132230556	132230276	132230556	281	132230557	132233555	2999	132186067	132230275	44209
Y	ENSPTRT00000038288	ENSPTRG00000024143_ex1/5	chr8	-	144723034	144725503	144723034	144725503	2470	144725504	144741101	15598	144666183	144723033	56851
Y	ENSPTRT00000038553	ENSPTRG00000020837_ex1/4	chr9	-	27935148	27936633	27935148	27936633	1486	27936634	27951275	14642	27919050	27935147	16098
Y	ENSPTRT00000038854	ENSPTRG00000021013_ex1/2	chr9	-	69147779	69151197	69147779	69151197	3419	69151198	69163492	12295	69110059	69147778	37720
N	ENSPTRT00000038857	ENSPTRG00000021014_ex1/26	chr9	-	69302083	69304437	69302083	69304437	2355	69304438	69310501	6064	69239834	69302082	62249
Y	ENSPTRT00000050236	ENSPTRG00000021064_ex15/15	chr9	+	83820258	83820296	83820258	83820296	39	83789126	83820257	31132	83820297	83844332	24036
Y	ENSPTRT00000039009	ENSPTRG00000021088_ex6/6	chr9	+	87605288	87608920	87605288	87608920	3633	87602049	87605287	3239	87608921	87637588	28668
Y	ENSPTRT00000039024	ENSPTRG00000021098_ex13/13	chr9	+	90051729	90052339	90051729	90052339	611	90048279	90051728	3450	90052340	90787811	735472
Y	ENSPTRT00000056475	ENSPTRG00000021118_ex1/5	chr9	-	92057562	92060044	92057562	92060044	2483	92060045	92063658	3614	92015124	92057561	42438
Y	ENSPTRT00000044963	ENSPTRG00000021155_ex1/14	chr9	-	95695008	95697715	95695008	95697715	2708	95697716	95700748	3033	95692445	95695007	2563
Y	ENSPTRT00000039179	ENSPTRG00000021186_ex8/8	chr9	+	99097734	99101018	99097734	99101018	3285	99090527	99097733	7207	99101019	99123117	22099
N	ENSPTRT00000039271	ENSPTRG00000021242_ex14/14	chr9	+	109608869	109608968	109608869	109610248	1380	109605738	109608868	3131	109610249	109859660	249412
Y	ENSPTRT00000039684	ENSPTRG00000021443_ex3/4	chr9	+	128752188	128754353	128752188	128754353	2166	128741048	128752187	11140	128754354	128757710	3357
Y	ENSPTRT00000039793	ENSPTRG00000021484_ex1/2	chr9	-	131264426	131267707	131264426	131267707	3282	131267708	131269061	1354	131144051	131264425	120375
Y	ENSPTRT00000057922	ENSPTRG00000002267_ex15/15	chr10	+	6388444	6391072	6388444	6391072	2629	6387631	6388443	813	6391073	6412365	21293
Y	ENSPTRT00000004162	ENSPTRG00000002271_ex1/21	chr10	-	7329775	7329916	7329775	7329916	142	7329917	7333549	3633	7003426	7329774	326349
Y	ENSPTRT00000004188	ENSPTRG00000002286_ex1/15	chr10	-	11729331	11732574	11729331	11732574	3244	11732575	11742755	10181	11658055	11729330	71276
Y	ENSPTRT00000004209	ENSPTRG00000002297_ex1/3	chr10	-	13219888	13221875	13219888	13221875	1988	13221876	13234871	12996	13133594	13219887	86294
Y	ENSPTRT00000004265	ENSPTRG00000002325_ex1/8	chr10	-	17227808	17228437	17227808	17228437	630	17228438	17280392	51955	17192212	17227807	35596
Y	ENSPTRT00000004378	ENSPTRG00000002385_ex1/7	chr10	-	28316175	28318712	28316175	28318712	2538	28318713	28318765	53	28180157	28316174	136018
Y	ENSPTRT00000050381	ENSPTRG00000002415_ex1/27	chr10	-	34860458	34862460	34860458	34862460	2003	34862461	34866475	4015	34467703	34860457	392755
Y	ENSPTRT00000004541	ENSPTRG00000002443_ex7/7	chr10	+	43348980	43351037	43348980	43351037	2058	43344648	43348979	4332	43351038	43434898	83861
N	ENSPTRT00000004718	ENSPTRG00000002526_ex1/21	chr10	-	58879569	58880994	58879569	58880994	1426	58880995	58887446	6452	58817200	58879568	62369
Y	ENSPTRT00000042292	ENSPTRG00000002588_ex1/5	chr10	-	69383772	69386309	69383772	69386309	2538	69386310	69399934	13625	69367579	69383771	16193
Y	ENSPTRT00000005032	ENSPTRG00000002670_ex1/4	chr10	-	78692312	78696461	78692312	78696461	4150	78696462	78700910	4449	78003203	78692311	689109
N	ENSPTRT00000043599	ENSPTRG00000002697_ex11/11	chr10	+	84626257	84631339	84626257	84631339	5083	84619505	84626256	6752	84631340	84653245	21906
Y	ENSPTRT00000005200	ENSPTRG00000002753_ex1/10	chr10	-	92363027	92363255	92363027	92363255	229	92363256	92377671	14416	92289709	92363026	73318
Y	ENSPTRT00000005552	ENSPTRG00000002919_ex1/10	chr10	-	104334898	104335196	104334898	104335196	299	104335197	104338310	3114	104320509	104334897	14389
Y	ENSPTRT00000043954	ENSPTRG00000002982_ex2/7	chr10	-	118742918	118744886	118742918	118744886	1969	118744887	118747801	2915	118742768	118742917	150
N	ENSPTRT00000006038	ENSPTRG00000003151_ex2/6	chr11	-	1316926	1317108	1316893	1317108	216	1317109	1321461	4353	1316791	1316892	102
N	ENSPTRT00000006277	ENSPTRG00000003309_ex7/8	chr11	+	6780733	6780826	6780733	6783092	2360	6774704	6780732	6029	6783093	6796134	13042
N	ENSPTRT00000006594	ENSPTRG00000003501_ex18/18	chr11	+	35509878	35513147	35509878	35513147	3270	35505946	35509877	3932	35513148	35730754	217607
Y	ENSPTRT00000006601	ENSPTRG00000003504_ex5/5	chr11	+	36094814	36096665	36094814	36096665	1852	36058650	36094813	36164	36096666	36167709	71044
Y	ENSPTRT00000055621	ENSPTRG00000003509_ex10/10	chr11	+	36757238	36760085	36757238	36760085	2848	36753794	36757237	3444	36760086	36808203	48118
Y	ENSPTRT00000007471	ENSPTRG00000004007_ex1/29	chr11	-	68762206	68767781	68762206	68767781	5576	68767782	68773915	6134	68431210	68762205	330996
Y	ENSPTRT00000007612	ENSPTRG00000004088_ex17/17	chr11	+	74520469	74521172	74520469	74521172	704	74508138	74520468	12331	74521173	74643666	122494
Y	ENSPTRT00000007616	ENSPTRG00000004091_ex1/4	chr11	-	74735121	74737052	74735121	74737052	1932	74737053	74738462	1410	74662138	74735120	72983
Y	ENSPTRT00000007782	ENSPTRG00000004171_ex1/11	chr11	-	91675893	91677055	91675893	91677055	1163	91677056	91679683	2628	91466930	91675892	208963
Y	ENSPTRT00000007819	ENSPTRG00000004191_ex2/2	chr11	+	93661077	93665355	93661077	93665355	4279	93641493	93661076	19584	93665356	93996976	331621
Y	ENSPTRT00000045962	ENSPTRG00000004748_ex16/16	chr12	+	21230364	21231276	21230364	21231276	913	21220005	21230363	10359	21231277	21238510	7234
Y	ENSPTRT00000046590	ENSPTRG00000004834_ex1/23	chr12	-	48797134	48797468	48797134	48797468	335	48797469	48817506	20038	48735588	48797133	61546
Y	ENSPTRT00000008986	ENSPTRG00000004853_ex1/22	chr12	-	43878416	43881520	43878416	43881520	3105	43881521	43887161	5641	43282883	43878415	595533
Y	ENSPTRT00000009288	ENSPTRG00000005048_ex4/4	chr12	+	34558929	34559112	34558929	34559112	184	34558928	34558928	1	34559113	34711955	152843
Y	ENSPTRT00000067935	ENSPTRG00000005162_ex7/7	chr12	+	27809309	27811444	27809309	27811444	2136	27803546	27809308	5763	27811445	28719195	907751
Y	ENSPTRT00000009500	ENSPTRG00000005165_ex10/10	chr12	+	26862082	26866732	26862082	26866732	4651	26852827	26862081	9255	26866733	26916969	50237
Y	ENSPTRT00000046438	ENSPTRG00000005170_ex2/23	chr12	-	25333690	25335042	25333690	25335042	1353	25335043	25342079	7037	25333414	25333689	276
Y	ENSPTRT00000009570	ENSPTRG00000005208_ex1/10	chr12	-	69988675	69990879	69988675	69990879	2205	69990880	69998655	7776	69983762	69988674	4913
