human_range	vervet_range	#_blocks	overlap?	human_block(s)_positions	vervet_block(s)_positions	gene_duplicates	source_listings
25739384-25744476	81912231-81914679	1	NA	(25419515, 25853401)	(81802460, 82242717)	(H, V, C)	(homo_sapiens.2+, chlorocebus_sabaeus.14-, callithrix_jacchus.NTIC01005557.1-)
25980373-25982574	81666792-81669089	1	NA	(25929299, 26254411)	(81401687, 81714790)	(H, V, C)	(homo_sapiens.2+, chlorocebus_sabaeus.14-, callithrix_jacchus.NTIC01005557.1+)
28799199-28802940	78804547-78804781	1	NA	(28767173, 28948084)	(78654093, 78836925)	(H, V, C)	(homo_sapiens.2+, chlorocebus_sabaeus.14-, callithrix_jacchus.NTIC01005557.1-)
30257433-30260033	77280509-77280695	1	NA	(30148645, 30663017)	(76854155, 77399179)	(H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.14+, callithrix_jacchus.NTIC01005557.1-)
30640117-30644225	76872888-76876934	1	NA	(30148645, 30663017)	(76854155, 77399179)	(H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.14+, callithrix_jacchus.NTIC01005557.1-)
32154374-32157637	75343326-75346698	1	NA	(32114646, 32184279)	(75315023, 75383146)	(H, V, C)	(homo_sapiens.2+, chlorocebus_sabaeus.14-, callithrix_jacchus.NTIC01005557.1-)
46184735-46187990	61026016-61026163	1	NA	(46151101, 46353001)	(60856362, 61059069)	(H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.14+, callithrix_jacchus.NTIC01005557.1+)
68577820-68580162	38540083-38540286	1	NA	(68417956, 68911589)	(38214952, 38679502)	(H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.14+, callithrix_jacchus.NTIC01005557.1+)
69245225-69249327	37877435-37881400	1	NA	(69182531, 69481582)	(37652458, 37944687)	(H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.14+, callithrix_jacchus.NTIC01005557.1+)
72942036-72945099	34221666-34221744	1	NA	(72889923, 73323981)	(33852627, 34277515)	(H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.14+, callithrix_jacchus.NTIC01005557.1-)
74046278-74048411	33230870-33233004	1	NA	(73830917, 74169651)	(33107394, 33451521)	(H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.14+, callithrix_jacchus.NTIC01005557.1+)
86603393-86605418	20555190-20557849	1	NA	(86563171, 86612121)	(20548215, 20595560)	(H, V, C)	(homo_sapiens.2+, chlorocebus_sabaeus.14-, callithrix_jacchus.NTIC01005557.1-)
109501503-109504636	13027328-13030464	2	continuous	(109504548, 109567870), (109129795, 109504547)	(13030379, 13094276), (12657889, 13030378)	(H, V), (H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.14-), (homo_sapiens.2+, chlorocebus_sabaeus.14+, callithrix_jacchus.NTIC01005557.1-)
117915478-117920396	12380291-12380363	1	NA	(117887618, 117943980)	(12362413, 12403338)	(H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.10+, callithrix_jacchus.NTIC01035500.1-)
154854727-154858352	40255062-40255646	1	NA	(154772883, 154991121)	(40169224, 40382457)	(H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.10-, callithrix_jacchus.NTIC01035500.1+)
191834305-191836717	77371173-77373825	1	NA	(191761491, 191870131)	(77292370, 77408494)	(H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.10-, callithrix_jacchus.NTIC01035500.1-)
199269500-199272672	84761425-84764672	1	NA	(198785036, 199364095)	(84281112, 84857453)	(H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.10-, callithrix_jacchus.NTIC01035500.1-)
205615456-205620162	91389360-91389718	1	NA	(205595720, 205625940)	(91366769, 91399959)	(H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.10-, callithrix_jacchus.NTIC01035500.1-)
235040888-235043247	121060546-121062906	1	NA	(234645847, 235135423)	(120686202, 121153163)	(H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.10-, callithrix_jacchus.NTIC01035500.1-)
8877196-8881459	44875291-44879611	1	NA	(8782932, 9332704)	(44779913, 45327761)	(H, V, C)	(homo_sapiens.3-, chlorocebus_sabaeus.22-, callithrix_jacchus.NTIC01006668.1-)
14818962-14821596	50754709-50757341	1	NA	(14759863, 15042940)	(50700778, 50977513)	(H, V, C)	(homo_sapiens.3-, chlorocebus_sabaeus.22-, callithrix_jacchus.NTIC01006668.1-)
23977223-23980618	68665061-68665258	1	NA	(23887565, 24384869)	(68562867, 69050886)	(H, V, C)	(homo_sapiens.3+, chlorocebus_sabaeus.15+, callithrix_jacchus.NTIC01008890.1+)
43079229-43081536	4522598-4524251	2	continuous	(43055467, 43079691), (43079692, 43156282)	(), (4522407, 4597402)	(H, C), (H, V, C)	(homo_sapiens.3-, callithrix_jacchus.NTIC01006668.1-), (homo_sapiens.3-, chlorocebus_sabaeus.22-, callithrix_jacchus.NTIC01006668.1-)
44407442-44409448	5833159-5833400	2	continuous	(44286820, 44407520), (44407521, 44421773)	(5710815, 5833238), ()	(H, V, C), (H, C)	(homo_sapiens.3+, chlorocebus_sabaeus.22+, callithrix_jacchus.NTIC01006668.1+), (homo_sapiens.3-, callithrix_jacchus.NTIC01006668.1-)
44658701-44660791	6135268-6136515	2	continuous	(44659320, 44711071), (44626886, 44659319)	(), (6103639, 6135888)	(H), (H, V, C)	(homo_sapiens.3+), (homo_sapiens.3+, chlorocebus_sabaeus.22+, callithrix_jacchus.NTIC01006668.1+)
102477443-102479841	78406587-78406763	1	NA	(102280994, 102765956)	(78099029, 78611981)	(H, V, C)	(homo_sapiens.3-, chlorocebus_sabaeus.22+, callithrix_jacchus.NTIC01006668.1-)
105655461-105659229	75178288-75178548	0	NA				
149517235-149520989	41189518-41193268	1	NA	(149117716, 149592315)	(41119115, 41592719)	(H, V, C)	(homo_sapiens.3-, chlorocebus_sabaeus.15+, callithrix_jacchus.NTIC01008890.1+)
149738470-149741718	40963491-40966890	1	NA	(149592316, 150028624)	(40667417, 41119114)	(H, V, C)	(homo_sapiens.3-, chlorocebus_sabaeus.15+, callithrix_jacchus.NTIC01008890.1+)
155180360-155183729	35580713-35580813	1	NA	(155082603, 155404967)	(35341381, 35665112)	(H, V, C)	(homo_sapiens.3-, chlorocebus_sabaeus.15+, callithrix_jacchus.NTIC01008890.1+)
172397164-172400703	17059958-17063674	1	NA	(171954815, 172496975)	(16963781, 17513504)	(H, V, C)	(homo_sapiens.3+, chlorocebus_sabaeus.15-, callithrix_jacchus.NTIC01008890.1-)
185078050-185083563	4337059-4337613	1	NA	(185051873, 185114912)	(4304316, 4368879)	(H, V, C)	(homo_sapiens.3+, chlorocebus_sabaeus.15-, callithrix_jacchus.NTIC01006668.1+)
192796815-192799650	86891382-86894221	1	NA	(192384468, 192822009)	(86487605, 86916586)	(H, V, C)	(homo_sapiens.3-, chlorocebus_sabaeus.15-, callithrix_jacchus.NTIC01006668.1-)
196584133-196589059	90629329-90634444	1	NA	(196554642, 196670503)	(90550511, 90661799)	(H, V, C)	(homo_sapiens.3+, chlorocebus_sabaeus.15-, callithrix_jacchus.NTIC01006668.1-)
6320578-6323593	42449618-42452654	1	NA	(6266687, 6465363)	(42400958, 42591409)	(H, V, C)	(homo_sapiens.4+, chlorocebus_sabaeus.27+, callithrix_jacchus.NTIC01033278.1+)
46035769-46041254	4218855-4219122	1	NA	(45846086, 46208668)	(4041578, 4413721)	(H, V, C)	(homo_sapiens.4+, chlorocebus_sabaeus.27-, callithrix_jacchus.NTIC01033278.1-)
52094880-52097305	16340606-16343009	1	NA	(51831123, 52144642)	(16292015, 16610737)	(H, V, C)	(homo_sapiens.4-, chlorocebus_sabaeus.7+, callithrix_jacchus.NTIC01033278.1+)
67753814-67756086	1207627-1208351	2	overlap	(67750145, 67772299), (67750609, 67781703)	(1193021, 1212243), ()	(H, V), (H, H, H, H, H, V)	(homo_sapiens.4-, chlorocebus_sabaeus.7+), (homo_sapiens.4+, homo_sapiens.21+, homo_sapiens.9+, homo_sapiens.9-, homo_sapiens.9-, chlorocebus_sabaeus.7+)
70480799-70482997	18988875-18989955	1	NA	(70335025, 70626972)	(18821681, 19138810)	(H, V, C)	(homo_sapiens.4+, chlorocebus_sabaeus.7+, callithrix_jacchus.NTIC01033278.1-)
75046163-75050115	23578497-23582473	1	NA	(74620485, 75070582)	(23163913, 23603227)	(H, V, C)	(homo_sapiens.4-, chlorocebus_sabaeus.7-, callithrix_jacchus.NTIC01033278.1+)
75479037-75482666	23989744-23989873	1	NA	(75070583, 75527011)	(23603228, 24037709)	(H, V, C)	(homo_sapiens.4-, chlorocebus_sabaeus.7-, callithrix_jacchus.NTIC01033278.1+)
76738761-76741926	25238330-25241508	1	NA	(76730871, 76759620)	(25230497, 25258545)	(H, V, C)	(homo_sapiens.4+, chlorocebus_sabaeus.7+, callithrix_jacchus.NTIC01033278.1-)
76894929-76897849	25397384-25399766	2	continuous	(76890812, 76896951), (76896952, 76927717)	(25392529, 25398868), (25398869, 25423679)	(H, V), (H, V, C)	(homo_sapiens.4+, chlorocebus_sabaeus.7+), (homo_sapiens.4+, chlorocebus_sabaeus.7+, callithrix_jacchus.NTIC01033278.1-)
104468306-104472366	52527746-52531861	1	NA	(104394542, 104552161)	(52457023, 52614936)	(H, V, C)	(homo_sapiens.4+, chlorocebus_sabaeus.7+, callithrix_jacchus.NTIC01033278.1-)
113381457-113383740	61172063-61175519	1	NA	(113311243, 113816242)	(61101110, 61609886)	(H, V, C)	(homo_sapiens.4+, chlorocebus_sabaeus.7+, callithrix_jacchus.NTIC01033278.1-)
113900284-113903675	61712062-61713461	1	NA	(113816243, 114108421)	(61609887, 61905488)	(H, V, C)	(homo_sapiens.4+, chlorocebus_sabaeus.7+, callithrix_jacchus.NTIC01033278.1-)
125316412-125321586	72500263-72504478	1	NA	(125066116, 125523781)	(72250537, 72717345)	(H, V, C)	(homo_sapiens.4+, chlorocebus_sabaeus.7+, callithrix_jacchus.NTIC01033278.1-)
133190141-133194610	80225737-80225757	2	continuous	(133014623, 133193830), (133193831, 133208704)	(80059772, 80229694), ()	(H, V, C), (H, V, C)	(homo_sapiens.4-, chlorocebus_sabaeus.7-, callithrix_jacchus.NTIC01033278.1+), (homo_sapiens.4-, chlorocebus_sabaeus.7-, callithrix_jacchus.NTIC01033278.1+)
154489304-154491725	101034267-101036304	2	continuous	(154491703, 154522774), (154480053, 154491702)	(), (101024508, 101036647)	(H, V, C), (H, V, C)	(homo_sapiens.4+, chlorocebus_sabaeus.7+, callithrix_jacchus.NTIC01033278.1-), (homo_sapiens.4+, chlorocebus_sabaeus.7+, callithrix_jacchus.NTIC01033278.1-)
161383892-161386449	107857487-107860815	1	NA	(161261505, 161722205)	(107741250, 108193328)	(H, V, C)	(homo_sapiens.4-, chlorocebus_sabaeus.7-, callithrix_jacchus.NTIC01033278.1+)
169986597-169992309	116193728-116199498	2	continuous	(169988157, 170005705), (169962548, 169988156)	(116195309, 116213330), (116173118, 116195308)	(H, V, C), (H, V, C)	(homo_sapiens.4-, chlorocebus_sabaeus.7-, callithrix_jacchus.NTIC01015557.1-), (homo_sapiens.4-, chlorocebus_sabaeus.7-, callithrix_jacchus.NTIC01015557.1-)
174642011-174644064	120739920-120740408	1	NA	(174632324, 174844163)	(120727722, 120927334)	(H, V, C)	(homo_sapiens.4-, chlorocebus_sabaeus.7-, callithrix_jacchus.NTIC01015557.1-)
184088706-184091382	130060650-130060856	2	continuous	(184067813, 184091261), (184091262, 184114563)	(130037774, 130060735), (130060736, 130083985)	(H, V), (H, V)	(homo_sapiens.4+, chlorocebus_sabaeus.7+), (homo_sapiens.4-, chlorocebus_sabaeus.7-)
6491218-6496721	6177916-6178048	1	NA	(6372620, 6813502)	(6059075, 6494738)	(H, V, C)	(homo_sapiens.5+, chlorocebus_sabaeus.4+, callithrix_jacchus.NTIC01011112.1+)
33523535-33527366	32757683-32761570	1	NA	(33456136, 33608706)	(32685751, 32834934)	(H, V, C)	(homo_sapiens.5+, chlorocebus_sabaeus.4+, callithrix_jacchus.NTIC01011112.1+)
43444252-43446557	42225722-42225900	1	NA	(43433560, 43453648)	(42210383, 42234515)	(H, V)	(homo_sapiens.5-, chlorocebus_sabaeus.4-)
54543179-54546586	50807525-50811253	2	continuous	(54545810, 54775161), (54519560, 54545809)	(50810159, 51031405), (50784725, 50810158)	(H, V, C), (H, V, C)	(homo_sapiens.5-, chlorocebus_sabaeus.4-, callithrix_jacchus.NTIC01011112.1-), (homo_sapiens.5-, chlorocebus_sabaeus.4-, callithrix_jacchus.NTIC01011112.1-)
64369615-64372869	60552682-60557227	1	NA	(64369614, 64373185)	(60552682, 60557175)	(H, V)	(homo_sapiens.5-, chlorocebus_sabaeus.4-)
65148736-65151945	61338928-61342654	1	NA	(64774722, 65285674)	(60959360, 61473291)	(H, V, C)	(homo_sapiens.5+, chlorocebus_sabaeus.4+, callithrix_jacchus.NTIC01011112.1+)
79373824-79376197	73589494-73594215	1	NA	(79306453, 79425308)	(73516886, 73641119)	(H, V, C)	(homo_sapiens.5-, chlorocebus_sabaeus.4-, callithrix_jacchus.NTIC01011112.1-)
83052846-83057154	77156042-77160746	1	NA	(82927487, 83111202)	(77042355, 77218152)	(H, V, C)	(homo_sapiens.5-, chlorocebus_sabaeus.4-, callithrix_jacchus.NTIC01011112.1-)
83940595-83943568	78047502-78050762	1	NA	(83735381, 84244478)	(77845747, 78343976)	(H, V, C)	(homo_sapiens.5+, chlorocebus_sabaeus.4+, callithrix_jacchus.NTIC01011112.1+)
98793085-98796494	2364826-2369294	1	NA	(98763471, 98963180)	(2334707, 2539288)	(H, V, C)	(homo_sapiens.5-, chlorocebus_sabaeus.23-, callithrix_jacchus.NTIC01011112.1-)
103086000-103088172	6526424-6529091	2	continuous	(102546967, 103087700), (103087701, 103634986)	(6014417, 6528625), (6528626, 7067797)	(H, V, C), (H, V, C)	(homo_sapiens.5-, chlorocebus_sabaeus.23-, callithrix_jacchus.NTIC01011112.1-), (homo_sapiens.5-, chlorocebus_sabaeus.23-, callithrix_jacchus.NTIC01011112.1-)
141009627-141012344	43638162-43638473	1	NA	(140927695, 141053746)	(43558807, 43683724)	(H, V, C)	(homo_sapiens.5-, chlorocebus_sabaeus.23-, callithrix_jacchus.NTIC01011112.1+)
161288429-161294428	63637108-63637456	1	NA	(161147339, 161620251)	(63506202, 63955208)	(H, V, C)	(homo_sapiens.5+, chlorocebus_sabaeus.23+, callithrix_jacchus.NTIC01011112.1-)
177209636-177212195	79218587-79221144	1	NA	(177177099, 177553555)	(79182381, 79565952)	(H, V, C)	(homo_sapiens.5+, chlorocebus_sabaeus.23+, callithrix_jacchus.NTIC01011112.1+)
179110851-179114324	80852330-80856061	1	NA	(178996385, 179124801)	(80748154, 80867237)	(H, V, C)	(homo_sapiens.5+, chlorocebus_sabaeus.23+, callithrix_jacchus.NTIC01011112.1+)
13363355-13365662	58782743-58783663	1	NA	(13326883, 13406266)	(58740846, 58823963)	(H, V)	(homo_sapiens.6-, chlorocebus_sabaeus.17+)
17291756-17293871	54853760-54855902	1	NA	(16963963, 17384098)	(54750299, 55178473)	(H, V, C)	(homo_sapiens.6-, chlorocebus_sabaeus.17+, callithrix_jacchus.NTIC01022223.1-)
25983164-25987329	46268288-46271421	2	continuous	(25923767, 25983275), (25983276, 26043286)	(46271310, 46331679), (46212023, 46271309)	(H, V, C), (H, V)	(homo_sapiens.6-, chlorocebus_sabaeus.17+, callithrix_jacchus.NTIC01022223.1-), (homo_sapiens.6+, chlorocebus_sabaeus.17-)
37390742-37394738	34751944-34754678	1	NA	(37257797, 37741210)	(34398014, 34880593)	(H, V, C)	(homo_sapiens.6+, chlorocebus_sabaeus.17-, callithrix_jacchus.NTIC01022223.1-)
44826730-44829857	27358858-27361706	1	NA	(44469759, 44867741)	(27321415, 27702729)	(H, V, C)	(homo_sapiens.6+, chlorocebus_sabaeus.17-, callithrix_jacchus.NTIC01022223.1-)
47624186-47627263	24663871-24667195	1	NA	(47466048, 47944933)	(24343612, 24830574)	(H, V, C)	(homo_sapiens.6+, chlorocebus_sabaeus.17-, callithrix_jacchus.NTIC01022223.1-)
54939706-54945099	16582781-16588159	1	NA	(54836713, 54997254)	(16538067, 16691601)	(H, V, C)	(homo_sapiens.6-, chlorocebus_sabaeus.17+, callithrix_jacchus.NTIC01022223.1+)
77923089-77927042	2618316-2619081	1	NA	(77842191, 77935885)	(2547113, 2629859)	(H, V, C)	(homo_sapiens.6+, chlorocebus_sabaeus.13+, callithrix_jacchus.NTIC01022223.1-)
105096822-105101213	68703868-68707885	1	NA	(104910975, 105382237)	(68427436, 68883806)	(H, V, C)	(homo_sapiens.6-, chlorocebus_sabaeus.13+, callithrix_jacchus.NTIC01022223.1+)
107152557-107154777	66702337-66704696	1	NA	(107044259, 107327949)	(66527063, 66802831)	(H, V, C)	(homo_sapiens.6-, chlorocebus_sabaeus.13+, callithrix_jacchus.NTIC01022223.1+)
118813449-118816294	55067054-55070328	1	NA	(118811388, 118826784)	(55056562, 55071935)	(H, V)	(homo_sapiens.6+, chlorocebus_sabaeus.13-)
121446832-121449744	52398713-52399371	1	NA	(121446803, 121488417)	(52360734, 52399400)	(H, V)	(homo_sapiens.6+, chlorocebus_sabaeus.13-)
131281530-131283535	42270158-42272173	1	NA	(131197669, 131437775)	(42121465, 42349992)	(H, V, C)	(homo_sapiens.6-, chlorocebus_sabaeus.13+, callithrix_jacchus.NTIC01022223.1+)
144850989-144853034	28354587-28356819	1	NA	(144810001, 144962040)	(28247157, 28398571)	(H, V, C)	(homo_sapiens.6-, chlorocebus_sabaeus.13+, callithrix_jacchus.NTIC01022223.1+)
149073833-149076990	22597972-22598256	1	NA	(148982601, 149197766)	(22466619, 22692251)	(H, V, C)	(homo_sapiens.6+, chlorocebus_sabaeus.13-, callithrix_jacchus.NTIC01022223.1-)
149409577-149411613	22234011-22236783	1	NA	(149305639, 149721706)	(21897784, 22345504)	(H, V, C)	(homo_sapiens.6+, chlorocebus_sabaeus.13-, callithrix_jacchus.NTIC01022223.1-)
154154483-154160040	81691774-81691987	1	NA	(153920562, 154214196)	(81452415, 81745379)	(H, V, C)	(homo_sapiens.6+, chlorocebus_sabaeus.13+, callithrix_jacchus.NTIC01022223.1-)
6652303-6658279	15863111-15867303	2	continuous	(6658230, 6692130), (6621075, 6658229)	(), ()	(H), (H)	(homo_sapiens.7-), (homo_sapiens.7+)
16087527-16091799	42008183-42010301	1	NA	(15947806, 16320729)	(41783985, 42151860)	(H, V, C)	(homo_sapiens.7-, chlorocebus_sabaeus.21+, callithrix_jacchus.NTIC01002224.1+)
21511022-21514822	36747895-36752340	1	NA	(21085777, 21574196)	(36688443, 37160050)	(H, V, C)	(homo_sapiens.7+, chlorocebus_sabaeus.21-, callithrix_jacchus.NTIC01002224.1-)
34153092-34155872	24255865-24257266	1	NA	(34009894, 34474184)	(23959090, 24402060)	(H, V, C)	(homo_sapiens.7-, chlorocebus_sabaeus.21+, callithrix_jacchus.NTIC01002224.1-)
66152208-66154568	1862242-1864827	1	NA	(66134334, 66207026)	(1843418, 1926753)	(H, V, C)	(homo_sapiens.7+, chlorocebus_sabaeus.28+, callithrix_jacchus.NTIC01011112.1+)
76326791-76330233	10462858-10466442	2	continuous	(76326801, 76390059), (76287192, 76326800)	(10462985, 10526916), ()	(H, V, C), (H, C)	(homo_sapiens.7-, chlorocebus_sabaeus.28-, callithrix_jacchus.NTIC01011112.1+), (homo_sapiens.7+, callithrix_jacchus.NTIC01011112.1-)
92000848-92003235	56999352-57001740	1	NA	(91772421, 92246788)	(56769840, 57225095)	(H, V, C)	(homo_sapiens.7+, chlorocebus_sabaeus.21-, callithrix_jacchus.NTIC01002224.1-)
99890407-99892746	13192459-13195800	2	continuous	(99828189, 99892174), (99892175, 99943684)	(13193032, 13256361), (13137149, 13193031)	(H, V), (H, V, C)	(homo_sapiens.7-, chlorocebus_sabaeus.28+), (homo_sapiens.7-, chlorocebus_sabaeus.28+, callithrix_jacchus.NTIC01011112.1-)
116505971-116508541	85203958-85206588	1	NA	(116408634, 117004122)	(85117310, 85680869)	(H, V, C)	(homo_sapiens.7+, chlorocebus_sabaeus.21+, callithrix_jacchus.NTIC01002224.1+)
120273668-120275747	89092905-89094020	1	NA	(120186274, 120668640)	(89009662, 89493822)	(H, V, C)	(homo_sapiens.7-, chlorocebus_sabaeus.21-, callithrix_jacchus.NTIC01002224.1+)
124763954-124766025	93505255-93507056	1	NA	(124342963, 124851952)	(93120310, 93602380)	(H, V, C)	(homo_sapiens.7-, chlorocebus_sabaeus.21-, callithrix_jacchus.NTIC01002224.1+)
129755018-129757082	98375050-98377096	1	NA	(129512325, 129880885)	(98122186, 98507317)	(H, V, C)	(homo_sapiens.7+, chlorocebus_sabaeus.21+, callithrix_jacchus.NTIC01002224.1-)
135926755-135930012	104605591-104609191	1	NA	(135787850, 136283794)	(104468129, 104982387)	(H, V, C)	(homo_sapiens.7-, chlorocebus_sabaeus.21-, callithrix_jacchus.NTIC01002224.1+)
149102784-149105566	117673144-117676102	1	NA	(149074480, 149124965)	()	(H)	(homo_sapiens.7-)
155084155-155087392	123241148-123241481	1	NA	(155084278, 155104768)	()	(H)	(homo_sapiens.7-)
6642994-6648505	6425075-6425131	1	NA	(6503085, 6755060)	(6284566, 6536094)	(H, V, C)	(homo_sapiens.8+, chlorocebus_sabaeus.8+, callithrix_jacchus.NTIC01003335.1+)
17753717-17755961	15851045-15853293	1	NA	(17606841, 18075527)	(15702562, 16172079)	(H, V, C)	(homo_sapiens.8-, chlorocebus_sabaeus.8-, callithrix_jacchus.NTIC01003335.1+)
27869882-27872070	25975121-25977517	1	NA	(27861892, 28379872)	(25966942, 26486507)	(H, V, C)	(homo_sapiens.8-, chlorocebus_sabaeus.8-, callithrix_jacchus.NTIC01003335.1+)
70733796-70735942	66462804-66463496	1	NA	(70646762, 71090710)	(66382473, 66798755)	(H, V, C)	(homo_sapiens.8-, chlorocebus_sabaeus.8-, callithrix_jacchus.NTIC01007779.1+)
103227989-103230305	98082021-98082132	1	NA	(103227972, 103264300)	()	(H, C)	(homo_sapiens.8-, callithrix_jacchus.NTIC01007779.1-)
132570419-132572480	127008618-127010905	1	NA	(132346427, 132877916)	(126783646, 127304434)	(H, V, C)	(homo_sapiens.8-, chlorocebus_sabaeus.8-, callithrix_jacchus.NTIC01007779.1-)
144720909-144723382	138913807-138919494	2	continuous	(144722141, 144807255), (144684066, 144722140)	(138918253, 139011565), (138884951, 138918252)	(H, V), (H, V)	(homo_sapiens.8-, chlorocebus_sabaeus.8-), (homo_sapiens.8-, chlorocebus_sabaeus.8-)
27325209-27330616	52725680-52725710	2	continuous	(27325334, 27619808), (27291788, 27325333)	(52432949, 52730992), ()	(H, V, C), (H, V)	(homo_sapiens.9-, chlorocebus_sabaeus.12+, callithrix_jacchus.NTIC01000001.1+), (homo_sapiens.9-, chlorocebus_sabaeus.12+)
70384597-70388005	81454393-81454623	1	NA	(69968535, 70443462)	(81026289, 81516075)	(H, V, C)	(homo_sapiens.9-, chlorocebus_sabaeus.12-, callithrix_jacchus.NTIC01000001.1-)
70535033-70537405	81610919-81611203	1	NA	(70443463, 70944899)	(81516076, 82003578)	(H, V, C)	(homo_sapiens.9-, chlorocebus_sabaeus.12-, callithrix_jacchus.NTIC01000001.1-)
84810542-84815708	95620326-95620364	1	NA	(84799976, 85291515)	(95610045, 96099782)	(H, V, C)	(homo_sapiens.9-, chlorocebus_sabaeus.12-, callithrix_jacchus.NTIC01000001.1-)
