#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
86	ENSCSAT00000013654.1	chr25	-	14340122	14487420	14342232	14486966	7	14340122,14381537,14402450,14405267,14449271,14483589,14486965,	14342550,14381677,14402637,14405428,14449389,14483900,14487420,	0	ENSCSAG00000015559.1	cmpl	cmpl	0,1,0,1,0,1,0,
85	ENSCSAT00000013773.1	chr25	+	12866320	13090733	12866496	13087017	7	12866320,12912219,12938414,13026409,13030140,13074445,13086772,	12866552,12912635,12938531,13026520,13030302,13074715,13090733,	0	ENSCSAG00000015679.1	cmpl	cmpl	0,2,1,1,1,1,1,
142	ENSCSAT00000008139.1	chr25	-	72728007	72755706	72728007	72755706	2	72728007,72755607,	72728133,72755706,	0	ENSCSAG00000010055.1	incmpl	incmpl	0,0,
152	ENSCSAT00000007195.1	chr25	+	83595347	83706697	83595472	83704027	11	83595347,83629805,83659098,83669722,83671822,83672665,83680130,83680324,83685129,83697810,83703821,	83595604,83630235,83659304,83669753,83671909,83672780,83680152,83680421,83686001,83697946,83706697,	0	ENSCSAG00000009127.1	cmpl	cmpl	0,0,1,0,1,1,2,0,1,0,1,
1232	ENSCSAT00000007022.1	chr25	+	84842382	84865186	84845325	84861201	6	84842382,84845313,84849710,84852868,84852986,84860611,	84842422,84845409,84849941,84852891,84853087,84865186,	0	ENSCSAG00000008954.1	cmpl	cmpl	-1,0,0,0,2,1,
169	ENSCSAT00000005091.1	chr14	-	100778301	100798044	100780693	100797868	6	100778301,100782906,100786285,100789472,100793088,100797525,	100780858,100782939,100786435,100789702,100793250,100798044,	0	ENSCSAG00000007051.1	cmpl	cmpl	0,0,0,1,1,0,
1209	ENSCSAT00000006683.1	chr14	+	81850478	81914679	81850478	81914679	15	81850478,81850554,81851166,81858363,81885585,81893121,81894258,81896764,81897338,81897999,81900100,81900309,81902881,81906218,81912231,	81850533,81850581,81851336,81858514,81885686,81893248,81894402,81896816,81897391,81898005,81900125,81900434,81902987,81906936,81914679,	0	ENSCSAG00000008663.1	incmpl	cmpl	0,1,1,0,1,0,1,1,2,1,1,2,1,2,0,
1208	ENSCSAT00000006749.1	chr14	+	81666792	81717508	81667535	81715111	8	81666792,81693366,81694146,81695443,81698010,81714026,81714611,81715017,	81669089,81693468,81694269,81695562,81698127,81714135,81714784,81717508,	0	ENSCSAG00000008688.1	cmpl	cmpl	0,0,0,0,2,2,0,2,
1186	ENSCSAT00000008728.1	chr14	-	78804547	78852682	78804676	78852348	8	78804547,78810290,78815656,78820200,78822347,78825101,78827166,78852296,	78804781,78810425,78815808,78820272,78822452,78825332,78827298,78852682,	0	ENSCSAG00000010645.1	cmpl	cmpl	0,0,1,1,1,1,1,0,
1174	ENSCSAT00000009198.1	chr14	-	77280509	77306518	77280509	77306518	3	77280509,77303798,77306492,	77280695,77303901,77306518,	0	ENSCSAG00000011112.1	incmpl	cmpl	0,2,0,
146	ENSCSAT00000009212.1	chr14	-	76872888	77089486	76876431	76998043	7	76872888,76956285,76962138,76990293,76997878,77072786,77089404,	76876934,76956402,76962285,76990492,76998047,77072955,77089486,	0	ENSCSAG00000011124.1	cmpl	cmpl	1,1,1,0,0,-1,-1,
144	ENSCSAT00000009593.1	chr14	-	75343326	75429139	75346575	75428966	17	75343326,75348669,75351110,75352949,75354407,75362909,75363133,75363460,75368582,75370446,75381609,75381979,75382966,75391905,75402508,75404513,75428557,	75346698,75348710,75351181,75353029,75354450,75362989,75363225,75363536,75368654,75370521,75381703,75382113,75383154,75392001,75402592,75404600,75429139,	0	ENSCSAG00000011510.1	cmpl	cmpl	0,1,2,0,2,0,1,0,0,0,2,0,1,1,1,1,0,
131	ENSCSAT00000011451.1	chr14	-	61026016	61242343	61026016	61242343	13	61026016,61050636,61058940,61064886,61127076,61206991,61210128,61213135,61216229,61233354,61238358,61239768,61242182,	61026163,61050783,61059129,61065025,61127231,61207165,61210325,61213232,61216372,61233484,61238444,61239803,61242343,	0	ENSCSAG00000013435.1	cmpl	incmpl	0,0,0,2,0,0,1,0,1,0,1,2,0,
879	ENSCSAT00000012982.1	chr14	-	38540083	38636569	38540083	38636518	10	38540083,38549353,38569227,38577989,38584617,38591936,38592383,38601114,38614008,38636422,	38540286,38549400,38569353,38578345,38584799,38592069,38592531,38601287,38614080,38636569,	0	ENSCSAG00000014912.1	cmpl	cmpl	1,2,2,0,1,0,2,0,0,0,
109	ENSCSAT00000013063.1	chr14	-	37877435	38115938	37881139	38115569	18	37877435,37933485,37944557,37945338,37957286,37975368,38004925,38006486,38026146,38037947,38051125,38052948,38055471,38057332,38058328,38084313,38088952,38115417,	37881400,37933566,37944725,37945434,37957328,37975464,38005004,38006556,38026245,38038008,38051206,38053017,38055551,38057366,38058410,38084385,38089024,38115938,	0	ENSCSAG00000014972.1	cmpl	cmpl	0,0,0,0,0,0,2,1,1,0,0,0,1,0,2,2,2,0,
105	ENSCSAT00000013415.1	chr14	+	34095537	34221744	34095537	34221744	14	34095537,34110339,34127485,34145196,34145836,34148165,34166848,34167936,34169409,34179214,34195544,34198593,34205672,34221666,	34095642,34110408,34127563,34145223,34145891,34148191,34166902,34167993,34169475,34179305,34195660,34198679,34205790,34221744,	0	ENSCSAG00000015340.1	cmpl	cmpl	0,0,0,0,0,1,0,0,0,0,1,0,2,0,
104	ENSCSAT00000013611.1	chr14	-	33176038	33293906	33176038	33293110	12	33176038,33178600,33184509,33185498,33188443,33190396,33197609,33204834,33230870,33276527,33292807,33293823,	33177822,33178937,33184647,33185588,33188594,33190605,33197703,33204925,33233004,33276584,33293534,33293906,	0	ENSCSAG00000015514.1	cmpl	cmpl	1,0,0,0,2,0,2,1,0,0,0,-1,
741	ENSCSAT00000014442.1	chr14	+	20539286	20557849	20539886	20556766	3	20539286,20548061,20555190,	20540018,20548177,20557849,	0	ENSCSAG00000016352.1	cmpl	cmpl	0,0,2,
85	ENSCSAT00000015081.1	chr14	+	12871669	13030464	12871912	13027497	9	12871669,12896553,12923514,12944349,12956800,12961179,12973279,13015449,13027328,	12871957,12896649,12923868,12944453,12956971,12961433,12973599,13015781,13030464,	0	ENSCSAG00000016986.1	cmpl	cmpl	0,0,0,0,2,2,1,0,2,
84	ENSCSAT00000014624.1	chr10	+	12290936	12380363	12291043	12380345	24	12290936,12296419,12297949,12303810,12308313,12309158,12318226,12326278,12328806,12329186,12330389,12346974,12353550,12356950,12358471,12359531,12360828,12362309,12365195,12367351,12369563,12370987,12375425,12380291,	12291085,12296533,12298044,12303922,12308412,12309215,12318327,12326315,12328899,12329237,12330476,12347091,12353613,12357024,12358553,12359603,12360882,12362372,12365304,12367434,12369601,12371072,12375539,12380363,	0	ENSCSAG00000016529.1	cmpl	cmpl	0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,
11	ENSCSAT00000014364.1	chr10	-	24032901	24145130	24034579	24145130	2	24032901,24145079,	24035323,24145130,	0	ENSCSAG00000016269.1	cmpl	cmpl	0,0,
111	ENSCSAT00000014066.1	chr10	+	40096526	40255646	40096526	40255646	3	40096526,40107375,40255062,	40097228,40107592,40255646,	0	ENSCSAG00000015970.1	cmpl	incmpl	0,0,1,
1175	ENSCSAT00000010124.1	chr10	-	77371173	77385159	77373072	77384213	2	77371173,77383730,	77373825,77385159,	0	ENSCSAG00000012033.1	cmpl	cmpl	0,0,
19	ENSCSAT00000009468.1	chr10	-	84761425	84954361	84764210	84949095	11	84761425,84800767,84817324,84822106,84841951,84861978,84873762,84875080,84926490,84948926,84953498,	84764672,84800965,84817480,84822319,84842424,84862081,84873886,84875207,84926667,84949154,84954361,	0	ENSCSAG00000011380.1	cmpl	cmpl	0,0,0,0,1,0,2,1,1,0,-1,
19	ENSCSAT00000008355.1	chr10	+	90857459	91389718	90857614	91389718	20	90857459,90867507,90880545,90885936,90888623,90891344,90892626,90924699,90943786,90948038,90957222,90964641,91013732,91070110,91071044,91172166,91211126,91270142,91324225,91389360,	90857617,90867593,90880632,90886062,90888982,90891484,90892755,90924885,90943957,90948171,90957322,90964757,91013777,91070317,91071282,91172277,91211429,91270278,91324305,91389718,	0	ENSCSAG00000010270.1	cmpl	cmpl	0,0,2,2,2,1,0,0,0,0,1,2,1,1,1,2,2,2,0,2,
1508	ENSCSAT00000004285.1	chr10	+	121054664	121073708	121054796	121073708	4	121054664,121060546,121072457,121073483,	121054914,121062906,121072646,121073708,	0	ENSCSAG00000006235.1	cmpl	cmpl	0,1,0,0,
115	ENSCSAT00000008871.1	chr22	-	44875291	44960089	44879508	44960016	13	44875291,44888659,44900953,44904470,44914431,44915868,44930109,44933805,44935757,44943204,44944805,44955285,44959965,	44879611,44888722,44901137,44904611,44914492,44915945,44930294,44933905,44936095,44943275,44944867,44955367,44960089,	0	ENSCSAG00000010783.1	cmpl	cmpl	2,2,1,1,0,1,2,1,2,0,1,0,0,
121	ENSCSAT00000007291.1	chr22	+	50746302	50870049	50746359	50867260	21	50746302,50754709,50796757,50814906,50815076,50832482,50832910,50833708,50835328,50835921,50842165,50845318,50851819,50853312,50856120,50856615,50857250,50858204,50860260,50866670,50867223,	50746372,50757341,50796890,50814965,50815107,50832643,50833067,50833796,50835379,50835980,50842237,50845387,50851903,50853392,50856220,50856753,50857380,50858335,50860389,50866828,50870049,	0	ENSCSAG00000009224.1	cmpl	cmpl	0,1,2,0,2,0,2,0,1,1,0,0,0,0,2,0,0,1,0,0,2,
1108	ENSCSAT00000007844.1	chr15	+	68632196	68665258	68632455	68665258	8	68632196,68641398,68642868,68646484,68649617,68652602,68655683,68665061,	68632471,68641665,68642957,68646629,68650246,68652788,68655894,68665258,	0	ENSCSAG00000009757.1	cmpl	cmpl	0,1,1,0,1,0,0,1,
619	ENSCSAT00000014807.1	chr22	-	4520288	4548334	4522153	4524146	3	4520288,4522598,4548197,	4522216,4524251,4548334,	0	ENSCSAG00000016711.1	cmpl	cmpl	0,0,-1,
629	ENSCSAT00000014749.1	chr22	+	5777589	5833400	5777589	5833400	10	5777589,5780572,5786968,5792782,5818648,5822161,5822504,5826183,5827027,5833159,	5777618,5780708,5787122,5793035,5818771,5822259,5822596,5826416,5827159,5833400,	0	ENSCSAG00000016664.1	cmpl	cmpl	0,2,0,1,2,2,1,0,2,2,
631	ENSCSAT00000014694.1	chr22	+	6127828	6136515	6127828	6136515	3	6127828,6129314,6135268,	6128020,6129459,6136515,	0	ENSCSAG00000016604.1	cmpl	cmpl	0,0,1,
1183	ENSCSAT00000004314.1	chr22	-	78406587	78445935	78406587	78445935	10	78406587,78407168,78413751,78415114,78419986,78421517,78426442,78427898,78431264,78445829,	78406763,78407198,78413860,78415286,78420067,78421615,78426515,78428080,78431485,78445935,	0	ENSCSAG00000006281.1	cmpl	cmpl	1,1,0,2,2,0,2,0,1,0,
144	ENSCSAT00000004336.1	chr22	+	74961858	75178548	74963273	75178548	19	74961858,74963259,74977421,75054929,75082111,75087658,75093520,75097744,75101798,75116191,75132452,75134157,75143036,75151144,75154801,75155009,75158241,75167547,75178288,	74962132,74963441,74977672,75055076,75082268,75087780,75093658,75097832,75101930,75116395,75132638,75134523,75143131,75151291,75154896,75155141,75158382,75167667,75178548,	0	ENSCSAG00000006301.1	cmpl	cmpl	-1,0,0,2,2,0,2,2,0,0,0,0,0,2,2,1,1,1,1,
112	ENSCSAT00000009594.1	chr15	+	41052613	41193268	41052616	41189703	6	41052613,41138060,41166578,41181438,41183287,41189518,	41053047,41138197,41166781,41181572,41183400,41193268,	0	ENSCSAG00000011508.1	cmpl	cmpl	0,2,1,0,2,1,
897	ENSCSAT00000009600.1	chr15	+	40952580	40966890	40952651	40963689	5	40952580,40952808,40953594,40954222,40963491,	40952718,40952886,40953677,40954396,40966890,	0	ENSCSAG00000011515.1	cmpl	cmpl	0,1,1,0,0,
856	ENSCSAT00000010072.1	chr15	-	35580713	35633914	35580713	35633439	20	35580713,35589062,35589472,35593177,35593349,35594970,35601520,35610594,35612026,35614757,35615643,35616889,35617092,35618951,35621013,35629639,35631453,35631684,35631878,35633297,	35580813,35589139,35589568,35593243,35593483,35595090,35601579,35610698,35612107,35614856,35615772,35616983,35617229,35619053,35621148,35629705,35631572,35631780,35631959,35633914,	0	ENSCSAG00000011987.1	cmpl	cmpl	2,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,1,1,1,0,
818	ENSCSAT00000018984.1	chr15	-	30608490	30609234	30608490	30609234	1	30608490,	30609234,	0	ENSCSAG00000018894.1	cmpl	cmpl	0,
89	ENSCSAT00000010888.1	chr15	-	17059958	17428339	17063362	17356117	26	17059958,17079422,17082091,17097705,17107517,17113252,17114192,17116395,17117549,17119436,17122972,17125249,17127152,17129906,17131550,17150009,17153359,17161828,17165103,17174867,17217184,17220973,17242066,17335715,17356006,17428188,	17063674,17079550,17082258,17097918,17107798,17113402,17114306,17116568,17117655,17119555,17123044,17125388,17127239,17130081,17131675,17150063,17153498,17161888,17165255,17174926,17217466,17221217,17242143,17335791,17356145,17428339,	0	ENSCSAG00000012797.1	cmpl	cmpl	0,1,2,2,0,0,0,1,0,1,1,0,0,2,0,0,2,2,0,1,1,0,1,0,0,-1,
77	ENSCSAT00000012067.1	chr15	+	4266929	4337613	4266929	4337613	2	4266929,4337059,	4267125,4337613,	0	ENSCSAG00000013974.1	cmpl	incmpl	0,1,
155	ENSCSAT00000007004.1	chr15	-	86891382	87009025	86892956	87009005	2	86891382,87008794,	86894221,87009025,	0	ENSCSAG00000008934.1	cmpl	cmpl	1,0,
1276	ENSCSAT00000006679.1	chr15	-	90629329	90647191	90634258	90647189	3	90629329,90640894,90646976,	90634444,90641251,90647191,	0	ENSCSAG00000008621.1	cmpl	incmpl	0,0,0,
113	ENSCSAT00000014211.1	chr27	-	42449618	42598391	42452362	42598248	9	42449618,42458297,42462422,42472890,42496922,42500168,42502726,42505308,42598178,	42452654,42458389,42462592,42473055,42497100,42500281,42502892,42505406,42598391,	0	ENSCSAG00000016118.1	cmpl	cmpl	2,0,1,1,0,1,0,1,0,
9	ENSCSAT00000015225.1	chr27	+	4133160	4219122	4133581	4219122	9	4133160,4162270,4175838,4192537,4194429,4203622,4203873,4208387,4218855,	4133685,4162419,4175906,4192758,4194512,4203760,4204026,4208602,4219122,	0	ENSCSAG00000017132.1	cmpl	cmpl	0,2,1,0,2,1,1,1,0,
88	ENSCSAT00000002990.1	chr7	-	16340606	16387995	16343001	16387756	13	16340606,16343315,16351021,16353498,16356091,16357115,16359118,16363994,16365896,16375605,16377020,16377266,16387669,	16343009,16343361,16351105,16353622,16356267,16357274,16359380,16364234,16365992,16375718,16377136,16377372,16387995,	0	ENSCSAG00000004960.1	cmpl	cmpl	1,0,0,2,0,0,2,2,2,0,1,0,0,
681	ENSCSAT00000003075.1	chr7	-	12585790	12664888	12594526	12664842	25	12585790,12594515,12598240,12599495,12601176,12607014,12607488,12609049,12610251,12619410,12619637,12626985,12633470,12637419,12638733,12642587,12646153,12648433,12651705,12653160,12656928,12659699,12662678,12663767,12664729,	12587655,12594629,12598345,12599698,12601386,12607200,12607599,12609218,12610307,12619565,12619753,12627137,12633548,12637572,12638886,12642811,12646292,12648499,12651921,12653289,12657013,12659841,12662846,12663958,12664888,	0	ENSCSAG00000005042.1	cmpl	cmpl	-1,2,2,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,2,1,1,2,0,
594	ENSCSAT00000003249.1	chr7	+	1207627	1217888	1207829	1217744	2	1207627,1217480,	1208351,1217888,	0	ENSCSAG00000005216.1	cmpl	cmpl	0,0,
729	ENSCSAT00000002911.1	chr7	+	18982102	18989955	18982102	18989955	2	18982102,18988875,	18982156,18989955,	0	ENSCSAG00000004879.1	cmpl	incmpl	0,0,
764	ENSCSAT00000002750.1	chr7	+	23471943	23582473	23472167	23578582	4	23471943,23548054,23568832,23578497,	23472210,23548780,23568911,23582473,	0	ENSCSAG00000004720.1	cmpl	cmpl	0,1,1,2,
768	ENSCSAT00000002745.1	chr7	-	23989744	24025437	23989744	24025011	9	23989744,23997356,23998381,23998494,23998659,24000855,24019501,24019862,24024921,	23989873,23997477,23998408,23998553,23998704,24000934,24019617,24019982,24025437,	0	ENSCSAG00000004717.1	cmpl	cmpl	0,2,2,0,0,2,0,0,0,
777	ENSCSAT00000002628.1	chr7	+	25215231	25283214	25215296	25279147	9	25215231,25230429,25238330,25248183,25253367,25255494,25258469,25271390,25278778,	25215376,25230561,25241508,25248257,25254249,25255983,25258620,25271663,25283214,	0	ENSCSAG00000004597.1	cmpl	cmpl	0,2,2,0,2,2,2,0,0,
778	ENSCSAT00000018117.1	chr7	-	25397384	25399766	25397384	25399766	1	25397384,	25399766,	0	ENSCSAG00000000418.1	cmpl	cmpl	0,
985	ENSCSAT00000002038.1	chr7	-	52527746	52550858	52531816	52550773	2	52527746,52550221,	52531861,52550858,	0	ENSCSAG00000004010.1	cmpl	cmpl	0,0,
131	ENSCSAT00000001830.1	chr7	+	60938522	61175519	60938785	61172078	49	60938522,60943960,60966813,60988178,60990849,61022155,61026339,61026947,61029811,61031434,61039162,61044809,61047122,61047385,61055254,61064977,61068386,61069004,61073217,61078217,61078994,61082983,61084006,61092973,61101121,61103914,61107583,61108394,61120110,61121837,61122919,61125381,61126127,61128517,61132351,61133680,61136557,61138993,61140991,61143731,61151459,61153995,61155699,61158190,61160153,61163756,61163951,61165436,61172063,	60938920,60944005,60966915,60988277,60990948,61022254,61026525,61026971,61029910,61031533,61039261,61045007,61047221,61047484,61055353,61065175,61068485,61069103,61073415,61078316,61079093,61083082,61084105,61093046,61101266,61103926,61107686,61108498,61120335,61121936,61123074,61125593,61126332,61128614,61132580,61133806,61136680,61139026,61141013,61149929,61151534,61154127,61155843,61158476,61160445,61163840,61164116,61165619,61175519,	0	ENSCSAG00000003803.1	cmpl	cmpl	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,2,2,1,0,1,2,0,0,0,0,1,1,1,1,1,2,0,0,0,0,
131	ENSCSAT00000001821.1	chr7	-	61712062	61786876	61712062	61786876	2	61712062,61786478,	61713461,61786876,	0	ENSCSAG00000003792.1	incmpl	cmpl	2,0,
142	ENSCSAT00000001661.1	chr7	+	72500263	72685546	72500263	72684418	17	72500263,72586915,72594888,72596446,72602879,72604443,72625301,72638843,72640983,72656136,72660312,72668415,72669392,72671997,72673774,72679683,72682550,	72504478,72587047,72595150,72596797,72603802,72604618,72625482,72639094,72645333,72656241,72660620,72668501,72669572,72672122,72673992,72679945,72685546,	0	ENSCSAG00000003634.1	cmpl	cmpl	0,0,0,1,1,0,1,2,1,1,1,0,2,2,1,0,1,
149	ENSCSAT00000001584.1	chr7	+	80184387	80225757	80185246	80225757	5	80184387,80189449,80190050,80198208,80225737,	80187877,80189508,80190157,80198514,80225757,	0	ENSCSAG00000003553.1	cmpl	cmpl	0,0,2,1,1,
169	ENSCSAT00000001304.1	chr7	-	100867863	101036304	100867863	101036304	8	100867863,100872665,100874103,100877052,100879436,100912142,100923300,101034267,	100867907,100872765,100874291,100878069,100879673,100912374,100923492,101036304,	0	ENSCSAG00000003278.1	cmpl	cmpl	1,0,1,1,1,0,0,0,
21	ENSCSAT00000001231.1	chr7	-	107857487	108645339	107860112	108593252	15	107857487,107928627,107932801,107954963,107974173,108009976,108014264,108066433,108128212,108234442,108254588,108397434,108514958,108593126,108644552,	107860815,107928752,107932909,107955113,107974292,108010111,108014426,108066554,108128379,108234563,108254785,108397683,108514989,108593268,108645339,	0	ENSCSAG00000003200.1	cmpl	cmpl	2,0,0,0,1,1,1,0,1,0,1,1,0,0,-1,
1471	ENSCSAT00000001141.1	chr7	-	116193728	116233704	116198566	116213502	3	116193728,116213204,116233645,	116199498,116213635,116233704,	0	ENSCSAG00000003111.1	cmpl	cmpl	1,0,-1,
1506	ENSCSAT00000001120.1	chr7	-	120739920	120804796	120740129	120804783	5	120739920,120755459,120774478,120780083,120804746,	120740408,120755603,120774693,120780221,120804796,	0	ENSCSAG00000003089.1	cmpl	cmpl	0,0,1,1,0,
197	ENSCSAT00000001038.1	chr7	-	130060650	130182624	130060650	130182537	8	130060650,130066841,130082139,130086249,130087146,130095843,130123517,130182296,	130060856,130066965,130082277,130086429,130087288,130095955,130123697,130182624,	0	ENSCSAG00000003012.1	cmpl	cmpl	1,0,0,0,2,1,1,0,
78	ENSCSAT00000015434.1	chr4	+	6136036	6178048	6136233	6178048	2	6136036,6177916,	6137019,6178048,	0	ENSCSAG00000017341.1	cmpl	cmpl	0,0,
104	ENSCSAT00000015253.1	chr4	-	32757683	33129059	32761391	33128791	24	32757683,32767612,32777958,32781239,32792914,32801793,32814635,32821694,32840467,32842004,32850646,32858480,32865608,32869862,32871427,32876842,32877567,32886152,32889842,32912819,32913963,32982342,33117276,33128664,	32761570,32767772,32778102,32781416,32793067,32802912,32814846,32821821,32840606,32842249,32850767,32858614,32865778,32870008,32871520,32876987,32877711,32886302,32889967,32912903,32914160,32982487,33117638,33129059,	0	ENSCSAG00000017158.1	cmpl	cmpl	1,0,0,0,0,0,2,1,0,1,0,1,2,0,0,2,2,2,0,0,1,0,1,0,
907	ENSCSAT00000014856.1	chr4	-	42223683	42271263	42225564	42234836	6	42223683,42225563,42225722,42234524,42268180,42271085,	42224518,42225614,42225900,42234910,42268236,42271263,	0	ENSCSAG00000016759.1	cmpl	cmpl	-1,1,0,0,-1,-1,
972	ENSCSAT00000014700.1	chr4	+	50782928	50811253	50783117	50807779	2	50782928,50807525,	50784738,50811253,	0	ENSCSAG00000016605.1	cmpl	cmpl	0,1,
130	ENSCSAT00000014085.1	chr4	+	60340803	60557227	60341070	60552882	7	60340803,60376606,60387879,60389357,60500035,60518866,60552682,	60341250,60376741,60387975,60390317,60500261,60518992,60557227,	0	ENSCSAG00000015992.1	cmpl	cmpl	0,0,0,0,0,1,1,
