susannes_file_line_index	transcript	exon	chrom	exonStart	exonEnd
195	ENSCSAT00000008334.1	ENSCSAG00000010249.1_ex2/2	chr21	-	93505255	93507056
196	ENSCSAT00000007972.1	ENSCSAG00000009893.1_ex11/11	chr21	+	98375050	98377096
198	ENSCSAT00000006970.1	ENSCSAG00000008898.1_ex1/4	chr21	-	104605591	104609191
201	ENSCSAT00000005060.1	ENSCSAG00000007020.1_ex1/3	chr21	-	117673144	117676102
202	ENSCSAT00000004554.1	ENSCSAG00000006516.1_ex2/2	chr21	+	123241148	123241481
203	ENSCSAT00000015096.1	ENSCSAG00000017002.1_ex14/14	chr8	+	6425075	6425131
204	ENSCSAT00000014954.1	ENSCSAG00000016857.1_ex1/3	chr8	+	10159420	10162496
206	ENSCSAT00000014968.1	ENSCSAG00000016874.1_ex1/27	chr8	-	9305871	9305958
207	ENSCSAT00000014996.1	ENSCSAG00000016899.1_ex2/2	chr8	+	8201202	8204775
208	ENSCSAT00000015013.1	ENSCSAG00000016918.1_ex2/2	chr8	+	7686456	7689746
210	ENSCSAT00000014842.1	ENSCSAG00000016743.1_ex14/14	chr8	-	15851045	15853293
211	ENSCSAT00000014049.1	ENSCSAG00000015956.1_ex1/9	chr8	-	25975121	25977517
216	ENSCSAT00000012377.1	ENSCSAG00000014280.1_ex5/5	chr8	+	59085929	59090425
217	ENSCSAT00000011913.1	ENSCSAG00000013824.1_ex2/2	chr8	+	66462804	66463496
220	ENSCSAT00000010006.1	ENSCSAG00000011912.1_ex3/3	chr8	+	98082021	98082132
222	ENSCSAT00000007997.1	ENSCSAG00000009917.1_ex1/12	chr8	-	127008618	127010905
223	ENSCSAT00000006275.1	ENSCSAG00000008222.1_ex1/4	chr8	-	138913807	138919494
227	ENSCSAT00000007880.1	ENSCSAG00000009793.1_ex4/4	chr12	+	52725680	52725710
229	ENSCSAT00000006408.1	ENSCSAG00000008358.1_ex1/2	chr12	-	81454393	81454623
230	ENSCSAT00000006371.1	ENSCSAG00000008347.1_ex2/26	chr12	-	81610919	81611203
232	ENSCSAT00000005525.1	ENSCSAG00000007484.1_ex12/12	chr12	+	95620326	95620364
234	ENSCSAT00000005381.1	ENSCSAG00000007339.1_ex5/5	chr12	+	98960734	98960934
235	ENSCSAT00000005323.1	ENSCSAG00000007280.1_ex14/14	chr12	+	101347137	101349856
236	ENSCSAT00000005019.1	ENSCSAG00000006974.1_ex1/5	chr12	-	104904136	104910031
237	ENSCSAT00000004757.1	ENSCSAG00000006736.1_ex14/14	chr12	+	106633279	106633316
238	ENSCSAT00000009175.1	ENSCSAG00000011090.1_ex1/7	chr12	-	39567851	39571384
239	ENSCSAT00000009851.1	ENSCSAG00000011760.1_ex1/7	chr12	-	29371208	29375809
241	ENSCSAT00000012550.1	ENSCSAG00000014458.1_ex2/4	chr12	-	9247463	9249628
243	ENSCSAT00000012811.1	ENSCSAG00000014716.1_ex1/6	chr12	-	7909845	7914805
244	ENSCSAT00000012924.1	ENSCSAG00000014833.1_ex2/2	chr12	+	6878710	6881991
245	ENSCSAT00000011627.1	ENSCSAG00000013532.1_ex15/15	chr9	+	6352126	6354932
246	ENSCSAT00000011582.1	ENSCSAG00000013499.1_ex1/20	chr9	-	7226294	7226435
247	ENSCSAT00000011482.1	ENSCSAG00000013395.1_ex1/15	chr9	-	11514089	11519562
248	ENSCSAT00000011313.1	ENSCSAG00000013223.1_ex1/3	chr9	-	12940633	12942685
249	ENSCSAT00000010857.1	ENSCSAG00000012762.1_ex1/9	chr9	-	16535572	16539859
251	ENSCSAT00000009836.1	ENSCSAG00000011743.1_ex1/5	chr9	-	27227973	27230574
252	ENSCSAT00000009473.1	ENSCSAG00000011392.1_ex1/23	chr9	-	33396245	33398726
253	ENSCSAT00000009049.1	ENSCSAG00000010963.1_ex8/8	chr9	+	38851161	38853707
256	ENSCSAT00000005422.1	ENSCSAG00000007379.1_ex48/48	chr9	+	71250613	71254245
258	ENSCSAT00000006338.1	ENSCSAG00000008285.1_ex4/4	chr9	+	61012839	61015356
259	ENSCSAT00000007400.1	ENSCSAG00000009325.1_ex4/4	chr9	+	52072663	52076900
260	ENSCSAT00000007697.1	ENSCSAG00000009619.1_ex1/12	chr9	-	47324228	47324292
261	ENSCSAT00000004620.1	ENSCSAG00000006579.1_ex1/9	chr9	-	85331465	85331693
264	ENSCSAT00000003351.1	ENSCSAG00000005318.1_ex2/10	chr9	-	96931886	96932083
268	ENSCSAT00000002821.1	ENSCSAG00000004789.1_ex1/5	chr9	-	110805021	110809652
270	ENSCSAT00000008039.1	ENSCSAG00000009953.1_ex6/6	chr1	+	1123770	1125045
273	ENSCSAT00000002402.1	ENSCSAG00000004376.1_ex1/5	chr1	-	57862897	57863739
277	ENSCSAT00000003468.1	ENSCSAG00000005433.1_ex1/17	chr1	-	30039748	30043135
279	ENSCSAT00000003504.1	ENSCSAG00000005470.1_ex1/5	chr1	-	29464089	29464160
280	ENSCSAT00000003511.1	ENSCSAG00000005478.1_ex1/8	chr1	-	28771792	28774661
282	ENSCSAT00000007447.1	ENSCSAG00000009403.1_ex9/9	chr1	+	4101146	4101717
283	ENSCSAT00000001934.1	ENSCSAG00000003902.1_ex15/15	chr1	+	67349683	67353166
284	ENSCSAT00000001918.1	ENSCSAG00000003894.1_ex1/5	chr1	-	67564076	67566007
286	ENSCSAT00000001496.1	ENSCSAG00000003469.1_ex1/11	chr1	-	84398026	84398334
288	ENSCSAT00000001320.1	ENSCSAG00000003290.1_ex2/2	chr1	+	86376771	86377974
295	ENSCSAT00000006085.1	ENSCSAG00000008069.1_ex16/16	chr11	+	20540658	20540900
297	ENSCSAT00000005162.1	ENSCSAG00000007119.1_ex23/23	chr11	+	37329626	37333314
298	ENSCSAT00000004790.1	ENSCSAG00000006749.1_ex17/17	chr11	+	42115877	42118892
300	ENSCSAT00000003390.1	ENSCSAG00000005358.1_ex1/11	chr11	-	51042094	51044583
301	ENSCSAT00000002572.1	ENSCSAG00000004540.1_ex1/4	chr11	-	57597696	57600313
302	ENSCSAT00000002544.1	ENSCSAG00000004515.1_ex1/10	chr11	-	58534471	58539304
303	ENSCSAT00000002529.1	ENSCSAG00000004499.1_ex22/22	chr11	+	59850927	59851302
306	ENSCSAT00000002221.1	ENSCSAG00000004199.1_ex1/9	chr11	-	65283137	65284047
307	ENSCSAT00000002204.1	ENSCSAG00000004174.1_ex3/3	chr11	+	66007032	66007201
310	ENSCSAT00000001811.1	ENSCSAG00000003781.1_ex1/10	chr11	-	83856156	83860555
311	ENSCSAT00000001793.1	ENSCSAG00000003766.1_ex1/22	chr11	-	84989168	84989194
312	ENSCSAT00000001026.1	ENSCSAG00000002999.1_ex3/3	chr11	+	99981125	99981977
313	ENSCSAT00000016569.1	ENSCSAG00000001960.1_ex6/6	chr11	+	124084817	124087645
314	ENSCSAT00000016581.1	ENSCSAG00000001950.1_ex11/11	chr11	+	124352917	124353079
322	ENSCSAT00000015889.1	ENSCSAG00000017797.1_ex1/13	chr3	-	21022116	21022341
323	ENSCSAT00000015859.1	ENSCSAG00000017765.1_ex1/2	chr3	-	23841194	23842045
326	ENSCSAT00000015816.1	ENSCSAG00000017717.1_ex1/9	chr3	-	27225945	27228319
328	ENSCSAT00000015792.1	ENSCSAG00000017698.1_ex2/2	chr3	+	29164345	29165152
329	ENSCSAT00000015739.1	ENSCSAG00000017645.1_ex2/5	chr3	+	35428710	35428794
330	ENSCSAT00000015739.1	ENSCSAG00000017645.1_ex5/5	chr3	+	35514057	35519023
332	ENSCSAT00000015724.1	ENSCSAG00000017630.1_ex1/11	chr3	-	50590270	50593854
333	ENSCSAT00000015616.1	ENSCSAG00000017521.1_ex2/2	chr3	+	76180860	76184664
335	ENSCSAT00000015565.1	ENSCSAG00000017471.1_ex2/2	chr3	-	88071944	88074664
337	ENSCSAT00000013549.1	ENSCSAG00000015453.1_ex13/13	chr24	+	14356785	14359882
339	ENSCSAT00000013268.1	ENSCSAG00000015176.1_ex1/10	chr24	-	27314282	27317325
344	ENSCSAT00000004471.1	ENSCSAG00000006440.1_ex6/6	chr26	+	55538513	55538855
345	ENSCSAT00000004902.1	ENSCSAG00000006853.1_ex1/2	chr26	-	51313742	51314032
346	ENSCSAT00000005382.1	ENSCSAG00000007337.1_ex4/4	chr26	+	42911030	42915062
347	ENSCSAT00000009651.1	ENSCSAG00000011567.1_ex19/20	chr26	+	29901561	29901669
349	ENSCSAT00000009736.1	ENSCSAG00000011625.1_ex5/5	chr26	+	28225112	28227963
350	ENSCSAT00000012130.1	ENSCSAG00000014038.1_ex2/2	chr26	+	9748336	9749062
352	ENSCSAT00000012817.1	ENSCSAG00000014721.1_ex7/7	chr26	+	6249837	6251896
356	ENSCSAT00000014943.1	ENSCSAG00000016847.1_ex1/3	chr29	-	19632025	19635378
357	ENSCSAT00000008435.1	ENSCSAG00000010349.1_ex7/7	chr5	+	2688435	2690582
358	ENSCSAT00000007722.1	ENSCSAG00000009642.1_ex1/10	chr5	-	3641348	3645654
359	ENSCSAT00000006728.1	ENSCSAG00000008664.1_ex4/4	chr5	+	8678136	8682105
360	ENSCSAT00000006243.1	ENSCSAG00000008198.1_ex21/21	chr5	+	12031483	12031613
361	ENSCSAT00000006226.1	ENSCSAG00000008177.1_ex1/4	chr5	-	12110125	12113862
363	ENSCSAT00000006214.1	ENSCSAG00000008163.1_ex3/3	chr5	+	12686258	12690648
364	ENSCSAT00000005396.1	ENSCSAG00000007352.1_ex2/2	chr5	+	19378907	19380332
367	ENSCSAT00000004440.1	ENSCSAG00000006403.1_ex1/7	chr5	-	25494991	25495086
370	ENSCSAT00000002176.1	ENSCSAG00000004146.1_ex1/5	chr5	-	57937175	57940439
371	ENSCSAT00000012157.1	ENSCSAG00000014068.1_ex1/3	chr16	-	1102347	1105411
372	ENSCSAT00000011914.1	ENSCSAG00000013825.1_ex1/2	chr16	-	1576248	1579375
373	ENSCSAT00000011290.1	ENSCSAG00000013192.1_ex1/6	chr16	-	3742880	3746333
374	ENSCSAT00000008231.1	ENSCSAG00000010211.1_ex13/13	chr16	+	9227245	9227581
375	ENSCSAT00000007100.1	ENSCSAG00000009036.1_ex1/2	chr16	-	12835337	12835956
376	ENSCSAT00000000652.1	ENSCSAG00000002632.1_ex1/23	chr16	-	67680017	67682480
377	ENSCSAT00000000650.1	ENSCSAG00000002635.1_ex19/19	chr16	+	67659467	67659599
380	ENSCSAT00000003897.1	ENSCSAG00000005856.1_ex1/4	chr16	-	34042550	34047328
381	ENSCSAT00000002030.1	ENSCSAG00000004001.1_ex16/16	chr16	+	56946129	56950999
383	ENSCSAT00000002479.1	ENSCSAG00000004490.1_ex45/45	chr16	+	48301294	48301648
384	ENSCSAT00000000417.1	ENSCSAG00000002402.1_ex4/4	chr16	+	70235103	70235193
385	ENSCSAT00000000125.1	ENSCSAG00000002109.1_ex9/9	chr16	+	74503176	74503373
386	ENSCSAT00000015712.1	ENSCSAG00000017618.1_ex1/11	chr18	-	60088524	60088733
387	ENSCSAT00000015648.1	ENSCSAG00000017553.1_ex7/7	chr18	+	68732890	68736771
389	ENSCSAT00000015793.1	ENSCSAG00000017699.1_ex10/10	chr18	+	56941901	56944306
390	ENSCSAT00000016046.1	ENSCSAG00000017949.1_ex3/4	chr18	-	35928171	35931631
391	ENSCSAT00000016122.1	ENSCSAG00000018024.1_ex4/4	chr18	+	32022033	32024850
394	ENSCSAT00000016256.1	ENSCSAG00000018160.1_ex5/13	chr18	+	21197724	21201112
395	ENSCSAT00000016283.1	ENSCSAG00000018186.1_ex1/10	chr18	-	17382569	17385906
396	ENSCSAT00000016287.1	ENSCSAG00000018191.1_ex2/2	chr18	+	16637763	16637895
397	ENSCSAT00000016327.1	ENSCSAG00000018231.1_ex1/8	chr18	-	4844049	4846540
399	ENSCSAT00000009595.1	ENSCSAG00000011506.1_ex1/2	chr6	-	2287894	2288020
402	ENSCSAT00000003062.1	ENSCSAG00000005029.1_ex1/3	chr6	-	18457569	18458840
403	ENSCSAT00000003010.1	ENSCSAG00000004980.1_ex3/3	chr6	+	19578733	19580532
404	ENSCSAT00000003002.1	ENSCSAG00000004974.1_ex1/2	chr6	-	19710360	19714476
405	ENSCSAT00000003000.1	ENSCSAG00000004971.1_ex1/3	chr6	-	19789493	19794893
406	ENSCSAT00000002984.1	ENSCSAG00000004956.1_ex10/14	chr6	-	20200861	20201144
407	ENSCSAT00000002979.1	ENSCSAG00000004945.1_ex3/7	chr6	+	20334499	20334933
409	ENSCSAT00000002858.1	ENSCSAG00000004832.1_ex1/3	chr6	+	25494972	25497142
412	ENSCSAT00000018617.1	ENSCSAG00000018527.1_ex1/1	chr6	+	30377426	30378419
414	ENSCSAT00000002238.1	ENSCSAG00000004210.1_ex1/3	chr6	-	31307607	31308632
417	ENSCSAT00000001353.1	ENSCSAG00000003326.1_ex3/3	chr6	+	37752429	37754276
418	ENSCSAT00000001350.1	ENSCSAG00000003323.1_ex1/2	chr6	-	37767320	37769296
419	ENSCSAT00000001347.1	ENSCSAG00000003321.1_ex1/2	chr6	-	37798284	37801667
421	ENSCSAT00000001043.1	ENSCSAG00000003015.1_ex2/7	chr6	+	40264301	40268170
423	ENSCSAT00000016533.1	ENSCSAG00000001995.1_ex1/4	chr6	-	44881039	44883513
424	ENSCSAT00000016861.1	ENSCSAG00000001668.1_ex1/5	chr6	-	49002500	49007843
427	ENSCSAT00000008842.1	ENSCSAG00000010755.1_ex1/3	chr2	-	54382615	54387476
428	ENSCSAT00000011610.1	ENSCSAG00000013514.1_ex1/3	chr2	-	31348807	31351119
429	ENSCSAT00000011682.1	ENSCSAG00000013586.1_ex1/29	chr2	-	29242424	29245876
432	ENSCSAT00000008092.1	ENSCSAG00000010002.1_ex3/3	chr2	+	57458947	57462000
433	ENSCSAT00000011827.1	ENSCSAG00000013728.1_ex1/7	chr2	-	25659235	25661864
435	ENSCSAT00000012055.1	ENSCSAG00000013961.1_ex3/4	chr2	+	22571077	22574087
436	ENSCSAT00000013279.1	ENSCSAG00000015184.1_ex1/3	chr2	-	13215928	13219873
439	ENSCSAT00000008091.1	ENSCSAG00000010001.1_ex1/2	chr19	-	10652938	10655787
440	ENSCSAT00000008091.1	ENSCSAG00000010001.1_ex2/2	chr19	-	10702018	10706762
441	ENSCSAT00000003709.1	ENSCSAG00000005671.1_ex5/6	chr19	-	24742619	24748310
442	ENSCSAT00000003215.1	ENSCSAG00000005254.1_ex35/36	chr19	-	29026476	29027458
443	ENSCSAT00000003166.1	ENSCSAG00000005134.1_ex13/13	chr19	+	29681185	29684409
