name	exon	chr	strand	intergenic_5p_start	intergenic_5p_end	intergenic_3p_start	intergenic_3p_end	hard_div_5p	soft_div_5p	5p_callability	hard_div_3p	soft_div_3p	3p_callability
ENSCSAT00000004336.1	ENSCSAG00000006301.1_ex19	chr22	+	75172978	75178287	75178549	75606752	NA	NA	0	NA	NA	0
ENSCSAT00000009594.1	ENSCSAG00000011508.1_ex6	chr15	+	41186459	41189517	41193269	41262086	0.0	0.03547066848567531	2199	0.0	0.03137567826364507	62660
ENSCSAT00000009600.1	ENSCSAG00000011515.1_ex5	chr15	+	40958944	40963490	40966891	41009752	0.0	0.035705840624261055	4229	0.0	0.025313527960526317	38912
ENSCSAT00000010072.1	ENSCSAG00000011987.1_ex1	chr15	-	35580814	35584938	35232971	35580712	0.0	0.04050567595459236	3876	0.0	0.022240194096239386	296760
ENSCSAT00000010888.1	ENSCSAG00000012797.1_ex1	chr15	-	17063675	17071548	16896582	17059957	0.0	0.026265650517147524	7348	0.0	0.02505706893927865	131420
ENSCSAT00000012067.1	ENSCSAG00000013974.1_ex2	chr15	+	4302092	4337058	4337614	4522044	0.0	0.032773501282948446	25722	0.0	0.03162362230630038	151975
ENSCSAT00000007004.1	ENSCSAG00000008934.1_ex1	chr15	-	86894222	86951508	86864934	86891381	0.0	0.03798353270156905	51496	0.0	0.03658313517468447	21868
ENSCSAT00000006679.1	ENSCSAG00000008621.1_ex1	chr15	-	90634445	90637669	90604252	90629328	0.0	0.027663088356729974	2422	0.0	0.03453542220908464	20298
ENSCSAT00000014211.1	ENSCSAG00000016118.1_ex1	chr27	-	42452655	42455476	42346552	42449617	0.0	0.042711598746081506	2552	0.0	0.03808439446045171	86072
ENSCSAT00000015225.1	ENSCSAG00000017132.1_ex9	chr27	+	4213729	4218854	4219123	4891019	0.0	0.04739336492890995	4853	0.0	0.01619945381857422	543043
ENSCSAT00000002990.1	ENSCSAG00000004960.1_ex1	chr7	-	16343010	16343162	16054378	16340605	0.0	0.0196078431372549	153	0.0	0.029890740685865714	236227
ENSCSAT00000003249.1	ENSCSAG00000005216.1_ex1	chr7	+	1176650	1207626	1208352	1212916	0.0	0.0	26814	0.0	0.0	4059
ENSCSAT00000002911.1	ENSCSAG00000004879.1_ex2	chr7	+	18985516	18988874	18989956	19048627	0.0	0.034493284493284496	3276	0.0	0.030040791429987418	52462
ENSCSAT00000002750.1	ENSCSAG00000004720.1_ex4	chr7	+	23573704	23578496	23582474	23804313	0.0	0.03494975972040192	4578	0.0	0.0319741037192375	164039
ENSCSAT00000002745.1	ENSCSAG00000004717.1_ex1	chr7	-	23989874	23993615	23649016	23989743	0.0	0.03506230078238192	3451	0.0	0.03303135280135554	252003
ENSCSAT00000002628.1	ENSCSAG00000004597.1_ex3	chr7	+	25234446	25238329	25241509	25244846	0.0	0.026108927568781585	3562	0.0	0.024746192893401017	3152
ENSCSAT00000018117.1	ENSCSAG00000000418.1_ex1	chr7	-	25399767	25525117	25194781	25397383	0.0	0.030014641288433383	88790	0.0	0.01658971295728262	154855
ENSCSAT00000002038.1	ENSCSAG00000004010.1_ex1	chr7	-	52531862	52541041	52440536	52527745	0.0	0.0318161231884058	8832	0.0	0.028458773337313583	80397
ENSCSAT00000001830.1	ENSCSAG00000003803.1_ex49	chr7	+	61168841	61172062	61175520	61192741	0.0	0.037386569872958256	2755	0.0	0.031159838430467397	15597
ENSCSAT00000001821.1	ENSCSAG00000003792.1_ex1	chr7	-	61713462	61749970	61631883	61712061	0.0	0.036528450906479985	33426	0.0	0.03416396252984755	48999
ENSCSAT00000001661.1	ENSCSAG00000003634.1_ex1	chr7	+	72198150	72500262	72504479	72518381	0.0	0.02901085034622964	256766	0.0	0.032064421669106884	13660
ENSCSAT00000001584.1	ENSCSAG00000003553.1_ex5	chr7	+	80212126	80225736	80225758	81052842	0.0	0.041727791361043196	12270	0.0	0.034457786925638084	700103
ENSCSAT00000001304.1	ENSCSAG00000003278.1_ex8	chr7	-	101036305	101057876	100978880	101034266	0.0	0.031387349512707816	20932	0.0	0.03328951438292607	51728
ENSCSAT00000001231.1	ENSCSAG00000003200.1_ex1	chr7	-	107860816	107894721	107079071	107857486	0.0	0.027869465030827677	32114	0.0	0.02919022981590663	623325
ENSCSAT00000001141.1	ENSCSAG00000003111.1_ex1	chr7	-	116199499	116206351	116092591	116193727	0.0	0.040850215875124544	6022	0.0	0.03375563302440269	82327
ENSCSAT00000001120.1	ENSCSAG00000003089.1_ex1	chr7	-	120740409	120747934	120680468	120739919	0.0	0.03928077455048409	7230	0.0	0.013809812235009085	49530
ENSCSAT00000001038.1	ENSCSAG00000003012.1_ex1	chr7	-	130060857	130063849	129855343	130060649	0.0	0.0	2593	0.0	0.03198882028942786	183189
ENSCSAT00000015434.1	ENSCSAG00000017341.1_ex2	chr4	+	6157468	6177915	6178049	6245402	0.0	0.03581595155530252	19321	0.0	0.0366705052540665	55576
ENSCSAT00000015253.1	ENSCSAG00000017158.1_ex1	chr4	-	32761571	32764591	32240381	32757682	0.0	0.04283604135893648	2708	0.0	0.013887660816128035	361904
ENSCSAT00000014856.1	ENSCSAG00000016759.1_ex3	chr4	-	42225901	42230212	42225668	42225721	0.0	0.0	4026	0.0	0.0	54
ENSCSAT00000014700.1	ENSCSAG00000016605.1_ex2	chr4	+	50796132	50807524	50811254	51040932	0.0	0.034536747098913245	10858	0.0	0.034165705862607455	205557
ENSCSAT00000014085.1	ENSCSAG00000015992.1_ex7	chr4	+	60535837	60552681	60557228	60624838	0.0	0.026096681993289423	16094	0.0	0.0	46990
ENSCSAT00000014056.1	ENSCSAG00000015963.1_ex1	chr4	-	61342655	61349118	61174249	61338927	0.0	0.028889606197546804	6196	0.0	0.03147401820833823	144659
ENSCSAT00000013323.1	ENSCSAG00000015226.1_ex1	chr4	-	73594216	73604178	73582267	73589493	0.0	0.039369210410233786	9068	0.0	0.03431686978832585	6236
ENSCSAT00000013004.1	ENSCSAG00000014909.1_ex1	chr4	-	77160747	77163988	76776187	77156041	0.0	0.03975644699140401	2792	0.0	0.029805714987262515	325810
ENSCSAT00000012923.1	ENSCSAG00000014835.1_ex1	chr4	-	78050763	78060623	77984328	78047501	0.0	0.03681570803542845	9371	0.0	0.031738576125612296	59612
ENSCSAT00000013444.1	ENSCSAG00000015350.1_ex4	chr23	+	2358269	2364825	2369295	2419033	0.0	0.03216374269005848	6156	0.0	0.027713198774173095	37852
ENSCSAT00000013255.1	ENSCSAG00000015159.1_ex1	chr23	-	6529092	6533766	6245746	6526423	0.0	0.04249390456287008	2871	0.0	0.031638508128785464	250960
ENSCSAT00000010630.1	ENSCSAG00000012587.1_ex4	chr23	+	43625248	43638161	43638474	43659961	0.0	0.03176521363832542	11585	0.0	0.029902789518174135	18928
ENSCSAT00000008430.1	ENSCSAG00000010344.1_ex1	chr23	-	63637457	63655893	63344246	63637107	0.0	0.03204928744788101	16069	0.0	0.031067764305121863	246590
ENSCSAT00000006994.1	ENSCSAG00000008928.1_ex6	chr23	+	79215849	79218586	79221145	79232566	0.0	0.03354632587859425	2504	0.0	0.0065193770373053244	5522
ENSCSAT00000006524.1	ENSCSAG00000008473.1_ex1	chr23	-	80856062	80859931	80799519	80852329	0.0	0.037070254110612856	3345	0.0	0.033817727350699635	40807
ENSCSAT00000005575.1	ENSCSAG00000007527.1_ex2	chr17	+	58722022	58782742	58783664	58803039	0.0	0.011047307575296624	52592	0.0	0.0	15704
ENSCSAT00000005644.1	ENSCSAG00000007599.1_ex1	chr17	-	54855903	54859096	54798259	54853759	0.0	0.022002551020408163	3136	0.0	0.014358204200514256	43947
ENSCSAT00000005945.1	ENSCSAG00000007893.1_ex1	chr17	-	46271422	46276384	46216469	46268287	0.0	0.011648745519713262	4464	0.0	0.0	47760
ENSCSAT00000008561.1	ENSCSAG00000010478.1_ex1	chr17	-	34754679	34758627	34729979	34751943	0.0	0.03655133928571429	3584	0.0	0.029196173437694123	16098
ENSCSAT00000010564.1	ENSCSAG00000012475.1_ex9	chr17	+	27319516	27358857	27361707	27551641	0.0	0.02698176907494936	37025	0.0	0.029478402954521987	164629
ENSCSAT00000010732.1	ENSCSAG00000012642.1_ex1	chr17	-	24667196	24674362	24623255	24663870	0.0	0.05442176870748299	4116	0.0	0.03756833408689219	24329
ENSCSAT00000011298.1	ENSCSAG00000013206.1_ex1	chr17	-	16588160	16594202	16438493	16582780	0.0	0.011482433590402743	5835	0.0	0.017018861470044003	128622
ENSCSAT00000015543.1	ENSCSAG00000017449.1_ex4	chr13	+	2573307	2618315	2619082	3097289	0.0	0.06742826780021254	18820	0.0	0.002836980263923175	309484
ENSCSAT00000012805.1	ENSCSAG00000014711.1_ex8	chr13	+	68696647	68703867	68707886	68731268	0.0	0.03739672416292216	6899	0.0	0.03447467166979362	21320
ENSCSAT00000012973.1	ENSCSAG00000014881.1_ex8	chr13	+	66685232	66702336	66704697	66731854	0.0	0.019427244582043344	12920	0.0	0.02247191011235955	22428
ENSCSAT00000014173.1	ENSCSAG00000016078.1_ex13	chr13	+	55062179	55067053	55070329	55148110	0.0	0.0	3606	0.0	0.010995413597860675	66937
ENSCSAT00000014309.1	ENSCSAG00000016217.1_ex2	chr13	-	52399372	52404761	52398643	52398712	0.0	0.03307303628847037	4354	0.0	0.0	2
ENSCSAT00000014728.1	ENSCSAG00000016634.1_ex1	chr13	-	42272174	42300956	42126604	42270157	0.0	0.03266647729578379	24643	0.0	0.02511124633932986	105172
ENSCSAT00000015198.1	ENSCSAG00000017106.1_ex1	chr13	-	28356820	28358938	27339242	28354586	0.0	0.04100790513833992	2024	0.0	0.02728608787741252	277614
ENSCSAT00000015291.1	ENSCSAG00000017203.1_ex1	chr13	-	22598257	22624747	22479013	22597971	0.0	0.033152997186756114	23105	0.0	0.03486047480216577	96040
ENSCSAT00000015307.1	ENSCSAG00000017214.1_ex1	chr13	-	22236784	22242364	22151665	22234010	0.0	0.03872562482834386	3641	0.0	0.03859014327943528	61907
ENSCSAT00000011548.1	ENSCSAG00000013457.1_ex1	chr13	-	81691988	81695972	81308594	81691773	0.0	0.049079754601226995	3423	0.0	0.031973395756697505	215304
ENSCSAT00000015786.1	ENSCSAG00000017690.1_ex5	chr28	+	15858991	15863110	15867304	15874351	NA	NA	0	NA	NA	0
ENSCSAT00000011509.1	ENSCSAG00000013420.1_ex10	chr21	+	41945972	42008182	42010302	42207021	0.0	0.03451776649746193	57130	0.0	0.036227726975458084	174314
ENSCSAT00000011709.1	ENSCSAG00000013609.1_ex1	chr21	-	36752341	36766528	36734203	36747894	0.0	0.03476845687231839	13518	0.0	0.032305560367226746	11546
ENSCSAT00000012991.1	ENSCSAG00000014898.1_ex1	chr21	-	24257267	24262148	24184269	24255864	0.0	0.03746969363015208	4537	0.0	0.03018738685845687	61317
ENSCSAT00000016385.1	ENSCSAG00000018288.1_ex5	chr28	+	1858949	1862241	1864828	1894941	0.0	0.05366207396664249	2758	0.0	0.07051181718578807	12778
ENSCSAT00000016230.1	ENSCSAG00000018132.1_ex1	chr28	-	10466443	10480322	10369985	10462857	0.0	0.03717225356787255	12052	0.0	0.03401730531520396	40450
ENSCSAT00000010624.1	ENSCSAG00000012537.1_ex44	chr21	-	57001741	57004234	56995043	56999351	0.0	0.0444264943457189	2476	0.0	0.04943696786597089	3641
ENSCSAT00000015923.1	ENSCSAG00000017827.1_ex6	chr28	+	13187002	13192458	13195801	13201351	0.0	0.03066857493355142	4891	0.0	0.0	4544
ENSCSAT00000009017.1	ENSCSAG00000010925.1_ex3	chr21	+	85201123	85203957	85206589	85214733	0.0	0.043867502238137866	2234	0.0	0.031095942358740993	7911
ENSCSAT00000008868.1	ENSCSAG00000010780.1_ex1	chr21	+	87995792	89092904	89094021	89113228	0.0	0.013270146322702453	686428	0.0	0.03075332026997605	18372
ENSCSAT00000008334.1	ENSCSAG00000010249.1_ex2	chr21	-	93507057	93539164	93496890	93505254	0.0	0.035674709562109025	27975	0.0	0.03165688026550932	7834
ENSCSAT00000007972.1	ENSCSAG00000009893.1_ex11	chr21	+	98361145	98375049	98377097	98476479	0.0	0.027489027489027488	12987	0.0	0.03490211723919713	72689
ENSCSAT00000006970.1	ENSCSAG00000008898.1_ex1	chr21	-	104609192	104619449	104516566	104605590	0.0	0.03437983639177537	9046	0.0	0.03721109069936344	70221
ENSCSAT00000005060.1	ENSCSAG00000007020.1_ex1	chr21	-	117676103	117678400	117660372	117673143	NA	NA	0	NA	NA	0
ENSCSAT00000004554.1	ENSCSAG00000006516.1_ex2	chr21	+	123235852	123241147	123241482	123288465	NA	NA	0	NA	NA	0
ENSCSAT00000015096.1	ENSCSAG00000017002.1_ex14	chr8	+	6414533	6425074	6425132	6456909	0.0	0.04139593376650597	9542	0.0	0.019064500958651375	27643
ENSCSAT00000014842.1	ENSCSAG00000016743.1_ex14	chr8	-	15853294	15907673	15846085	15851044	0.0	0.039400472230777125	48705	0.0	0.03683083511777302	4670
ENSCSAT00000014049.1	ENSCSAG00000015956.1_ex1	chr8	-	25977518	25980074	25959092	25975120	0.0	0.034767492394611035	2301	0.0	0.02324598478444632	7098
ENSCSAT00000011913.1	ENSCSAG00000013824.1_ex2	chr8	+	66452405	66462803	66463497	67117555	0.0	0.024114383269312846	9372	0.0	0.029683296756207934	573218
ENSCSAT00000010006.1	ENSCSAG00000011912.1_ex3	chr8	+	98073812	98082020	98082133	98118164	0.0	0.020451640391989774	7041	NA	NA	0
ENSCSAT00000007997.1	ENSCSAG00000009917.1_ex1	chr8	-	127010906	127016561	126815665	127008617	0.0	0.04396728016359918	4890	0.0	0.034625025486033655	166758
ENSCSAT00000006275.1	ENSCSAG00000008222.1_ex1	chr8	-	138919495	138935795	138900205	138913806	0.0	0.0	11356	0.0	0.0	11088
ENSCSAT00000007880.1	ENSCSAG00000009793.1_ex4	chr12	+	52711821	52725679	52725711	52741296	0.0	0.035766070565490575	12414	0.0	0.01257016364930034	12649
ENSCSAT00000006408.1	ENSCSAG00000008358.1_ex1	chr12	-	81454624	81467106	81417780	81454392	0.0	0.029885453449315303	11611	0.0	0.020279849596252234	32446
ENSCSAT00000006371.1	ENSCSAG00000008347.1_ex2	chr12	-	81611204	81611791	81610085	81610918	0.0	0.05517241379310345	290	0.0	0.006188118811881188	808
ENSCSAT00000005525.1	ENSCSAG00000007484.1_ex12	chr12	+	95590872	95620325	95620365	96119166	0.0	0.03481513451301971	27804	0.0	0.033030102696926335	441688
ENSCSAT00000005381.1	ENSCSAG00000007339.1_ex5	chr12	+	98957129	98960733	98960935	98987692	0.0	0.043233082706766915	2660	0.0	0.028341648030276965	23252
ENSCSAT00000005323.1	ENSCSAG00000007280.1_ex14	chr12	+	101343770	101347136	101349857	101717429	0.0	0.034607282575985554	3323	0.0	0.03779452033602005	323195
ENSCSAT00000005019.1	ENSCSAG00000006974.1_ex1	chr12	-	104910032	104913701	104886676	104904135	0.0	0.02585410895660203	3249	0.0	0.0	8352
ENSCSAT00000004757.1	ENSCSAG00000006736.1_ex14	chr12	+	106630362	106633278	106633317	106673313	0.0	0.04057362714235747	2859	0.0	0.03724552295397538	34286
ENSCSAT00000009175.1	ENSCSAG00000011090.1_ex1	chr12	-	39571385	39578665	39542191	39567850	0.0	0.03030791552474609	6203	0.0	0.031044214487300093	20197
ENSCSAT00000009851.1	ENSCSAG00000011760.1_ex1	chr12	-	29375810	29378905	29059937	29371207	0.0	0.035333333333333335	3000	0.0	0.032466640819359634	247608
ENSCSAT00000012550.1	ENSCSAG00000014458.1_ex2	chr12	-	9249629	9259127	9243562	9247462	0.0	0.024720149253731342	6432	0.0	0.0410958904109589	3431
ENSCSAT00000012924.1	ENSCSAG00000014833.1_ex2	chr12	+	6871396	6878709	6881992	7001737	0.0	0.033785868559086704	6482	0.0	0.030774025556214623	99467
ENSCSAT00000011627.1	ENSCSAG00000013532.1_ex15	chr9	+	6349632	6352125	6354933	6410509	0.0	0.04352557127312296	1838	0.0	0.010168165819319515	43469
ENSCSAT00000011582.1	ENSCSAG00000013499.1_ex1	chr9	-	7226436	7229993	6923891	7226293	0.0	0.03559964983950978	3427	0.0	0.007665790062236344	259334
ENSCSAT00000011482.1	ENSCSAG00000013395.1_ex1	chr9	-	11519563	11529292	11220131	11514088	0.0	0.040974701226136896	6443	0.0	0.035327471261821966	270894
ENSCSAT00000011313.1	ENSCSAG00000013223.1_ex1	chr9	-	12942686	12955473	12856211	12940632	0.0	0.03776668960770819	11624	0.0	0.03369045029366979	73552
ENSCSAT00000010857.1	ENSCSAG00000012762.1_ex1	chr9	-	16539860	16592484	16501513	16535571	0.0	0.03531660994159418	47598	0.0	0.037247275657871684	28539
ENSCSAT00000009836.1	ENSCSAG00000011743.1_ex1	chr9	-	27230575	27230627	27098903	27227972	0.0	0.0	53	0.0	0.013548628357192855	104291
ENSCSAT00000009473.1	ENSCSAG00000011392.1_ex1	chr9	-	33398727	33402692	33014673	33396244	0.0	0.03591790193842646	3508	0.0	0.032165158042499635	330544
ENSCSAT00000009049.1	ENSCSAG00000010963.1_ex8	chr9	+	38848111	38851160	38853708	38923144	0.0	0.03934571175950486	2262	0.0	0.035247376820944684	58898
ENSCSAT00000005422.1	ENSCSAG00000007379.1_ex48	chr9	+	71244352	71250612	71254246	71318638	0.0	0.03328685953293831	5738	0.0	0.03181740759666156	58710
ENSCSAT00000006338.1	ENSCSAG00000008285.1_ex4	chr9	+	60999887	61012838	61015357	61028461	0.0	0.042343513103747024	9234	0.0	0.04065934065934066	10920
ENSCSAT00000007400.1	ENSCSAG00000009325.1_ex4	chr9	+	52069420	52072662	52076901	52744394	0.0	0.044511378848728245	2988	0.0	0.03372160567427925	588762
ENSCSAT00000007697.1	ENSCSAG00000009619.1_ex1	chr9	-	47324293	47327372	47159904	47324227	0.0	0.03662258392675483	2949	0.0	0.035850307003185804	125243
ENSCSAT00000004620.1	ENSCSAG00000006579.1_ex1	chr9	-	85331694	85346281	85257226	85331464	0.0	0.03375	12000	0.0	0.024993310984150967	63537
ENSCSAT00000003351.1	ENSCSAG00000005318.1_ex2	chr9	-	96932084	96935362	96926009	96931885	0.0	0.02769436102769436	2997	0.0	0.03689829556096647	5339
ENSCSAT00000002821.1	ENSCSAG00000004789.1_ex1	chr9	-	110809653	110812576	110549768	110805020	0.0	0.026260504201680673	2856	0.0	0.03337451031821912	236378
ENSCSAT00000008039.1	ENSCSAG00000009953.1_ex6	chr1	+	1119244	1123769	1125046	1159426	NA	NA	0	NA	NA	0
ENSCSAT00000002402.1	ENSCSAG00000004376.1_ex1	chr1	-	57863740	57866687	57824576	57862896	0.0	0.0328719723183391	2890	0.0	0.021496815286624203	35168
ENSCSAT00000003468.1	ENSCSAG00000005433.1_ex1	chr1	-	30043136	30046545	30004770	30039747	0.0	0.026199494949494948	3168	0.0	0.029178214430293028	32113
ENSCSAT00000003504.1	ENSCSAG00000005470.1_ex1	chr1	-	29464161	29494510	29390783	29464088	0.0	0.029909730022047505	24039	0.0	0.02381859756097561	41984
ENSCSAT00000003511.1	ENSCSAG00000005478.1_ex1	chr1	-	28774662	28780497	28724701	28771791	0.0	0.03925395792669703	4611	0.0	0.03410848906023623	40723
ENSCSAT00000007447.1	ENSCSAG00000009403.1_ex9	chr1	+	4095290	4101145	4101718	4424206	0.0	0.035071779029620206	5503	0.0	0.03349652350789268	258594
ENSCSAT00000001934.1	ENSCSAG00000003902.1_ex15	chr1	+	67337258	67349682	67353167	67505459	0.0	0.03363700070077085	11416	0.0	0.03471500654083349	133775
ENSCSAT00000001918.1	ENSCSAG00000003894.1_ex1	chr1	-	67566008	67567416	67491293	67564075	0.0	0.019700551615445233	1269	0.0	0.034364151215063914	62507
