name	exon	chr	strand	closest_rec_start_pos	closest_rec_end_pos	4Ner/kp_rec_rate	inversion_sites
ENSCSAT00000014066.1	ENSCSAG00000015970.1_ex3/3	chr10	+	40181640	40494089	0.207441576	NA
ENSCSAT00000010124.1	ENSCSAG00000012033.1_ex1/2	chr10	-	77094335	77378745	0.368345825	NA
ENSCSAT00000009468.1	ENSCSAG00000011380.1_ex1/11	chr10	-	84016240	84782658	0.200543843	NA
ENSCSAT00000008355.1	ENSCSAG00000010270.1_ex20/20	chr10	+	91356686	91425000	1.272081521	NA
ENSCSAT00000004285.1	ENSCSAG00000006235.1_ex2/4	chr10	+	121057795	121067649	0.000100467	NA
ENSCSAT00000008871.1	ENSCSAG00000010783.1_ex1/13	chr22	-	44819387	44883962	1.144606551	NA
ENSCSAT00000007291.1	ENSCSAG00000009224.1_ex2/21	chr22	+	50750957	50777196	0.033722093	NA
ENSCSAT00000007844.1	ENSCSAG00000009757.1_ex8/8	chr15	+	68661098	69181225	0.299160292	NA
ENSCSAT00000014807.1	ENSCSAG00000016711.1_ex2/3	chr22	-	4522381	4536127	0.22890841	NA
ENSCSAT00000014749.1	ENSCSAG00000016664.1_ex10/10	chr22	+	5830177	5835669	0.783111617	NA
ENSCSAT00000014694.1	ENSCSAG00000016604.1_ex3/3	chr22	+	6132363	6166451	0.360856694	NA
ENSCSAT00000004314.1	ENSCSAG00000006281.1_ex1/10	chr22	-	78050103	78407040	0.073863601	NA
ENSCSAT00000004336.1	ENSCSAG00000006301.1_ex19/19	chr22	+	75172830	75606737	0.417604955	NA
ENSCSAT00000009594.1	ENSCSAG00000011508.1_ex6/6	chr15	+	41186441	41262055	0.225583609	NA
ENSCSAT00000009600.1	ENSCSAG00000011515.1_ex5/5	chr15	+	40958720	41008329	0.187673245	NA
ENSCSAT00000010072.1	ENSCSAG00000011987.1_ex1/20	chr15	-	35232555	35584809	0.221681778	NA
ENSCSAT00000010888.1	ENSCSAG00000012797.1_ex1/26	chr15	-	16898298	17071491	0.185653277	NA
ENSCSAT00000012067.1	ENSCSAG00000013974.1_ex2/2	chr15	+	4302017	4521153	0.102730327	NA
ENSCSAT00000007004.1	ENSCSAG00000008934.1_ex1/2	chr15	-	86867632	86951518	0.274970794	NA
ENSCSAT00000006679.1	ENSCSAG00000008621.1_ex1/3	chr15	-	89640480	89640480	0.0	NA
ENSCSAT00000014211.1	ENSCSAG00000016118.1_ex1/9	chr27	-	40288482	40288482	0.00325	NA
ENSCSAT00000015225.1	ENSCSAG00000017132.1_ex9/9	chr27	+	4213810	4891007	0.450854583	NA
ENSCSAT00000002990.1	ENSCSAG00000004960.1_ex1/13	chr7	-	14389956	17939101	0.0	NA
ENSCSAT00000003249.1	ENSCSAG00000005216.1_ex1/2	chr7	+	1176651	1213101	0.264270069	NA
ENSCSAT00000002911.1	ENSCSAG00000004879.1_ex2/2	chr7	+	18985429	19048130	0.46394839	NA
ENSCSAT00000002750.1	ENSCSAG00000004720.1_ex4/4	chr7	+	23573768	23804315	0.323097373	NA
ENSCSAT00000002745.1	ENSCSAG00000004717.1_ex1/9	chr7	-	23650754	23993722	0.31159337	NA
ENSCSAT00000002628.1	ENSCSAG00000004597.1_ex3/9	chr7	+	25234416	25244804	1.069139873	NA
ENSCSAT00000018117.1	ENSCSAG00000000418.1_ex1/1	chr7	-	25194504	25525376	0.450578635	NA
ENSCSAT00000002038.1	ENSCSAG00000004010.1_ex1/2	chr7	-	52440548	52541650	0.84842653	NA
ENSCSAT00000001830.1	ENSCSAG00000003803.1_ex49/49	chr7	+	60993790	60993790	0.0	NA
ENSCSAT00000001821.1	ENSCSAG00000003792.1_ex1/2	chr7	-	60993790	60993790	0.0	NA
ENSCSAT00000001661.1	ENSCSAG00000003634.1_ex1/17	chr7	+	72198186	72518385	0.176683993	NA
ENSCSAT00000001584.1	ENSCSAG00000003553.1_ex5/5	chr7	+	80212092	81054010	0.253229834	NA
ENSCSAT00000001304.1	ENSCSAG00000003278.1_ex8/8	chr7	-	100978821	101058221	0.15600966	NA
ENSCSAT00000001231.1	ENSCSAG00000003200.1_ex1/15	chr7	-	107078301	107894651	0.221363511	NA
ENSCSAT00000001141.1	ENSCSAG00000003111.1_ex1/3	chr7	-	116092618	116207248	0.039842275	NA
ENSCSAT00000001120.1	ENSCSAG00000003089.1_ex1/5	chr7	-	120680712	120747928	0.234530142	NA
ENSCSAT00000001038.1	ENSCSAG00000003012.1_ex1/8	chr7	-	129855335	130063868	0.688847146	NA
ENSCSAT00000015434.1	ENSCSAG00000017341.1_ex2/2	chr4	+	6157555	6245408	0.112094977	NA
ENSCSAT00000015253.1	ENSCSAG00000017158.1_ex1/24	chr4	-	32240234	32764495	0.165428653	NA
ENSCSAT00000014856.1	ENSCSAG00000016759.1_ex3/6	chr4	-	42226003	42229712	0.000339984	NA
ENSCSAT00000014700.1	ENSCSAG00000016605.1_ex2/2	chr4	+	50795681	51040967	0.717327846	NA
ENSCSAT00000014085.1	ENSCSAG00000015992.1_ex7/7	chr4	+	60535803	60624502	0.111644889	NA
ENSCSAT00000014056.1	ENSCSAG00000015963.1_ex1/7	chr4	-	61174210	61348495	0.036163215	NA
ENSCSAT00000013323.1	ENSCSAG00000015226.1_ex1/9	chr4	-	73582273	73604467	8.9979e-05	NA
ENSCSAT00000013004.1	ENSCSAG00000014909.1_ex1/4	chr4	-	76776107	77163262	0.592324222	NA
ENSCSAT00000012923.1	ENSCSAG00000014835.1_ex1/11	chr4	-	77984395	78060646	0.347934283	NA
ENSCSAT00000013444.1	ENSCSAG00000015350.1_ex4/4	chr23	+	2358244	2419354	0.050082605	NA
ENSCSAT00000013255.1	ENSCSAG00000015159.1_ex1/8	chr23	-	6245621	6534055	0.535778244	NA
ENSCSAT00000010630.1	ENSCSAG00000012587.1_ex4/4	chr23	+	43625248	43659987	0.058648637	NA
ENSCSAT00000008430.1	ENSCSAG00000010344.1_ex1/9	chr23	-	63344269	63655911	0.189649373	NA
ENSCSAT00000006994.1	ENSCSAG00000008928.1_ex6/24	chr23	+	79216622	79233430	3.9981e-05	NA
ENSCSAT00000006524.1	ENSCSAG00000008473.1_ex1/21	chr23	-	80799360	80859306	0.000129984	NA
ENSCSAT00000005575.1	ENSCSAG00000007527.1_ex2/2	chr17	+	58722067	58803019	0.579973787	NA
ENSCSAT00000005644.1	ENSCSAG00000007599.1_ex1/4	chr17	-	54798328	54858467	0.199176425	NA
ENSCSAT00000005945.1	ENSCSAG00000007893.1_ex1/7	chr17	-	46217017	46276366	0.052292221	NA
ENSCSAT00000008561.1	ENSCSAG00000010478.1_ex1/8	chr17	-	34729309	34758975	0.800828389	NA
ENSCSAT00000010564.1	ENSCSAG00000012475.1_ex9/9	chr17	+	27319531	27551727	0.621915201	NA
ENSCSAT00000010732.1	ENSCSAG00000012642.1_ex1/18	chr17	-	24623263	24674316	0.121162243	NA
ENSCSAT00000011298.1	ENSCSAG00000013206.1_ex1/3	chr17	-	16438476	16594212	0.816589902	NA
ENSCSAT00000015543.1	ENSCSAG00000017449.1_ex4/4	chr13	+	2573346	3095738	0.545772608	NA
ENSCSAT00000012805.1	ENSCSAG00000014711.1_ex8/8	chr13	+	68696665	68731389	0.32776679	NA
ENSCSAT00000012973.1	ENSCSAG00000014881.1_ex8/8	chr13	+	66685264	66731871	0.086427211	NA
ENSCSAT00000014173.1	ENSCSAG00000016078.1_ex13/13	chr13	+	55062659	55148269	0.121490492	NA
ENSCSAT00000014309.1	ENSCSAG00000016217.1_ex2/3	chr13	-	52398798	52404788	3.829517529	NA
ENSCSAT00000014728.1	ENSCSAG00000016634.1_ex1/8	chr13	-	42126540	42301013	0.386485147	NA
ENSCSAT00000015198.1	ENSCSAG00000017106.1_ex1/74	chr13	-	27557444	28359135	0.234162705	NA
ENSCSAT00000015291.1	ENSCSAG00000017203.1_ex1/6	chr13	-	22478766	22624817	1.0003e-05	NA
ENSCSAT00000015307.1	ENSCSAG00000017214.1_ex1/6	chr13	-	22151658	22243852	0.095512029	NA
ENSCSAT00000011548.1	ENSCSAG00000013457.1_ex1/12	chr13	-	81308449	81695808	0.098157371	NA
ENSCSAT00000015786.1	ENSCSAG00000017690.1_ex5/5	chr28	+	15955018	15955018	0.0	NA
ENSCSAT00000011509.1	ENSCSAG00000013420.1_ex10/10	chr21	+	41946089	42207045	0.203397431	NA
ENSCSAT00000011709.1	ENSCSAG00000013609.1_ex1/5	chr21	-	36733833	36765726	2.0004e-05	NA
ENSCSAT00000012991.1	ENSCSAG00000014898.1_ex1/15	chr21	-	24184269	24262193	0.375261473	NA
ENSCSAT00000016385.1	ENSCSAG00000018288.1_ex5/5	chr28	+	1858925	1894941	0.077623973	NA
ENSCSAT00000016230.1	ENSCSAG00000018132.1_ex1/2	chr28	-	10741897	10741897	0.00367	NA
ENSCSAT00000010624.1	ENSCSAG00000012537.1_ex44/51	chr21	-	56995105	57004183	2.0048e-05	NA
ENSCSAT00000015923.1	ENSCSAG00000017827.1_ex6/6	chr28	+	13186838	13201415	0.51328593	NA
ENSCSAT00000009017.1	ENSCSAG00000010925.1_ex3/3	chr21	+	85201150	85214739	0.000110015	NA
ENSCSAT00000008868.1	ENSCSAG00000010780.1_ex1/2	chr21	+	87995792	89113073	0.177650279	NA
ENSCSAT00000008334.1	ENSCSAG00000010249.1_ex2/2	chr21	-	93497473	93539090	0.235732537	NA
ENSCSAT00000007972.1	ENSCSAG00000009893.1_ex11/11	chr21	+	98361235	98476847	0.226943224	NA
ENSCSAT00000006970.1	ENSCSAG00000008898.1_ex1/4	chr21	-	104516778	104619344	5.0026e-05	NA
ENSCSAT00000005060.1	ENSCSAG00000007020.1_ex1/3	chr21	-	117660395	117678475	0.225278816	NA
ENSCSAT00000004554.1	ENSCSAG00000006516.1_ex2/2	chr21	+	123235629	123288502	0.235056551	NA
ENSCSAT00000015096.1	ENSCSAG00000017002.1_ex14/14	chr8	+	6414558	6456972	0.240178455	NA
ENSCSAT00000014842.1	ENSCSAG00000016743.1_ex14/14	chr8	-	15845994	15907784	0.308001262	NA
ENSCSAT00000014049.1	ENSCSAG00000015956.1_ex1/9	chr8	-	25958649	25979925	0.103571348	NA
ENSCSAT00000011913.1	ENSCSAG00000013824.1_ex2/2	chr8	+	66452506	67117592	0.26086501	NA
ENSCSAT00000010006.1	ENSCSAG00000011912.1_ex3/3	chr8	+	98073848	98118845	0.079827233	NA
ENSCSAT00000007997.1	ENSCSAG00000009917.1_ex1/12	chr8	-	126815520	127016433	0.382662411	NA
ENSCSAT00000006275.1	ENSCSAG00000008222.1_ex1/4	chr8	-	136931022	136931022	0.0	NA
ENSCSAT00000007880.1	ENSCSAG00000009793.1_ex4/4	chr12	+	52711636	52741016	0.073469435	NA
ENSCSAT00000006408.1	ENSCSAG00000008358.1_ex1/2	chr12	-	81417736	81467154	6.3479e-05	NA
ENSCSAT00000006371.1	ENSCSAG00000008347.1_ex2/26	chr12	-	81475615	81475615	0.03219	NA
ENSCSAT00000005525.1	ENSCSAG00000007484.1_ex12/12	chr12	+	95590780	96119334	0.159685427	NA
ENSCSAT00000005381.1	ENSCSAG00000007339.1_ex5/5	chr12	+	98957886	98987702	0.046608633	NA
ENSCSAT00000005323.1	ENSCSAG00000007280.1_ex14/14	chr12	+	101344199	101717574	0.176910749	NA
ENSCSAT00000005019.1	ENSCSAG00000006974.1_ex1/5	chr12	-	104798542	104798542	0.0	NA
ENSCSAT00000004757.1	ENSCSAG00000006736.1_ex14/14	chr12	+	104798542	104798542	0.0	NA
ENSCSAT00000009175.1	ENSCSAG00000011090.1_ex1/7	chr12	-	39542244	39577874	0.028671765	NA
ENSCSAT00000009851.1	ENSCSAG00000011760.1_ex1/7	chr12	-	29060093	29378921	0.09012991	NA
ENSCSAT00000012550.1	ENSCSAG00000014458.1_ex2/4	chr12	-	9243503	9259145	0.065284107	NA
ENSCSAT00000012924.1	ENSCSAG00000014833.1_ex2/2	chr12	+	6871134	7001690	0.164461595	NA
ENSCSAT00000011627.1	ENSCSAG00000013532.1_ex15/15	chr9	+	6349580	6410408	0.692269777	NA
ENSCSAT00000011582.1	ENSCSAG00000013499.1_ex1/20	chr9	-	6923869	7229937	0.827836366	NA
ENSCSAT00000011482.1	ENSCSAG00000013395.1_ex1/15	chr9	-	11220031	11529449	1.007826471	NA
ENSCSAT00000011313.1	ENSCSAG00000013223.1_ex1/3	chr9	-	12855862	12955467	0.485648953	NA
ENSCSAT00000010857.1	ENSCSAG00000012762.1_ex1/9	chr9	-	16504478	16592231	0.01179293	NA
ENSCSAT00000009836.1	ENSCSAG00000011743.1_ex1/5	chr9	-	27098806	27230241	0.110453106	NA
ENSCSAT00000009473.1	ENSCSAG00000011392.1_ex1/23	chr9	-	33014778	33402747	0.781418923	NA
ENSCSAT00000009049.1	ENSCSAG00000010963.1_ex8/8	chr9	+	38848019	38923186	0.945461692	NA
ENSCSAT00000005422.1	ENSCSAG00000007379.1_ex48/48	chr9	+	71244085	71318638	0.042322536	NA
ENSCSAT00000006338.1	ENSCSAG00000008285.1_ex4/4	chr9	+	60999986	61028417	0.036192747	NA
ENSCSAT00000007400.1	ENSCSAG00000009325.1_ex4/4	chr9	+	52069093	52744231	0.201467919	NA
ENSCSAT00000007697.1	ENSCSAG00000009619.1_ex1/12	chr9	-	47159754	47327376	0.614259029	NA
ENSCSAT00000004620.1	ENSCSAG00000006579.1_ex1/9	chr9	-	85256931	85345224	0.015740512	NA
ENSCSAT00000003351.1	ENSCSAG00000005318.1_ex2/10	chr9	-	92423917	92423917	0.0	NA
ENSCSAT00000002821.1	ENSCSAG00000004789.1_ex1/5	chr9	-	92423917	92423917	0.0	NA
ENSCSAT00000008039.1	ENSCSAG00000009953.1_ex6/6	chr1	+	1134855	1159492	0.451912652	NA
ENSCSAT00000002402.1	ENSCSAG00000004376.1_ex1/5	chr1	-	57823477	57865541	0.10809419	NA
ENSCSAT00000003468.1	ENSCSAG00000005433.1_ex1/17	chr1	-	30004876	30046474	0.080280182	NA
ENSCSAT00000003504.1	ENSCSAG00000005470.1_ex1/5	chr1	-	29390783	29494870	0.194237023	NA
ENSCSAT00000003511.1	ENSCSAG00000005478.1_ex1/8	chr1	-	28725244	28780504	0.169588455	NA
ENSCSAT00000007447.1	ENSCSAG00000009403.1_ex9/9	chr1	+	4095309	4423935	0.241004586	NA
ENSCSAT00000001934.1	ENSCSAG00000003902.1_ex15/15	chr1	+	67337060	67505458	0.381501128	NA
ENSCSAT00000001918.1	ENSCSAG00000003894.1_ex1/5	chr1	-	67491297	67567609	0.252499345	NA
ENSCSAT00000001496.1	ENSCSAG00000003469.1_ex1/11	chr1	-	84010757	84401070	0.485049904	NA
ENSCSAT00000001320.1	ENSCSAG00000003290.1_ex2/2	chr1	+	86357383	86443958	0.276563419	NA
ENSCSAT00000006085.1	ENSCSAG00000008069.1_ex16/16	chr11	+	20531371	20548250	0.181097162	NA
ENSCSAT00000005162.1	ENSCSAG00000007119.1_ex23/23	chr11	+	37311012	37514373	0.469308869	NA
ENSCSAT00000004790.1	ENSCSAG00000006749.1_ex17/17	chr11	+	42109819	42777622	0.457143607	NA
ENSCSAT00000003390.1	ENSCSAG00000005358.1_ex1/11	chr11	-	50903056	51049717	1.885356952	NA
ENSCSAT00000002572.1	ENSCSAG00000004540.1_ex1/4	chr11	-	56937107	57621163	0.69762833	NA
ENSCSAT00000002544.1	ENSCSAG00000004515.1_ex1/10	chr11	-	58514804	58548522	1.572182069	NA
ENSCSAT00000002529.1	ENSCSAG00000004499.1_ex22/22	chr11	+	59844906	59875847	0.0351849	NA
ENSCSAT00000002221.1	ENSCSAG00000004199.1_ex1/9	chr11	-	65260950	65291616	0.191722527	NA
ENSCSAT00000002204.1	ENSCSAG00000004174.1_ex3/3	chr11	+	65992563	66244941	0.404413114	NA
ENSCSAT00000001811.1	ENSCSAG00000003781.1_ex1/10	chr11	-	83685459	83864618	0.484341473	NA
ENSCSAT00000001793.1	ENSCSAG00000003766.1_ex1/22	chr11	-	84953593	84993207	0.05298445	NA
ENSCSAT00000001026.1	ENSCSAG00000002999.1_ex3/3	chr11	+	99897902	100029099	0.303542535	NA
ENSCSAT00000016569.1	ENSCSAG00000001960.1_ex6/6	chr11	+	124081006	124168316	0.164162914	NA
ENSCSAT00000016581.1	ENSCSAG00000001950.1_ex11/11	chr11	+	124339207	124936287	0.024066001	NA
ENSCSAT00000015816.1	ENSCSAG00000017717.1_ex1/9	chr3	-	26832192	27237551	0.159046625	NA
ENSCSAT00000015792.1	ENSCSAG00000017698.1_ex2/2	chr3	+	29150715	29196904	0.282057395	NA
ENSCSAT00000015739.1	ENSCSAG00000017645.1_ex2/5	chr3	+	35429195	35442937	0.287434216	NA
ENSCSAT00000015739.1	ENSCSAG00000017645.1_ex5/5	chr3	+	35485665	35652540	0.838771566	NA
ENSCSAT00000015724.1	ENSCSAG00000017630.1_ex1/11	chr3	-	49838410	50612429	0.315537275	NA
ENSCSAT00000015616.1	ENSCSAG00000017521.1_ex2/2	chr3	+	76163874	76188337	0.042211013	NA
ENSCSAT00000015565.1	ENSCSAG00000017471.1_ex2/2	chr3	-	88060010	88218921	0.477707698	NA
ENSCSAT00000013549.1	ENSCSAG00000015453.1_ex13/13	chr24	+	14330711	14396418	0.04701913	NA
ENSCSAT00000013268.1	ENSCSAG00000015176.1_ex1/10	chr24	-	27307912	27326200	7.2343e-05	NA
ENSCSAT00000004471.1	ENSCSAG00000006440.1_ex6/6	chr26	+	55532540	55737924	0.760868729	NA
ENSCSAT00000005382.1	ENSCSAG00000007337.1_ex4/4	chr26	+	42904761	42938879	0.474912041	NA
ENSCSAT00000009651.1	ENSCSAG00000011567.1_ex19/20	chr26	+	29899086	29903073	0.669460747	NA
ENSCSAT00000009736.1	ENSCSAG00000011625.1_ex5/5	chr26	+	28216799	28228881	0.337904486	NA
ENSCSAT00000012130.1	ENSCSAG00000014038.1_ex2/2	chr26	+	9743426	9800798	0.32279727	NA
ENSCSAT00000012817.1	ENSCSAG00000014721.1_ex7/7	chr26	+	6247526	6286239	0.160846331	NA
ENSCSAT00000014943.1	ENSCSAG00000016847.1_ex1/3	chr29	-	20695278	20695278	0.0	NA
ENSCSAT00000008435.1	ENSCSAG00000010349.1_ex7/7	chr5	+	2682098	2692182	0.050193871	NA
ENSCSAT00000007722.1	ENSCSAG00000009642.1_ex1/10	chr5	-	3594795	3650607	0.091938669	NA
ENSCSAT00000006728.1	ENSCSAG00000008664.1_ex4/4	chr5	+	8671363	8718772	0.92186608	NA
ENSCSAT00000006243.1	ENSCSAG00000008198.1_ex21/21	chr5	+	12008793	12190204	0.920992514	NA
ENSCSAT00000006226.1	ENSCSAG00000008177.1_ex1/4	chr5	-	11933539	12133555	1.002883434	NA
ENSCSAT00000005396.1	ENSCSAG00000007352.1_ex2/2	chr5	+	19369064	19423115	0.483828458	NA
ENSCSAT00000004440.1	ENSCSAG00000006403.1_ex1/7	chr5	-	25460384	25502537	0.051004673	NA
ENSCSAT00000002176.1	ENSCSAG00000004146.1_ex1/5	chr5	-	60703006	60703006	0.0	NA
ENSCSAT00000012157.1	ENSCSAG00000014068.1_ex1/3	chr16	-	1095081	1111231	0.05826192	NA
ENSCSAT00000011290.1	ENSCSAG00000013192.1_ex1/6	chr16	-	3740091	3751836	0.081798978	NA
ENSCSAT00000008231.1	ENSCSAG00000010211.1_ex13/13	chr16	+	9225654	9636389	0.649576386	NA
ENSCSAT00000007100.1	ENSCSAG00000009036.1_ex1/2	chr16	-	12597671	12837723	0.533800668	NA
ENSCSAT00000000650.1	ENSCSAG00000002635.1_ex19/19	chr16	+	67654605	67753204	0.199975994	NA
ENSCSAT00000003897.1	ENSCSAG00000005856.1_ex1/4	chr16	-	33961786	34049996	0.080849314	NA
ENSCSAT00000002030.1	ENSCSAG00000004001.1_ex16/16	chr16	+	56942872	56982669	0.077406639	NA
ENSCSAT00000002479.1	ENSCSAG00000004490.1_ex45/45	chr16	+	48295978	48328031	0.032809565	NA
ENSCSAT00000000417.1	ENSCSAG00000002402.1_ex4/4	chr16	+	70232565	70239937	0.136716902	NA
ENSCSAT00000000125.1	ENSCSAG00000002109.1_ex9/9	chr16	+	74495926	74558000	0.103160534	NA
ENSCSAT00000015712.1	ENSCSAG00000017618.1_ex1/11	chr18	-	59547288	59547288	0.0	NA
ENSCSAT00000015648.1	ENSCSAG00000017553.1_ex7/7	chr18	+	69386595	69386595	0.0	NA
ENSCSAT00000015793.1	ENSCSAG00000017699.1_ex10/10	chr18	+	56936654	56950197	0.151121022	NA
ENSCSAT00000016046.1	ENSCSAG00000017949.1_ex3/4	chr18	-	35888863	35969273	1.412616229	NA
ENSCSAT00000016122.1	ENSCSAG00000018024.1_ex4/4	chr18	+	32011447	32248385	0.538743051	NA
ENSCSAT00000016256.1	ENSCSAG00000018160.1_ex5/13	chr18	+	21177965	21203853	0.469615768	NA
ENSCSAT00000016283.1	ENSCSAG00000018186.1_ex1/10	chr18	-	17313752	17393708	0.457903885	NA
ENSCSAT00000016287.1	ENSCSAG00000018191.1_ex2/2	chr18	+	16538181	16783218	0.319147463	NA
ENSCSAT00000016327.1	ENSCSAG00000018231.1_ex1/8	chr18	-	4735645	4920160	0.313329854	NA
ENSCSAT00000009595.1	ENSCSAG00000011506.1_ex1/2	chr6	-	2282556	2290515	0.686667797	NA
ENSCSAT00000003062.1	ENSCSAG00000005029.1_ex1/3	chr6	-	18434822	18466431	0.153338132	NA
ENSCSAT00000003010.1	ENSCSAG00000004980.1_ex3/3	chr6	+	19574411	19683398	0.067108022	NA
ENSCSAT00000003002.1	ENSCSAG00000004974.1_ex1/2	chr6	-	19683398	19722298	0.000573059	NA
ENSCSAT00000003000.1	ENSCSAG00000004971.1_ex1/3	chr6	-	19758909	19806338	0.470131017	NA
ENSCSAT00000002984.1	ENSCSAG00000004956.1_ex10/14	chr6	-	20232688	20232688	0.02911	NA
ENSCSAT00000002979.1	ENSCSAG00000004945.1_ex3/7	chr6	+	20328858	20335404	0.254382218	NA
ENSCSAT00000002858.1	ENSCSAG00000004832.1_ex1/3	chr6	+	25297869	25540660	0.202624092	NA
ENSCSAT00000018617.1	ENSCSAG00000018527.1_ex1/1	chr6	+	30337549	30418396	0.534212834	NA
ENSCSAT00000002238.1	ENSCSAG00000004210.1_ex1/3	chr6	-	31290492	31319931	0.151378749	NA
ENSCSAT00000001353.1	ENSCSAG00000003326.1_ex3/3	chr6	+	37751253	37893277	0.512695622	NA
ENSCSAT00000001350.1	ENSCSAG00000003323.1_ex1/2	chr6	-	37754304	37775186	1.052446605	NA
ENSCSAT00000001347.1	ENSCSAG00000003321.1_ex1/2	chr6	-	37789617	37803773	0.136231986	NA
ENSCSAT00000001043.1	ENSCSAG00000003015.1_ex2/7	chr6	+	40235167	40276839	6.9999e-05	NA
ENSCSAT00000016861.1	ENSCSAG00000001668.1_ex1/5	chr6	-	48980521	49013639	0.289096503	NA
ENSCSAT00000011610.1	ENSCSAG00000013514.1_ex1/3	chr2	-	31347870	31354407	0.003615879	NA
ENSCSAT00000011682.1	ENSCSAG00000013586.1_ex1/29	chr2	-	29078618	29270571	0.311415784	NA
ENSCSAT00000008092.1	ENSCSAG00000010002.1_ex3/3	chr2	+	57451487	57467426	0.0	NA
ENSCSAT00000011827.1	ENSCSAG00000013728.1_ex1/7	chr2	-	25555868	25673443	0.162743041	NA
ENSCSAT00000012055.1	ENSCSAG00000013961.1_ex3/4	chr2	+	22540488	22582207	0.026325439	NA
ENSCSAT00000013279.1	ENSCSAG00000015184.1_ex1/3	chr2	-	13196591	13225226	0.069977161	NA
