name	exon	chr	strand	start	end	div	callability
ENSCSAT00000012982.1	ENSCSAG00000014912.1_ex1	chr14	-	38540083	38540286	0.014705882	204
ENSCSAT00000013063.1	ENSCSAG00000014972.1_ex1	chr14	-	37877435	37881400	0.02161578	3701
ENSCSAT00000013415.1	ENSCSAG00000015340.1_ex14	chr14	+	34221666	34221744	0.0	79
ENSCSAT00000013611.1	ENSCSAG00000015514.1_ex9	chr14	-	33230870	33233004	0.008903468	2134
ENSCSAT00000014442.1	ENSCSAG00000016352.1_ex3	chr14	+	20555190	20557849	0.008383234	2505
ENSCSAT00000015081.1	ENSCSAG00000016986.1_ex9	chr14	+	13027328	13030464	0.035271065	3062
ENSCSAT00000014624.1	ENSCSAG00000016529.1_ex24	chr10	+	12380291	12380363	0.01369863	73
ENSCSAT00000014066.1	ENSCSAG00000015970.1_ex3	chr10	+	40255062	40255646	0.005136986	584
ENSCSAT00000010124.1	ENSCSAG00000012033.1_ex1	chr10	-	77371173	77373825	0.026503997	2377
ENSCSAT00000009468.1	ENSCSAG00000011380.1_ex1	chr10	-	84761425	84764672	0.00831202	3128
ENSCSAT00000008355.1	ENSCSAG00000010270.1_ex20	chr10	+	91389360	91389718	0.022284123	359
ENSCSAT00000004285.1	ENSCSAG00000006235.1_ex2	chr10	+	121060546	121062906	0.014407924	2221
ENSCSAT00000008871.1	ENSCSAG00000010783.1_ex1	chr22	-	44875291	44879611	0.022406235	4106
ENSCSAT00000007291.1	ENSCSAG00000009224.1_ex2	chr22	+	50754709	50757341	0.03162827	2561
ENSCSAT00000007844.1	ENSCSAG00000009757.1_ex8	chr15	+	68665061	68665258	0.0	198
ENSCSAT00000014807.1	ENSCSAG00000016711.1_ex2	chr22	-	4522598	4524251	0.01691607	1537
ENSCSAT00000014749.1	ENSCSAG00000016664.1_ex10	chr22	+	5833159	5833400	0.004149378	241
ENSCSAT00000014694.1	ENSCSAG00000016604.1_ex3	chr22	+	6135268	6136515	0.006519967	1227
ENSCSAT00000004314.1	ENSCSAG00000006281.1_ex1	chr22	-	78406587	78406763	0.005649718	177
ENSCSAT00000004336.1	ENSCSAG00000006301.1_ex19	chr22	+	75178288	75178548	0.0	261
ENSCSAT00000009594.1	ENSCSAG00000011508.1_ex6	chr15	+	41189518	41193268	0.022871314	3629
ENSCSAT00000009600.1	ENSCSAG00000011515.1_ex5	chr15	+	40963491	40966890	0.020470516	3273
ENSCSAT00000010072.1	ENSCSAG00000011987.1_ex1	chr15	-	35580713	35580813	0.0	101
ENSCSAT00000010888.1	ENSCSAG00000012797.1_ex1	chr15	-	17059958	17063674	0.009460211	3594
ENSCSAT00000012067.1	ENSCSAG00000013974.1_ex2	chr15	+	4337059	4337613	0.010810811	555
ENSCSAT00000007004.1	ENSCSAG00000008934.1_ex1	chr15	-	86891382	86894221	0.017921147	2790
ENSCSAT00000006679.1	ENSCSAG00000008621.1_ex1	chr15	-	90629329	90634444	0.019360858	4287
ENSCSAT00000014211.1	ENSCSAG00000016118.1_ex1	chr27	-	42449618	42452654	0.028236915	2904
ENSCSAT00000015225.1	ENSCSAG00000017132.1_ex9	chr27	+	4218855	4219122	0.018656716	268
ENSCSAT00000002990.1	ENSCSAG00000004960.1_ex1	chr7	-	16340606	16343009	0.03131524	2395
ENSCSAT00000003249.1	ENSCSAG00000005216.1_ex1	chr7	+	1207627	1208351	0.0	725
ENSCSAT00000002911.1	ENSCSAG00000004879.1_ex2	chr7	+	18988875	18989955	0.034802784	862
ENSCSAT00000002750.1	ENSCSAG00000004720.1_ex4	chr7	+	23578497	23582473	0.027113238	3762
ENSCSAT00000002745.1	ENSCSAG00000004717.1_ex1	chr7	-	23989744	23989873	0.0	130
ENSCSAT00000002628.1	ENSCSAG00000004597.1_ex3	chr7	+	25238330	25241508	0.021501706	2930
ENSCSAT00000018117.1	ENSCSAG00000000418.1_ex1	chr7	-	25397384	25399766	0.007062147	2124
ENSCSAT00000002038.1	ENSCSAG00000004010.1_ex1	chr7	-	52527746	52531861	0.019994938	3951
ENSCSAT00000001830.1	ENSCSAG00000003803.1_ex49	chr7	+	61172063	61175519	0.013150205	3422
ENSCSAT00000001821.1	ENSCSAG00000003792.1_ex1	chr7	-	61712062	61713461	0.010558069	1326
ENSCSAT00000001661.1	ENSCSAG00000003634.1_ex1	chr7	+	72500263	72504478	0.011985019	4005
ENSCSAT00000001584.1	ENSCSAG00000003553.1_ex5	chr7	+	80225737	80225757	0.0	21
ENSCSAT00000001304.1	ENSCSAG00000003278.1_ex8	chr7	-	101034267	101036304	0.027200791	2022
ENSCSAT00000001231.1	ENSCSAG00000003200.1_ex1	chr7	-	107857487	107860815	0.023123218	3157
ENSCSAT00000001141.1	ENSCSAG00000003111.1_ex1	chr7	-	116193728	116199498	0.026031521	5647
ENSCSAT00000001120.1	ENSCSAG00000003089.1_ex1	chr7	-	120739920	120740408	0.018404908	489
ENSCSAT00000001038.1	ENSCSAG00000003012.1_ex1	chr7	-	130060650	130060856	0.0	203
ENSCSAT00000015434.1	ENSCSAG00000017341.1_ex2	chr4	+	6177916	6178048	0.03030303	132
ENSCSAT00000015253.1	ENSCSAG00000017158.1_ex1	chr4	-	32757683	32761570	0.0224596	3651
ENSCSAT00000014856.1	ENSCSAG00000016759.1_ex3	chr4	-	42225722	42225900	0.0	179
ENSCSAT00000014700.1	ENSCSAG00000016605.1_ex2	chr4	+	50807525	50811253	0.015469936	3426
ENSCSAT00000014085.1	ENSCSAG00000015992.1_ex7	chr4	+	60552682	60557227	0.0	3516
ENSCSAT00000014056.1	ENSCSAG00000015963.1_ex1	chr4	-	61338928	61342654	0.019852524	3526
ENSCSAT00000013323.1	ENSCSAG00000015226.1_ex1	chr4	-	73589494	73594215	0.015183368	4281
ENSCSAT00000013004.1	ENSCSAG00000014909.1_ex1	chr4	-	77156042	77160746	0.023603646	4279
ENSCSAT00000012923.1	ENSCSAG00000014835.1_ex1	chr4	-	78047502	78050762	0.027528611	3233
ENSCSAT00000013444.1	ENSCSAG00000015350.1_ex4	chr23	+	2364826	2369294	0.021828765	4123
ENSCSAT00000013255.1	ENSCSAG00000015159.1_ex1	chr23	-	6526424	6529091	0.032924962	2612
ENSCSAT00000010630.1	ENSCSAG00000012587.1_ex4	chr23	+	43638162	43638473	0.006410256	312
ENSCSAT00000008430.1	ENSCSAG00000010344.1_ex1	chr23	-	63637108	63637456	0.011461318	349
ENSCSAT00000006994.1	ENSCSAG00000008928.1_ex6	chr23	+	79218587	79221144	0.014365523	2506
ENSCSAT00000006524.1	ENSCSAG00000008473.1_ex1	chr23	-	80852330	80856061	0.035445158	3583
ENSCSAT00000005575.1	ENSCSAG00000007527.1_ex2	chr17	+	58782743	58783663	0.0	920
ENSCSAT00000005644.1	ENSCSAG00000007599.1_ex1	chr17	-	54853760	54855902	0.004768717	2097
ENSCSAT00000005945.1	ENSCSAG00000007893.1_ex1	chr17	-	46268288	46271421	0.001709402	2925
ENSCSAT00000008561.1	ENSCSAG00000010478.1_ex1	chr17	-	34751944	34754678	0.024338624	1890
ENSCSAT00000010564.1	ENSCSAG00000012475.1_ex9	chr17	+	27358858	27361706	0.028571429	2800
ENSCSAT00000010732.1	ENSCSAG00000012642.1_ex1	chr17	-	24663871	24667195	0.028243327	3222
ENSCSAT00000011298.1	ENSCSAG00000013206.1_ex1	chr17	-	16582781	16588159	0.025252525	5148
ENSCSAT00000015543.1	ENSCSAG00000017449.1_ex4	chr13	+	2618316	2619081	0.021447721	746
ENSCSAT00000012805.1	ENSCSAG00000014711.1_ex8	chr13	+	68703868	68707885	0.030895168	3787
ENSCSAT00000012973.1	ENSCSAG00000014881.1_ex8	chr13	+	66702337	66704696	0.019925857	2158
ENSCSAT00000014173.1	ENSCSAG00000016078.1_ex13	chr13	+	55067054	55070328	0.0	3257
ENSCSAT00000014309.1	ENSCSAG00000016217.1_ex2	chr13	-	52398713	52399371	0.0	492
ENSCSAT00000014728.1	ENSCSAG00000016634.1_ex1	chr13	-	42270158	42272173	0.017632242	1985
ENSCSAT00000015198.1	ENSCSAG00000017106.1_ex1	chr13	-	28354587	28356819	0.031774852	2203
ENSCSAT00000015291.1	ENSCSAG00000017203.1_ex1	chr13	-	22597972	22598256	0.003508772	285
ENSCSAT00000015307.1	ENSCSAG00000017214.1_ex1	chr13	-	22234011	22236783	0.017902813	2737
ENSCSAT00000011548.1	ENSCSAG00000013457.1_ex1	chr13	-	81691774	81691987	0.010204082	196
ENSCSAT00000015786.1	ENSCSAG00000017690.1_ex5	chr28	+	15863111	15867303	0.0	2544
ENSCSAT00000011509.1	ENSCSAG00000013420.1_ex10	chr21	+	42008183	42010301	0.033234127	2016
ENSCSAT00000011709.1	ENSCSAG00000013609.1_ex1	chr21	-	36747895	36752340	0.013231198	4308
ENSCSAT00000012991.1	ENSCSAG00000014898.1_ex1	chr21	-	24255865	24257266	0.02	1400
ENSCSAT00000016385.1	ENSCSAG00000018288.1_ex5	chr28	+	1862242	1864827	0.023799919	2479
ENSCSAT00000016230.1	ENSCSAG00000018132.1_ex1	chr28	-	10462858	10466442	0.012752722	3215
ENSCSAT00000010624.1	ENSCSAG00000012537.1_ex44	chr21	-	56999352	57001740	0.018002572	2333
ENSCSAT00000015923.1	ENSCSAG00000017827.1_ex6	chr28	+	13192459	13195800	0.001722356	2903
ENSCSAT00000009017.1	ENSCSAG00000010925.1_ex3	chr21	+	85203958	85206588	0.024507834	2489
ENSCSAT00000008868.1	ENSCSAG00000010780.1_ex1	chr21	+	89092905	89094020	0.011648746	1116
ENSCSAT00000008334.1	ENSCSAG00000010249.1_ex2	chr21	-	93505255	93507056	0.025683975	1791
ENSCSAT00000007972.1	ENSCSAG00000009893.1_ex11	chr21	+	98375050	98377096	0.012450199	2008
ENSCSAT00000006970.1	ENSCSAG00000008898.1_ex1	chr21	-	104605591	104609191	0.017011625	3527
ENSCSAT00000005060.1	ENSCSAG00000007020.1_ex1	chr21	-	117673144	117676102	0.0	2826
ENSCSAT00000004554.1	ENSCSAG00000006516.1_ex2	chr21	+	123241148	123241481	0.0	308
ENSCSAT00000015096.1	ENSCSAG00000017002.1_ex14	chr8	+	6425075	6425131	NA	0
ENSCSAT00000014842.1	ENSCSAG00000016743.1_ex14	chr8	-	15851045	15853293	0.025927809	1967
ENSCSAT00000014049.1	ENSCSAG00000015956.1_ex1	chr8	-	25975121	25977517	0.028927681	2005
ENSCSAT00000011913.1	ENSCSAG00000013824.1_ex2	chr8	+	66462804	66463496	0.017316017	693
ENSCSAT00000010006.1	ENSCSAG00000011912.1_ex3	chr8	+	98082021	98082132	0.0	112
ENSCSAT00000007997.1	ENSCSAG00000009917.1_ex1	chr8	-	127008618	127010905	0.036193029	2238
ENSCSAT00000006275.1	ENSCSAG00000008222.1_ex1	chr8	-	138913807	138919494	0.0	5231
ENSCSAT00000007880.1	ENSCSAG00000009793.1_ex4	chr12	+	52725680	52725710	0.0	31
ENSCSAT00000006408.1	ENSCSAG00000008358.1_ex1	chr12	-	81454393	81454623	0.012987013	231
ENSCSAT00000006371.1	ENSCSAG00000008347.1_ex2	chr12	-	81610919	81611203	0.014035088	285
ENSCSAT00000005525.1	ENSCSAG00000007484.1_ex12	chr12	+	95620326	95620364	0.0	39
ENSCSAT00000005381.1	ENSCSAG00000007339.1_ex5	chr12	+	98960734	98960934	0.004975124	201
ENSCSAT00000005323.1	ENSCSAG00000007280.1_ex14	chr12	+	101347137	101349856	0.031615925	2562
ENSCSAT00000005019.1	ENSCSAG00000006974.1_ex1	chr12	-	104904136	104910031	0.00535221	5792
ENSCSAT00000004757.1	ENSCSAG00000006736.1_ex14	chr12	+	106633279	106633316	0.0	38
ENSCSAT00000009175.1	ENSCSAG00000011090.1_ex1	chr12	-	39567851	39571384	0.011607661	3446
ENSCSAT00000009851.1	ENSCSAG00000011760.1_ex1	chr12	-	29371208	29375809	0.015791815	4496
ENSCSAT00000012550.1	ENSCSAG00000014458.1_ex2	chr12	-	9247463	9249628	0.012071463	2071
ENSCSAT00000012924.1	ENSCSAG00000014833.1_ex2	chr12	+	6878710	6881991	0.031278749	3261
ENSCSAT00000011627.1	ENSCSAG00000013532.1_ex15	chr9	+	6352126	6354932	0.032667877	2755
ENSCSAT00000011582.1	ENSCSAG00000013499.1_ex1	chr9	-	7226294	7226435	0.007092199	141
ENSCSAT00000011482.1	ENSCSAG00000013395.1_ex1	chr9	-	11514089	11519562	0.024395004	5124
ENSCSAT00000011313.1	ENSCSAG00000013223.1_ex1	chr9	-	12940633	12942685	0.035512095	1943
ENSCSAT00000010857.1	ENSCSAG00000012762.1_ex1	chr9	-	16535572	16539859	0.023187698	4097
ENSCSAT00000009836.1	ENSCSAG00000011743.1_ex1	chr9	-	27227973	27230574	0.010522214	2566
ENSCSAT00000009473.1	ENSCSAG00000011392.1_ex1	chr9	-	33396245	33398726	0.025756337	2446
ENSCSAT00000009049.1	ENSCSAG00000010963.1_ex8	chr9	+	38851161	38853707	0.024489796	1960
ENSCSAT00000005422.1	ENSCSAG00000007379.1_ex48	chr9	+	71250613	71254245	0.016216216	3515
ENSCSAT00000006338.1	ENSCSAG00000008285.1_ex4	chr9	+	61012839	61015356	0.026699029	2472
ENSCSAT00000007400.1	ENSCSAG00000009325.1_ex4	chr9	+	52072663	52076900	0.027704801	4187
ENSCSAT00000007697.1	ENSCSAG00000009619.1_ex1	chr9	-	47324228	47324292	0.0	65
ENSCSAT00000004620.1	ENSCSAG00000006579.1_ex1	chr9	-	85331465	85331693	0.0	189
ENSCSAT00000003351.1	ENSCSAG00000005318.1_ex2	chr9	-	96931886	96932083	0.02020202	198
ENSCSAT00000002821.1	ENSCSAG00000004789.1_ex1	chr9	-	110805021	110809652	0.022892362	4543
ENSCSAT00000008039.1	ENSCSAG00000009953.1_ex6	chr1	+	1123770	1125045	0.0	1177
ENSCSAT00000002402.1	ENSCSAG00000004376.1_ex1	chr1	-	57862897	57863739	0.025	840
ENSCSAT00000003468.1	ENSCSAG00000005433.1_ex1	chr1	-	30039748	30043135	0.022843402	3327
ENSCSAT00000003504.1	ENSCSAG00000005470.1_ex1	chr1	-	29464089	29464160	0.0	72
ENSCSAT00000003511.1	ENSCSAG00000005478.1_ex1	chr1	-	28771792	28774661	0.029588015	2670
ENSCSAT00000007447.1	ENSCSAG00000009403.1_ex9	chr1	+	4101146	4101717	0.012237762	572
ENSCSAT00000001934.1	ENSCSAG00000003902.1_ex15	chr1	+	67349683	67353166	0.026225414	3203
ENSCSAT00000001918.1	ENSCSAG00000003894.1_ex1	chr1	-	67564076	67566007	0.012944984	927
ENSCSAT00000001496.1	ENSCSAG00000003469.1_ex1	chr1	-	84398026	84398334	0.006472492	309
ENSCSAT00000001320.1	ENSCSAG00000003290.1_ex2	chr1	+	86376771	86377974	0.006756757	1184
ENSCSAT00000006085.1	ENSCSAG00000008069.1_ex16	chr11	+	20540658	20540900	0.028806584	243
ENSCSAT00000005162.1	ENSCSAG00000007119.1_ex23	chr11	+	37329626	37333314	0.022054718	3582
ENSCSAT00000004790.1	ENSCSAG00000006749.1_ex17	chr11	+	42115877	42118892	0.008751262	2971
ENSCSAT00000003390.1	ENSCSAG00000005358.1_ex1	chr11	-	51042094	51044583	0.0	2316
ENSCSAT00000002572.1	ENSCSAG00000004540.1_ex1	chr11	-	57597696	57600313	0.025058731	2554
ENSCSAT00000002544.1	ENSCSAG00000004515.1_ex1	chr11	-	58534471	58539304	0.029474131	4716
ENSCSAT00000002529.1	ENSCSAG00000004499.1_ex22	chr11	+	59850927	59851302	0.008	375
ENSCSAT00000002221.1	ENSCSAG00000004199.1_ex1	chr11	-	65283137	65284047	0.036423841	906
ENSCSAT00000002204.1	ENSCSAG00000004174.1_ex3	chr11	+	66007032	66007201	0.0	158
ENSCSAT00000001811.1	ENSCSAG00000003781.1_ex1	chr11	-	83856156	83860555	0.020909926	4352
ENSCSAT00000001793.1	ENSCSAG00000003766.1_ex1	chr11	-	84989168	84989194	0.0	27
ENSCSAT00000001026.1	ENSCSAG00000002999.1_ex3	chr11	+	99981125	99981977	0.002352941	850
ENSCSAT00000016569.1	ENSCSAG00000001960.1_ex6	chr11	+	124084817	124087645	0.025705105	2801
ENSCSAT00000016581.1	ENSCSAG00000001950.1_ex11	chr11	+	124352917	124353079	0.0	138
ENSCSAT00000015816.1	ENSCSAG00000017717.1_ex1	chr3	-	27225945	27228319	0.035180299	2274
ENSCSAT00000015792.1	ENSCSAG00000017698.1_ex2	chr3	+	29164345	29165152	0.022277228	808
ENSCSAT00000015739.1	ENSCSAG00000017645.1_ex2	chr3	+	35428710	35428794	0.011764706	85
ENSCSAT00000015739.1	ENSCSAG00000017645.1_ex5	chr3	+	35514057	35519023	0.01142624	4901
ENSCSAT00000015724.1	ENSCSAG00000017630.1_ex1	chr3	-	50590270	50593854	0.012665353	3553
ENSCSAT00000015616.1	ENSCSAG00000017521.1_ex2	chr3	+	76180860	76184664	0.015388697	3769
ENSCSAT00000015565.1	ENSCSAG00000017471.1_ex2	chr3	-	88071944	88074664	0.024004364	1833
ENSCSAT00000013549.1	ENSCSAG00000015453.1_ex13	chr24	+	14356785	14359882	0.026965562	3078
ENSCSAT00000013268.1	ENSCSAG00000015176.1_ex1	chr24	-	27314282	27317325	0.031040268	2384
ENSCSAT00000004471.1	ENSCSAG00000006440.1_ex6	chr26	+	55538513	55538855	0.005830904	343
ENSCSAT00000005382.1	ENSCSAG00000007337.1_ex4	chr26	+	42911030	42915062	0.028647215	3770
ENSCSAT00000009651.1	ENSCSAG00000011567.1_ex19	chr26	+	29901561	29901669	0.018348624	109
ENSCSAT00000009736.1	ENSCSAG00000011625.1_ex5	chr26	+	28225112	28227963	0.021521906	2602
ENSCSAT00000012130.1	ENSCSAG00000014038.1_ex2	chr26	+	9748336	9749062	0.020718232	724
ENSCSAT00000012817.1	ENSCSAG00000014721.1_ex7	chr26	+	6249837	6251896	0.019743337	2026
ENSCSAT00000014943.1	ENSCSAG00000016847.1_ex1	chr29	-	19632025	19635378	0.017947103	3176
ENSCSAT00000008435.1	ENSCSAG00000010349.1_ex7	chr5	+	2688435	2690582	0.0	2098
ENSCSAT00000007722.1	ENSCSAG00000009642.1_ex1	chr5	-	3641348	3645654	0.0	4107
ENSCSAT00000006728.1	ENSCSAG00000008664.1_ex4	chr5	+	8678136	8682105	0.00521119	3646
ENSCSAT00000006243.1	ENSCSAG00000008198.1_ex21	chr5	+	12031483	12031613	0.048387097	124
ENSCSAT00000006226.1	ENSCSAG00000008177.1_ex1	chr5	-	12110125	12113862	0.038709677	3565
ENSCSAT00000005396.1	ENSCSAG00000007352.1_ex2	chr5	+	19378907	19380332	0.026463512	1247
ENSCSAT00000004440.1	ENSCSAG00000006403.1_ex1	chr5	-	25494991	25495086	0.0	96
ENSCSAT00000002176.1	ENSCSAG00000004146.1_ex1	chr5	-	57937175	57940439	0.022360248	3220
ENSCSAT00000012157.1	ENSCSAG00000014068.1_ex1	chr16	-	1102347	1105411	0.020467836	2736
ENSCSAT00000011290.1	ENSCSAG00000013192.1_ex1	chr16	-	3742880	3746333	0.018599562	2742
ENSCSAT00000008231.1	ENSCSAG00000010211.1_ex13	chr16	+	9227245	9227581	0.020771513	337
ENSCSAT00000007100.1	ENSCSAG00000009036.1_ex1	chr16	-	12835337	12835956	0.0	130
ENSCSAT00000000650.1	ENSCSAG00000002635.1_ex19	chr16	+	67659467	67659599	0.0	133
ENSCSAT00000003897.1	ENSCSAG00000005856.1_ex1	chr16	-	34042550	34047328	0.021370346	4539
ENSCSAT00000002030.1	ENSCSAG00000004001.1_ex16	chr16	+	56946129	56950999	0.0	4614
ENSCSAT00000002479.1	ENSCSAG00000004490.1_ex45	chr16	+	48301294	48301648	0.01971831	355
ENSCSAT00000000417.1	ENSCSAG00000002402.1_ex4	chr16	+	70235103	70235193	0.0	91
ENSCSAT00000000125.1	ENSCSAG00000002109.1_ex9	chr16	+	74503176	74503373	0.0	198
ENSCSAT00000015712.1	ENSCSAG00000017618.1_ex1	chr18	-	60088524	60088733	0.0	193
ENSCSAT00000015648.1	ENSCSAG00000017553.1_ex7	chr18	+	68732890	68736771	0.033608815	3630
ENSCSAT00000015793.1	ENSCSAG00000017699.1_ex10	chr18	+	56941901	56944306	0.027591973	2392
ENSCSAT00000016046.1	ENSCSAG00000017949.1_ex3	chr18	-	35928171	35931631	0.005325444	3380
ENSCSAT00000016122.1	ENSCSAG00000018024.1_ex4	chr18	+	32022033	32024850	0.011777696	2717
ENSCSAT00000016256.1	ENSCSAG00000018160.1_ex5	chr18	+	21197724	21201112	0.027967867	3361
ENSCSAT00000016283.1	ENSCSAG00000018186.1_ex1	chr18	-	17382569	17385906	0.025332098	3237
ENSCSAT00000016287.1	ENSCSAG00000018191.1_ex2	chr18	+	16637763	16637895	0.007518797	133
ENSCSAT00000016327.1	ENSCSAG00000018231.1_ex1	chr18	-	4844049	4846540	0.028237192	2479
ENSCSAT00000009595.1	ENSCSAG00000011506.1_ex1	chr6	-	2287894	2288020	0.023622047	127
ENSCSAT00000003062.1	ENSCSAG00000005029.1_ex1	chr6	-	18457569	18458840	0.0	1270
ENSCSAT00000003010.1	ENSCSAG00000004980.1_ex3	chr6	+	19578733	19580532	0.0	1717
ENSCSAT00000003002.1	ENSCSAG00000004974.1_ex1	chr6	-	19710360	19714476	0.0	3716
ENSCSAT00000003000.1	ENSCSAG00000004971.1_ex1	chr6	-	19789493	19794893	0.0	4913
ENSCSAT00000002984.1	ENSCSAG00000004956.1_ex10	chr6	-	20200655	20201144	0.0	480
ENSCSAT00000002979.1	ENSCSAG00000004945.1_ex3	chr6	+	20334499	20334933	0.0	429
ENSCSAT00000002858.1	ENSCSAG00000004832.1_ex1	chr6	+	25494972	25497142	0.014567669	2128
ENSCSAT00000018617.1	ENSCSAG00000018527.1_ex1	chr6	+	30377426	30378419	0.023565574	976
ENSCSAT00000002238.1	ENSCSAG00000004210.1_ex1	chr6	-	31307607	31308632	0.00877193	1026
ENSCSAT00000001353.1	ENSCSAG00000003326.1_ex3	chr6	+	37752429	37754276	0.0	1703
ENSCSAT00000001350.1	ENSCSAG00000003323.1_ex1	chr6	-	37767320	37769296	0.017829051	1907
ENSCSAT00000001347.1	ENSCSAG00000003321.1_ex1	chr6	-	37798284	37801667	0.0	3144
ENSCSAT00000001043.1	ENSCSAG00000003015.1_ex2	chr6	+	40264301	40268170	0.008279915	3744
ENSCSAT00000016861.1	ENSCSAG00000001668.1_ex1	chr6	-	49002500	49007843	0.027291242	4910
ENSCSAT00000011610.1	ENSCSAG00000013514.1_ex1	chr2	-	31348807	31351119	0.012534819	2154
ENSCSAT00000011682.1	ENSCSAG00000013586.1_ex1	chr2	-	29242424	29245876	0.017328951	3347
ENSCSAT00000008092.1	ENSCSAG00000010002.1_ex3	chr2	+	57458947	57462000	0.015343562	2998
ENSCSAT00000011827.1	ENSCSAG00000013728.1_ex1	chr2	-	25659235	25661864	0.017503805	2628
ENSCSAT00000012055.1	ENSCSAG00000013961.1_ex3	chr2	+	22571077	22574087	0.015824916	2970
ENSCSAT00000013279.1	ENSCSAG00000015184.1_ex1	chr2	-	13215928	13219873	0.018240343	3728
ENSCSAT00000008091.1	ENSCSAG00000010001.1_ex1	chr19	-	10652938	10655787	0.017487509	2802
ENSCSAT00000008091.1	ENSCSAG00000010001.1_ex2	chr19	-	10702018	10706762	0.009571922	3761
ENSCSAT00000003709.1	ENSCSAG00000005671.1_ex5	chr19	-	24742619	24748310	0.01202225	5573
ENSCSAT00000003215.1	ENSCSAG00000005254.1_ex35	chr19	-	29026476	29027458	0.0	865
ENSCSAT00000003166.1	ENSCSAG00000005134.1_ex13	chr19	+	29681185	29684409	0.0	2398
