name	exon	chr	strand	start	end	div	callability
ENSPTRT00000029344	ENSPTRG00000015747_ex1/2	chr3	-	198450274	198453120	0.004691447	2771
ENSPTRT00000029429	ENSPTRG00000015783_ex3/3	chr3	+	202222570	202225725	0.001275104	3137
ENSPTRT00000029656	ENSPTRG00000015883_ex1/10	chr4	-	6491272	6494285	0.003489184	2866
ENSPTRT00000029879	ENSPTRG00000016024_ex9/9	chr4	+	86671247	86676721	0.004429892	5192
ENSPTRT00000029926	ENSPTRG00000016054_ex1/13	chr4	-	78552590	78552598	0.0	9
ENSPTRT00000030001	ENSPTRG00000016100_ex1/3	chr4	+	62628280	62630553	0.003977022	2263
ENSPTRT00000030048	ENSPTRG00000016131_ex1/3	chr4	-	60117991	60119002	0.003243243	925
ENSPTRT00000060211	ENSPTRG00000031197_ex1/4	chr4	-	55445658	55449607	0.002072002	3861
ENSPTRT00000030102	ENSPTRG00000016170_ex9/9	chr4	+	55012581	55016004	0.003531489	3398
ENSPTRT00000030136	ENSPTRG00000016190_ex8/22	chr4	-	53721447	53722329	0.010869565	92
ENSPTRT00000030138	ENSPTRG00000016191_ex1/3	chr4	+	53563242	53563602	NA	0
ENSPTRT00000030393	ENSPTRG00000016332_ex1/3	chr4	-	107817414	107821377	0.001815353	3856
ENSPTRT00000050131	ENSPTRG00000016382_ex46/46	chr4	+	116907446	116909721	0.00222618	2246
ENSPTRT00000030477	ENSPTRG00000016384_ex1/2	chr4	-	117442665	117444064	0.000730994	1368
ENSPTRT00000067874	ENSPTRG00000024046_ex1/17	chr4	+	128767102	128772277	0.002133561	4687
ENSPTRT00000030573	ENSPTRG00000016444_ex5/5	chr4	+	136765782	136767218	0.002969562	1347
ENSPTRT00000030731	ENSPTRG00000016532_ex9/9	chr4	-	158697073	158699125	0.0	807
ENSPTRT00000030780	ENSPTRG00000016559_ex1/14	chr4	-	165644118	165644821	0.001428571	700
ENSPTRT00000030832	ENSPTRG00000016591_ex1/3	chr4	-	174417918	174423632	0.002488446	5626
ENSPTRT00000030854	ENSPTRG00000016607_ex2/11	chr4	-	179138660	179139330	0.003072197	651
ENSPTRT00000030892	ENSPTRG00000016636_ex1/8	chr4	-	188744565	188747239	0.0	2658
ENSPTRT00000065618	ENSPTRG00000033811_ex2/2	chr5	+	6635609	6636983	0.004514673	1329
ENSPTRT00000031146	ENSPTRG00000016776_ex25/25	chr5	+	82214546	82214725	0.005649718	177
ENSPTRT00000031260	ENSPTRG00000016848_ex3/3	chr5	+	72074957	72076860	0.000538213	1858
ENSPTRT00000031287	ENSPTRG00000016868_ex1/2	chr5	-	61388915	61392312	0.002991325	3343
ENSPTRT00000031364	ENSPTRG00000016919_ex1/7	chr5	-	51324907	51325107	0.0	200
ENSPTRT00000055696	ENSPTRG00000016927_ex25/25	chr5	+	50519660	50522862	0.001576293	3172
ENSPTRT00000031562	ENSPTRG00000017026_ex9/9	chr5	+	36414707	36416937	0.00047619	2100
ENSPTRT00000046825	ENSPTRG00000017053_ex4/4	chr5	+	32602580	32602651	0.0	72
ENSPTRT00000031610	ENSPTRG00000017057_ex11/11	chr5	+	31696456	31697724	0.000831947	1202
ENSPTRT00000031692	ENSPTRG00000017102_ex5/5	chr5	+	99761473	99764875	0.003896882	3336
ENSPTRT00000065106	ENSPTRG00000030296_ex1/8	chr5	-	104162369	104164539	0.000470146	2127
ENSPTRT00000055454	ENSPTRG00000017328_ex4/4	chr5	+	142777846	142780562	0.002247191	2670
ENSPTRT00000032348	ENSPTRG00000017494_ex1/11	chr5	-	163393766	163399729	0.002052335	5847
ENSPTRT00000042784	ENSPTRG00000017575_ex5/23	chr5	+	179586989	179589552	0.0	2554
ENSPTRT00000032567	ENSPTRG00000017614_ex1/22	chr5	-	181560147	181560622	0.002118644	472
ENSPTRT00000032773	ENSPTRG00000017734_ex1/2	chr6	-	13585838	13587914	0.001749271	1715
ENSPTRT00000025457	ENSPTRG00000017749_ex4/4	chr6	+	17630032	17632154	0.000482859	2071
ENSPTRT00000032882	ENSPTRG00000017795_ex7/7	chr6	+	26475259	26477220	0.00619195	1938
ENSPTRT00000033498	ENSPTRG00000018121_ex7/7	chr6	+	38220063	38224058	0.00278834	3945
ENSPTRT00000033704	ENSPTRG00000023379_ex1/10	chr6	-	45911742	45911784	0.0	42
ENSPTRT00000033733	ENSPTRG00000018244_ex18/18	chr6	+	48723614	48723704	0.0	87
ENSPTRT00000033819	ENSPTRG00000018296_ex4/4	chr6	+	56179429	56181806	0.002110595	2369
ENSPTRT00000065002	ENSPTRG00000033954_ex5/7	chr6	+	78889322	78889334	0.0	12
ENSPTRT00000034105	ENSPTRG00000018454_ex1/8	chr6	-	106854456	106855051	0.002710027	369
ENSPTRT00000034125	ENSPTRG00000018466_ex1/8	chr6	-	108981663	108983884	0.002730997	2197
ENSPTRT00000034267	ENSPTRG00000018553_ex1/5	chr6	-	120826430	120827901	0.004781421	1464
ENSPTRT00000034280	ENSPTRG00000018560_ex2/2	chr6	+	123505313	123508213	0.000358809	2787
ENSPTRT00000034346	ENSPTRG00000018599_ex7/7	chr6	+	133570158	133572172	0.002501251	1999
ENSPTRT00000034488	ENSPTRG00000018680_ex74/74	chr6	+	147391650	147393672	0.002482622	2014
ENSPTRT00000034506	ENSPTRG00000018689_ex9/9	chr6	+	151731242	151731526	0.003558719	281
ENSPTRT00000034507	ENSPTRG00000018690_ex7/7	chr6	+	152073584	152075634	0.000488759	2046
ENSPTRT00000056737	ENSPTRG00000018724_ex1/12	chr6	-	156996916	156997280	0.0	362
ENSPTRT00000046568	ENSPTRG00000028664_ex5/5	chr7	+	6671279	6673588	0.0	60
ENSPTRT00000064559	ENSPTRG00000034402_ex1/10	chr7	-	16227960	16228227	0.003745318	267
ENSPTRT00000035061	ENSPTRG00000018970_ex6/6	chr7	+	21797973	21801494	0.001455604	3435
ENSPTRT00000035249	ENSPTRG00000019072_ex16/16	chr7	+	34555875	34558651	0.001085384	2764
ENSPTRT00000066596	ENSPTRG00000019246_ex6/6	chr7	+	65771152	65771845	0.001449275	690
ENSPTRT00000035749	ENSPTRG00000019320_ex1/2	chr7	-	75720184	75723637	0.000888889	3375
ENSPTRT00000035882	ENSPTRG00000019389_ex8/50	chr7	+	91625081	91627469	0.001263158	2375
ENSPTRT00000049139	ENSPTRG00000019463_ex1/7	chr7	-	99738542	99739126	0.001724138	580
ENSPTRT00000036325	ENSPTRG00000019612_ex2/2	chr7	+	116705511	116705662	0.0	149
ENSPTRT00000036343	ENSPTRG00000019623_ex1/6	chr7	+	120581776	120582891	0.001876173	1066
ENSPTRT00000036389	ENSPTRG00000019646_ex2/2	chr7	-	125127909	125129583	0.001771479	1129
ENSPTRT00000036463	ENSPTRG00000019683_ex12/12	chr7	+	130174448	130176507	0.00201005	1990
ENSPTRT00000050296	ENSPTRG00000019732_ex2/5	chr7	-	136488327	136489670	0.000750751	1332
ENSPTRT00000055141	ENSPTRG00000028363_ex6/8	chr7	-	149748404	149749193	0.001312336	762
ENSPTRT00000036878	ENSPTRG00000019904_ex2/3	chr7	+	155832169	155832418	0.004132231	242
ENSPTRT00000036980	ENSPTRG00000019946_ex14/14	chr8	+	6692771	6693399	0.009615385	624
ENSPTRT00000037097	ENSPTRG00000020023_ex15/16	chr8	-	13951027	13952663	0.003678725	1631
ENSPTRT00000037255	ENSPTRG00000020113_ex1/9	chr8	-	24352320	24354141	0.00331675	1809
ENSPTRT00000059886	ENSPTRG00000030985_ex3/3	chr8	+	69072174	69072985	0.001236094	809
ENSPTRT00000059839	ENSPTRG00000020488_ex5/5	chr8	+	102258514	102258625	0.0	112
ENSPTRT00000038084	ENSPTRG00000020595_ex1/12	chr8	-	132230276	132230556	0.0	280
ENSPTRT00000038288	ENSPTRG00000024143_ex1/5	chr8	-	144723034	144725503	0.000407498	2454
ENSPTRT00000038553	ENSPTRG00000020837_ex1/4	chr9	-	27935148	27936633	0.00405954	1478
ENSPTRT00000038854	ENSPTRG00000021013_ex1/2	chr9	-	69147779	69151197	0.001213592	3296
ENSPTRT00000038857	ENSPTRG00000021014_ex1/26	chr9	-	69302083	69304437	0.001288106	2329
ENSPTRT00000050236	ENSPTRG00000021064_ex15/15	chr9	+	83820258	83820296	0.0	37
ENSPTRT00000039009	ENSPTRG00000021088_ex6/6	chr9	+	87605288	87608920	0.001119821	3572
ENSPTRT00000039024	ENSPTRG00000021098_ex13/13	chr9	+	90051729	90052339	0.008503401	588
ENSPTRT00000056475	ENSPTRG00000021118_ex1/5	chr9	-	92057562	92060044	0.001210654	2478
ENSPTRT00000044963	ENSPTRG00000021155_ex1/14	chr9	-	95695008	95697715	0.000742942	2692
ENSPTRT00000039179	ENSPTRG00000021186_ex8/8	chr9	+	99097734	99101018	0.000308928	3237
ENSPTRT00000039271	ENSPTRG00000021242_ex14/14	chr9	+	109608869	109610248	0.006676558	1348
ENSPTRT00000039684	ENSPTRG00000021443_ex3/4	chr9	+	128752188	128754353	0.001893939	2112
ENSPTRT00000039793	ENSPTRG00000021484_ex1/2	chr9	-	131264426	131267707	0.006440072	2795
ENSPTRT00000057922	ENSPTRG00000002267_ex15/15	chr10	+	6388444	6391072	0.00621118	2576
ENSPTRT00000004162	ENSPTRG00000002271_ex1/21	chr10	-	7329775	7329916	0.0	136
ENSPTRT00000004188	ENSPTRG00000002286_ex1/15	chr10	-	11729331	11732574	0.001597444	3130
ENSPTRT00000004209	ENSPTRG00000002297_ex1/3	chr10	-	13219888	13221875	0.002738226	1826
ENSPTRT00000004265	ENSPTRG00000002325_ex1/8	chr10	-	17227808	17228437	0.003210273	623
ENSPTRT00000004378	ENSPTRG00000002385_ex1/7	chr10	-	28316175	28318712	0.002372479	2529
ENSPTRT00000050381	ENSPTRG00000002415_ex1/27	chr10	-	34860458	34862460	0.004115226	1944
ENSPTRT00000004541	ENSPTRG00000002443_ex7/7	chr10	+	43348980	43351037	0.0	2001
ENSPTRT00000004718	ENSPTRG00000002526_ex1/21	chr10	-	58879569	58880994	0.0	1420
ENSPTRT00000042292	ENSPTRG00000002588_ex1/5	chr10	-	69383772	69386309	0.007815714	2431
ENSPTRT00000005032	ENSPTRG00000002670_ex1/4	chr10	-	78692312	78696461	0.004152608	3853
ENSPTRT00000043599	ENSPTRG00000002697_ex11/11	chr10	+	84626257	84631339	0.000997407	5013
ENSPTRT00000005200	ENSPTRG00000002753_ex1/10	chr10	-	92363027	92363255	0.0	216
ENSPTRT00000005552	ENSPTRG00000002919_ex1/10	chr10	-	104334898	104335196	0.0	285
ENSPTRT00000043954	ENSPTRG00000002982_ex2/7	chr10	-	118742918	118744886	0.00106383	1880
ENSPTRT00000006038	ENSPTRG00000003151_ex2/6	chr11	-	1316893	1317108	0.0	186
ENSPTRT00000006277	ENSPTRG00000003309_ex7/8	chr11	+	6780733	6783092	0.002126755	2351
ENSPTRT00000006594	ENSPTRG00000003501_ex18/18	chr11	+	35509878	35513147	0.001541307	3244
ENSPTRT00000006601	ENSPTRG00000003504_ex5/5	chr11	+	36094814	36096665	0.002733734	1829
ENSPTRT00000055621	ENSPTRG00000003509_ex10/10	chr11	+	36757238	36760085	0.00253073	2766
ENSPTRT00000007471	ENSPTRG00000004007_ex1/29	chr11	-	68762206	68767781	0.0012939	5410
ENSPTRT00000007612	ENSPTRG00000004088_ex17/17	chr11	+	74520469	74521172	0.001438849	695
ENSPTRT00000007616	ENSPTRG00000004091_ex1/4	chr11	-	74735121	74737052	0.0	733
ENSPTRT00000007782	ENSPTRG00000004171_ex1/11	chr11	-	91675893	91677055	0.004374453	1143
ENSPTRT00000007819	ENSPTRG00000004191_ex2/2	chr11	+	93661077	93665355	0.001187648	4210
ENSPTRT00000045962	ENSPTRG00000004748_ex16/16	chr12	+	21230364	21231276	0.0	890
ENSPTRT00000046590	ENSPTRG00000004834_ex1/23	chr12	-	48797134	48797468	0.002985075	335
ENSPTRT00000008986	ENSPTRG00000004853_ex1/22	chr12	-	43878416	43881520	0.00066291	3017
ENSPTRT00000009288	ENSPTRG00000005048_ex4/4	chr12	+	34558929	34559112	0.0	184
ENSPTRT00000067935	ENSPTRG00000005162_ex7/7	chr12	+	27809309	27811444	0.001459144	2056
ENSPTRT00000009500	ENSPTRG00000005165_ex10/10	chr12	+	26862082	26866732	0.000437924	4567
ENSPTRT00000046438	ENSPTRG00000005170_ex2/23	chr12	-	25333690	25335042	0.001494768	1338
ENSPTRT00000009570	ENSPTRG00000005208_ex1/10	chr12	-	69988675	69990879	0.004145555	2171
ENSPTRT00000009596	ENSPTRG00000005218_ex3/3	chr12	+	70756808	70757342	0.001912046	523
ENSPTRT00000009709	ENSPTRG00000005281_ex1/10	chr12	-	89345218	89349618	0.0020723	4343
ENSPTRT00000067114	ENSPTRG00000005286_ex1/22	chr12	-	90433870	90437113	0.000619387	3229
ENSPTRT00000009881	ENSPTRG00000005379_ex4/4	chr12	+	105900078	105901235	0.0	1089
ENSPTRT00000010347	ENSPTRG00000005627_ex6/6	chr12	+	130686581	130689403	0.004587156	2616
ENSPTRT00000010349	ENSPTRG00000005629_ex8/8	chr12	+	130983338	130985372	0.005319149	1880
ENSPTRT00000010791	ENSPTRG00000005872_ex1/9	chr13	-	49199374	49201702	0.003461705	2311
ENSPTRT00000010816	ENSPTRG00000005888_ex4/4	chr13	+	51198317	51199124	0.001364256	733
ENSPTRT00000060167	ENSPTRG00000005914_ex1/4	chr13	+	57541135	57544592	0.001766004	2265
ENSPTRT00000060167	ENSPTRG00000005914_ex4/4	chr13	+	57636675	57640992	0.001659948	4217
ENSPTRT00000010876	ENSPTRG00000005924_ex1/12	chr13	-	71617158	71619876	0.0	2682
ENSPTRT00000010989	ENSPTRG00000005983_ex2/2	chr13	+	98230434	98234214	0.001607286	3733
ENSPTRT00000011069	ENSPTRG00000006030_ex2/5	chr13	-	110828291	110828707	0.0	47
ENSPTRT00000011516	ENSPTRG00000006284_ex14/14	chr14	+	36685331	36689685	0.001476015	4065
ENSPTRT00000011584	ENSPTRG00000006329_ex1/10	chr14	-	49445365	49445561	0.0	196
ENSPTRT00000044314	ENSPTRG00000006831_ex1/10	chr15	-	24022275	24026886	0.001321877	4539
ENSPTRT00000048729	ENSPTRG00000006912_ex1/4	chr15	-	37053471	37057462	0.002302968	3908
ENSPTRT00000049347	ENSPTRG00000007092_ex1/20	chr15	-	50860560	50864560	0.000938527	2131
ENSPTRT00000013091	ENSPTRG00000007095_ex1/6	chr15	-	52617337	52619336	0.003041054	1973
ENSPTRT00000058382	ENSPTRG00000030242_ex1/2	chr15	-	71538795	71539607	0.0	622
ENSPTRT00000013505	ENSPTRG00000007322_ex1/7	chr15	-	74912052	74912990	0.001068376	936
ENSPTRT00000013844	ENSPTRG00000007511_ex1/9	chr15	-	99222974	99224705	0.004081633	1715
ENSPTRT00000064224	ENSPTRG00000007671_ex10/10	chr16	+	3063262	3065780	0.004964832	2417
ENSPTRT00000014217	ENSPTRG00000007711_ex1/9	chr16	-	4083323	4084515	0.0	1074
ENSPTRT00000014286	ENSPTRG00000007751_ex6/6	chr16	+	9399757	9400002	0.0	244
ENSPTRT00000014328	ENSPTRG00000007785_ex12/12	chr16	+	12945855	12945982	0.0	87
ENSPTRT00000014331	ENSPTRG00000007787_ex1/4	chr16	-	13043566	13048747	0.00571091	5078
ENSPTRT00000014476	ENSPTRG00000007857_ex2/2	chr16	+	21339260	21341066	0.002258611	1771
ENSPTRT00000060311	ENSPTRG00000007918_ex1/6	chr16	-	28223998	28224575	0.003913894	511
ENSPTRT00000015271	ENSPTRG00000008282_ex5/5	chr16	+	69284533	69288369	0.001322401	3781
ENSPTRT00000015716	ENSPTRG00000008522_ex1/4	chr17	-	1384134	1385603	0.000689655	1450
ENSPTRT00000015851	ENSPTRG00000008589_ex1/5	chr17	-	4345715	4349035	0.001229634	3253
ENSPTRT00000016130	ENSPTRG00000008761_ex2/14	chr17	-	46563082	46563407	0.0	319
ENSPTRT00000016188	ENSPTRG00000008789_ex2/2	chr17	+	42857032	42858161	0.00131406	761
ENSPTRT00000016709	ENSPTRG00000009070_ex21/21	chr17	+	19039809	19039944	0.0	120
ENSPTRT00000017361	ENSPTRG00000009468_ex5/5	chr17	+	58608670	58611085	0.00334588	2391
ENSPTRT00000059603	ENSPTRG00000009538_ex1/16	chr17	-	63613744	63615086	0.0015163	1319
ENSPTRT00000017604	ENSPTRG00000009600_ex1/43	chr17	-	72823387	72824373	0.003218884	932
ENSPTRT00000017816	ENSPTRG00000009707_ex5/5	chr17	+	77896315	77898491	0.004396678	2047
ENSPTRT00000018008	ENSPTRG00000009806_ex10/10	chr17	+	82846790	82850087	0.005177994	3090
ENSPTRT00000018052	ENSPTRG00000009824_ex12/12	chr18	+	16073833	16076873	0.003371544	2966
ENSPTRT00000018113	ENSPTRG00000009861_ex1/7	chr18	-	6725587	6728912	0.002135448	3278
ENSPTRT00000018214	ENSPTRG00000009921_ex1/10	chr18	-	19407105	19408396	0.006216006	1287
ENSPTRT00000018330	ENSPTRG00000009986_ex4/6	chr18	+	41148135	41151595	0.001464987	3413
ENSPTRT00000018370	ENSPTRG00000010010_ex1/4	chr18	-	45146349	45148407	0.001542416	1945
ENSPTRT00000018439	ENSPTRG00000010052_ex9/13	chr18	-	55003298	55004470	0.001777778	1125
ENSPTRT00000056599	ENSPTRG00000010075_ex7/7	chr18	+	58879822	58880109	0.0	18
ENSPTRT00000018483	ENSPTRG00000010079_ex1/3	chr18	-	59631472	59636871	0.003405866	5285
ENSPTRT00000018558	ENSPTRG00000010117_ex8/9	chr18	+	71942385	71943401	0.001727116	579
ENSPTRT00000018804	ENSPTRG00000010239_ex1/3	chr19	-	2533133	2533806	0.004580153	655
ENSPTRT00000019836	ENSPTRG00000010750_ex1/5	chr19	-	20513820	20514496	0.003159558	633
ENSPTRT00000066822	ENSPTRG00000010752_ex4/4	chr19	+	21829576	21831375	0.001131222	1768
ENSPTRT00000019883	ENSPTRG00000010763_ex1/5	chr19	-	22002517	22004202	0.000601685	1662
ENSPTRT00000051006	ENSPTRG00000029066_ex1/4	chr19	-	22087377	22089242	0.00128123	1561
ENSPTRT00000068145	ENSPTRG00000029064_ex2/4	chr19	-	22454954	22455577	0.0	594
ENSPTRT00000049692	ENSPTRG00000010768_ex4/6	chr19	+	22596640	22598916	0.00251004	1992
ENSPTRT00000019970	ENSPTRG00000010786_ex2/5	chr19	+	35788673	35790845	0.002439024	1230
ENSPTRT00000020078	ENSPTRG00000010844_ex1/1	chr19	+	40957394	40958387	0.003125	960
ENSPTRT00000064464	ENSPTRG00000010896_ex5/5	chr19	+	42635546	42637866	0.001315789	2280
ENSPTRT00000020648	ENSPTRG00000011111_ex4/4	chr19	+	49869871	49872292	0.001252087	2396
ENSPTRT00000065793	ENSPTRG00000011112_ex2/5	chr19	-	49884609	49885052	0.002267574	441
ENSPTRT00000049473	ENSPTRG00000011113_ex1/4	chr19	-	49921940	49925324	0.004139562	3382
ENSPTRT00000020809	ENSPTRG00000011198_ex1/8	chr19	+	52549483	52553164	0.000821243	3653
ENSPTRT00000021495	ENSPTRG00000011536_ex1/5	chr19	-	62285891	62288764	0.002464789	2840
ENSPTRT00000024606	ENSPTRG00000013238_ex3/3	chr20	+	6720422	6722441	0.001007049	1986
ENSPTRT00000024610	ENSPTRG00000013241_ex32/32	chr20	+	8847129	8847357	0.0	227
ENSPTRT00000025028	ENSPTRG00000013459_ex3/3	chr20	+	33740584	33743594	0.002041511	2939
ENSPTRT00000025082	ENSPTRG00000013481_ex7/7	chr20	+	35269836	35272469	0.001536098	2604
ENSPTRT00000025116	ENSPTRG00000013501_ex2/4	chr20	-	38473653	38476663	0.002352941	2975
ENSPTRT00000025380	ENSPTRG00000013620_ex3/4	chr20	+	48228131	48228190	0.0	58
ENSPTRT00000026531	ENSPTRG00000014201_ex1/10	chr22	-	26582684	26582866	0.005847953	171
ENSPTRT00000026531	ENSPTRG00000014201_ex2/10	chr22	-	26628711	26629252	0.0	264
ENSPTRT00000027002	ENSPTRG00000014452_ex4/4	chr22	-	41269289	41275084	0.001051525	5706
ENSPTRT00000067538	ENSPTRG00000014511_ex31/33	chr22	-	45732162	45734984	0.003355705	2086
ENSPTRT00000027145	ENSPTRG00000014516_ex13/13	chr22	+	46386156	46386723	0.012145749	494
