name	exon	chr	strand	intergenic_5p_start	intergenic_5p_end	intergenic_3p_start	intergenic_3p_end	div_5p	5p_callability	div_3p	3p_callability
ENSCSAT00000013654.1	ENSCSAG00000015559.1_ex1	chr25	-	14342551	14362044	14270072	14340121	0.0357881	18386	0.030876371	64904
ENSCSAT00000013773.1	ENSCSAG00000015679.1_ex7	chr25	+	13080744	13086771	13090734	13132154	0.030395137	5922	0.034457744	27570
ENSCSAT00000008139.1	ENSCSAG00000010055.1_ex1	chr25	-	72728134	72741870	72702682	72728006	0.026536427	12285	0.011404779	22096
ENSCSAT00000007195.1	ENSCSAG00000009127.1_ex11	chr25	+	83700884	83703820	83706698	83735274	NA	0	NA	0
ENSCSAT00000005091.1	ENSCSAG00000007051.1_ex1	chr14	-	100780859	100781882	100760968	100778300	0.026785714	1008	0.033619906	14307
ENSCSAT00000006683.1	ENSCSAG00000008663.1_ex15	chr14	+	81909584	81912230	81914680	81936351	0.028723841	2437	0.028631285	20048
ENSCSAT00000006749.1	ENSCSAG00000008688.1_ex1	chr14	+	81569525	81666791	81669090	81681228	0.022502369	75992	0.024186498	10295
ENSCSAT00000008728.1	ENSCSAG00000010645.1_ex1	chr14	-	78804782	78807536	78748188	78804546	0.024417731	2662	0.014806707	48424
ENSCSAT00000009198.1	ENSCSAG00000011112.1_ex1	chr14	-	77280696	77292247	77184998	77280508	0.028938907	10574	0.029142154	80399
ENSCSAT00000009212.1	ENSCSAG00000011124.1_ex1	chr14	-	76876935	76916610	76645155	76872887	0.018370636	27925	0.029187116	180936
ENSCSAT00000009593.1	ENSCSAG00000011510.1_ex1	chr14	-	75346699	75347684	75341881	75343325	0.027210884	294	0.0	641
ENSCSAT00000011451.1	ENSCSAG00000013435.1_ex1	chr14	-	61026164	61038400	60969401	61026015	0.032004992	11217	0.027824819	46649
ENSCSAT00000012982.1	ENSCSAG00000014912.1_ex1	chr14	-	38540287	38544820	38464930	38540082	0.001479655	4055	0.024984214	47510
ENSCSAT00000013063.1	ENSCSAG00000014972.1_ex1	chr14	-	37881401	37907443	37747778	37877434	0.03016164	24004	0.030621872	111293
ENSCSAT00000013415.1	ENSCSAG00000015340.1_ex14	chr14	+	34213728	34221665	34221745	34283321	0.030960572	7558	0.029046018	55326
ENSCSAT00000013611.1	ENSCSAG00000015514.1_ex9	chr14	-	33233005	33254766	33217898	33230869	0.028530525	19558	0.030941409	10633
ENSCSAT00000014442.1	ENSCSAG00000016352.1_ex3	chr14	+	20551684	20555189	20557850	20576333	0.027337683	3219	0.03271839	15557
ENSCSAT00000015081.1	ENSCSAG00000016986.1_ex9	chr14	+	13021555	13027327	13030465	13085088	0.035868782	5548	0.0	48776
ENSCSAT00000014624.1	ENSCSAG00000016529.1_ex24	chr10	+	12377915	12380290	12380364	12737969	0.025344353	1815	0.015539486	258181
ENSCSAT00000014066.1	ENSCSAG00000015970.1_ex3	chr10	+	40181327	40255061	40255647	40493982	0.027490027	62168	0.025323416	138212
ENSCSAT00000010124.1	ENSCSAG00000012033.1_ex1	chr10	-	77373826	77378778	77094438	77371172	0.028548124	4904	0.02740609	231153
ENSCSAT00000009468.1	ENSCSAG00000011380.1_ex1	chr10	-	84764673	84782720	84015542	84761424	0.026879487	16853	0.026648491	646303
ENSCSAT00000008355.1	ENSCSAG00000010270.1_ex20	chr10	+	91356833	91389359	91389719	91425045	0.031021501	27626	0.030172671	33474
ENSCSAT00000004285.1	ENSCSAG00000006235.1_ex2	chr10	+	121057730	121060545	121062907	121067682	0.04396516	2411	0.03915744	3703
ENSCSAT00000008871.1	ENSCSAG00000010783.1_ex1	chr22	-	44879612	44884135	44819267	44875290	0.029203957	4246	0.006853733	49608
ENSCSAT00000007291.1	ENSCSAG00000009224.1_ex2	chr22	+	50750541	50754708	50757342	50777049	0.033213937	3071	0.032343672	18087
ENSCSAT00000007844.1	ENSCSAG00000009757.1_ex8	chr15	+	68660478	68665060	68665259	69181611	0.027094152	4429	0.028234994	462582
ENSCSAT00000014807.1	ENSCSAG00000016711.1_ex2	chr22	-	4524252	4536224	4522407	4522597	0.033211971	11261	0.015706806	191
ENSCSAT00000014749.1	ENSCSAG00000016664.1_ex10	chr22	+	5830159	5833158	5833401	5844779	0.029390421	2756	NA	0
ENSCSAT00000014694.1	ENSCSAG00000016604.1_ex3	chr22	+	6132364	6135267	6136516	6164988	0.031514581	2126	NA	0
ENSCSAT00000004314.1	ENSCSAG00000006281.1_ex1	chr22	-	78406764	78406966	78050111	78406586	0.024630542	203	0.026305227	291501
ENSCSAT00000004336.1	ENSCSAG00000006301.1_ex19	chr22	+	75172978	75178287	75178549	75606752	NA	0	NA	0
ENSCSAT00000009594.1	ENSCSAG00000011508.1_ex6	chr15	+	41186459	41189517	41193269	41262086	0.032742156	2199	0.028886052	62660
ENSCSAT00000009600.1	ENSCSAG00000011515.1_ex5	chr15	+	40958944	40963490	40966891	41009752	0.03192244	4229	0.02266653	38912
ENSCSAT00000010072.1	ENSCSAG00000011987.1_ex1	chr15	-	35580814	35584938	35232971	35580712	0.036635707	3876	0.020548591	296760
ENSCSAT00000010888.1	ENSCSAG00000012797.1_ex1	chr15	-	17063675	17071548	16896582	17059957	0.022046815	7348	0.020757876	131420
ENSCSAT00000012067.1	ENSCSAG00000013974.1_ex2	chr15	+	4302092	4337058	4337614	4522044	0.029935464	25722	0.02669518	151975
ENSCSAT00000007004.1	ENSCSAG00000008934.1_ex1	chr15	-	86894222	86951508	86864934	86891381	0.033381233	51496	0.028854948	21868
ENSCSAT00000006679.1	ENSCSAG00000008621.1_ex1	chr15	-	90634445	90637669	90604252	90629328	0.026011561	2422	0.029855158	20298
ENSCSAT00000014211.1	ENSCSAG00000016118.1_ex1	chr27	-	42452655	42455476	42346552	42449617	0.04153605	2552	0.034517613	86072
ENSCSAT00000015225.1	ENSCSAG00000017132.1_ex9	chr27	+	4213729	4218854	4219123	4891019	0.042241912	4853	0.014599212	543043
ENSCSAT00000002990.1	ENSCSAG00000004960.1_ex1	chr7	-	16343010	16343162	16054378	16340605	0.019607843	153	0.026614231	236227
ENSCSAT00000003249.1	ENSCSAG00000005216.1_ex1	chr7	+	1176650	1207626	1208352	1212916	0.0	26814	0.0	4059
ENSCSAT00000002911.1	ENSCSAG00000004879.1_ex2	chr7	+	18985516	18988874	18989956	19048627	0.033577534	3276	0.026952842	52462
ENSCSAT00000002750.1	ENSCSAG00000004720.1_ex4	chr7	+	23573704	23578496	23582474	23804313	0.0327654	4578	0.025902377	164039
ENSCSAT00000002745.1	ENSCSAG00000004717.1_ex1	chr7	-	23989874	23993615	23649016	23989743	0.032454361	3451	0.02664254	252003
ENSCSAT00000002628.1	ENSCSAG00000004597.1_ex3	chr7	+	25234446	25238329	25241509	25244846	0.023020775	3562	0.023159898	3152
ENSCSAT00000018117.1	ENSCSAG00000000418.1_ex1	chr7	-	25399767	25525117	25194781	25397383	0.027018808	88790	0.014439314	154855
ENSCSAT00000002038.1	ENSCSAG00000004010.1_ex1	chr7	-	52531862	52541041	52440536	52527745	0.029891304	8832	0.026953742	80397
ENSCSAT00000001830.1	ENSCSAG00000003803.1_ex49	chr7	+	61168841	61172062	61175520	61192741	0.034119782	2755	0.029364621	15597
ENSCSAT00000001821.1	ENSCSAG00000003792.1_ex1	chr7	-	61713462	61749970	61631883	61712061	0.032609346	33426	0.027959754	48999
ENSCSAT00000001661.1	ENSCSAG00000003634.1_ex1	chr7	+	72198150	72500262	72504479	72518381	0.025626446	256766	0.030380673	13660
ENSCSAT00000001584.1	ENSCSAG00000003553.1_ex5	chr7	+	80212126	80225736	80225758	81052842	0.037245314	12270	0.029575648	700103
ENSCSAT00000001304.1	ENSCSAG00000003278.1_ex8	chr7	-	101036305	101057876	100978880	101034266	0.030384101	20932	0.031375657	51728
ENSCSAT00000001231.1	ENSCSAG00000003200.1_ex1	chr7	-	107860816	107894721	107079071	107857486	0.026156816	32114	0.026397144	623325
ENSCSAT00000001141.1	ENSCSAG00000003111.1_ex1	chr7	-	116199499	116206351	116092591	116193727	0.035370309	6022	0.030196655	82327
ENSCSAT00000001120.1	ENSCSAG00000003089.1_ex1	chr7	-	120740409	120747934	120680468	120739919	0.037621024	7230	0.01310317	49530
ENSCSAT00000001038.1	ENSCSAG00000003012.1_ex1	chr7	-	130060857	130063849	129855343	130060649	0.0	2593	0.028784479	183189
ENSCSAT00000015434.1	ENSCSAG00000017341.1_ex2	chr4	+	6157468	6177915	6178049	6245402	0.032607008	19321	0.029940982	55576
ENSCSAT00000015253.1	ENSCSAG00000017158.1_ex1	chr4	-	32761571	32764591	32240381	32757682	0.039143279	2708	0.012569632	361904
ENSCSAT00000014856.1	ENSCSAG00000016759.1_ex3	chr4	-	42225901	42230212	42225668	42225721	0.0	4026	0.0	54
ENSCSAT00000014700.1	ENSCSAG00000016605.1_ex2	chr4	+	50796132	50807524	50811254	51040932	0.032694787	10858	0.030590055	205557
ENSCSAT00000014085.1	ENSCSAG00000015992.1_ex7	chr4	+	60535837	60552681	60557228	60624838	0.024294768	16094	0.0	46990
ENSCSAT00000014056.1	ENSCSAG00000015963.1_ex1	chr4	-	61342655	61349118	61174249	61338927	0.026468689	6196	0.028301039	144659
ENSCSAT00000013323.1	ENSCSAG00000015226.1_ex1	chr4	-	73594216	73604178	73582267	73589493	0.032973092	9068	0.03030789	6236
ENSCSAT00000013004.1	ENSCSAG00000014909.1_ex1	chr4	-	77160747	77163988	76776187	77156041	0.032593123	2792	0.02640496	325810
ENSCSAT00000012923.1	ENSCSAG00000014835.1_ex1	chr4	-	78050763	78060623	77984328	78047501	0.033934479	9371	0.02933973	59612
ENSCSAT00000013444.1	ENSCSAG00000015350.1_ex4	chr23	+	2358269	2364825	2369295	2419033	0.028265107	6156	0.024912818	37852
ENSCSAT00000013255.1	ENSCSAG00000015159.1_ex1	chr23	-	6529092	6533766	6245746	6526423	0.02020202	2871	0.028482627	250960
ENSCSAT00000010630.1	ENSCSAG00000012587.1_ex4	chr23	+	43625248	43638161	43638474	43659961	0.028139836	11585	0.026785714	18928
ENSCSAT00000008430.1	ENSCSAG00000010344.1_ex1	chr23	-	63637457	63655893	63344246	63637107	0.029995644	16069	0.027908674	246590
ENSCSAT00000006994.1	ENSCSAG00000008928.1_ex6	chr23	+	79215849	79218586	79221145	79232566	0.028753994	2504	0.00525172	5522
ENSCSAT00000006524.1	ENSCSAG00000008473.1_ex1	chr23	-	80856062	80859931	80799519	80852329	0.034977578	3345	0.028254956	40807
ENSCSAT00000005575.1	ENSCSAG00000007527.1_ex2	chr17	+	58722022	58782742	58783664	58803039	0.009640249	52592	0.0	15704
ENSCSAT00000005644.1	ENSCSAG00000007599.1_ex1	chr17	-	54855903	54859096	54798259	54853759	0.021045918	3136	0.011695906	43947
ENSCSAT00000005945.1	ENSCSAG00000007893.1_ex1	chr17	-	46271422	46276384	46216469	46268287	0.010304659	4464	0.0	47760
ENSCSAT00000008561.1	ENSCSAG00000010478.1_ex1	chr17	-	34754679	34758627	34729979	34751943	0.032366071	3584	0.023791775	16098
ENSCSAT00000010564.1	ENSCSAG00000012475.1_ex9	chr17	+	27319516	27358857	27361707	27551641	0.025307225	37025	0.027401005	164629
ENSCSAT00000010732.1	ENSCSAG00000012642.1_ex1	chr17	-	24667196	24674362	24623255	24663870	0.033041788	4116	0.03008755	24329
ENSCSAT00000011298.1	ENSCSAG00000013206.1_ex1	chr17	-	16588160	16594202	16438493	16582780	0.010625536	5835	0.01441433	128622
ENSCSAT00000015543.1	ENSCSAG00000017449.1_ex4	chr13	+	2573307	2618315	2619082	3097289	0.027683316	18820	0.002200437	309484
ENSCSAT00000012805.1	ENSCSAG00000014711.1_ex8	chr13	+	68696647	68703867	68707886	68731268	0.035657342	6899	0.030581614	21320
ENSCSAT00000012973.1	ENSCSAG00000014881.1_ex8	chr13	+	66685232	66702336	66704697	66731854	0.016795666	12920	0.019261637	22428
ENSCSAT00000014173.1	ENSCSAG00000016078.1_ex13	chr13	+	55062179	55067053	55070329	55148110	0.0	3606	0.009083168	66937
ENSCSAT00000014309.1	ENSCSAG00000016217.1_ex2	chr13	-	52399372	52404761	52398643	52398712	0.028249885	4354	0.0	2
ENSCSAT00000014728.1	ENSCSAG00000016634.1_ex1	chr13	-	42272174	42300956	42126604	42270157	0.028121576	24643	0.020632868	105172
ENSCSAT00000015198.1	ENSCSAG00000017106.1_ex1	chr13	-	28356820	28358938	27339242	28354586	0.037549407	2024	0.023946919	277614
ENSCSAT00000015291.1	ENSCSAG00000017203.1_ex1	chr13	-	22598257	22624747	22479013	22597971	0.030253192	23105	0.028738026	96040
ENSCSAT00000015307.1	ENSCSAG00000017214.1_ex1	chr13	-	22236784	22242364	22151665	22234010	0.027739632	3641	0.029964301	61907
ENSCSAT00000011548.1	ENSCSAG00000013457.1_ex1	chr13	-	81691988	81695972	81308594	81691773	0.043236927	3423	0.028745402	215304
ENSCSAT00000015786.1	ENSCSAG00000017690.1_ex5	chr28	+	15858991	15863110	15867304	15874351	NA	0	NA	0
ENSCSAT00000011509.1	ENSCSAG00000013420.1_ex10	chr21	+	41945972	42008182	42010302	42207021	0.032242255	57130	0.032343931	174314
ENSCSAT00000011709.1	ENSCSAG00000013609.1_ex1	chr21	-	36752341	36766528	36734203	36747894	0.033362924	13518	0.030313528	11546
ENSCSAT00000012991.1	ENSCSAG00000014898.1_ex1	chr21	-	24257267	24262148	24184269	24255864	0.034163544	4537	0.026746253	61317
ENSCSAT00000016385.1	ENSCSAG00000018288.1_ex5	chr28	+	1858949	1862241	1864828	1894941	0.045322698	2758	0.035842855	12778
ENSCSAT00000016230.1	ENSCSAG00000018132.1_ex1	chr28	-	10466443	10480322	10369985	10462857	0.033272486	12052	0.024746601	40450
ENSCSAT00000010624.1	ENSCSAG00000012537.1_ex44	chr21	-	57001741	57004234	56995043	56999351	0.04361874	2476	0.04614117	3641
ENSCSAT00000015923.1	ENSCSAG00000017827.1_ex6	chr28	+	13187002	13192458	13195801	13201351	0.028419546	4891	0.0	4544
ENSCSAT00000009017.1	ENSCSAG00000010925.1_ex3	chr21	+	85201123	85203957	85206589	85214733	0.035362578	2234	0.030337505	7911
ENSCSAT00000008868.1	ENSCSAG00000010780.1_ex1	chr21	+	87995792	89092904	89094021	89113228	0.011685129	686428	0.029773568	18372
ENSCSAT00000008334.1	ENSCSAG00000010249.1_ex2	chr21	-	93507057	93539164	93496890	93505254	0.031420912	27975	0.029103906	7834
ENSCSAT00000007972.1	ENSCSAG00000009893.1_ex11	chr21	+	98361145	98375049	98377097	98476479	0.026180026	12987	0.03000454	72689
ENSCSAT00000006970.1	ENSCSAG00000008898.1_ex1	chr21	-	104609192	104619449	104516566	104605590	0.027857617	9046	0.029720454	70221
ENSCSAT00000005060.1	ENSCSAG00000007020.1_ex1	chr21	-	117676103	117678400	117660372	117673143	NA	0	NA	0
ENSCSAT00000004554.1	ENSCSAG00000006516.1_ex2	chr21	+	123235852	123241147	123241482	123288465	NA	0	NA	0
ENSCSAT00000015096.1	ENSCSAG00000017002.1_ex14	chr8	+	6414533	6425074	6425132	6456909	0.035003144	9542	0.017002496	27643
ENSCSAT00000014842.1	ENSCSAG00000016743.1_ex14	chr8	-	15853294	15907673	15846085	15851044	0.035622626	48705	0.035331906	4670
ENSCSAT00000014049.1	ENSCSAG00000015956.1_ex1	chr8	-	25977518	25980074	25959092	25975120	0.033898305	2301	0.022400676	7098
ENSCSAT00000011913.1	ENSCSAG00000013824.1_ex2	chr8	+	66452405	66462803	66463497	67117555	0.018779343	9372	0.027031601	573218
ENSCSAT00000010006.1	ENSCSAG00000011912.1_ex3	chr8	+	98073812	98082020	98082133	98118164	0.018747337	7041	NA	0
ENSCSAT00000007997.1	ENSCSAG00000009917.1_ex1	chr8	-	127010906	127016561	126815665	127008617	0.038854806	4890	0.030943043	166758
ENSCSAT00000006275.1	ENSCSAG00000008222.1_ex1	chr8	-	138919495	138935795	138900205	138913806	0.0	11356	0.0	11088
ENSCSAT00000007880.1	ENSCSAG00000009793.1_ex4	chr12	+	52711821	52725679	52725711	52741296	0.032624456	12414	0.011384299	12649
ENSCSAT00000006408.1	ENSCSAG00000008358.1_ex1	chr12	-	81454624	81467106	81417780	81454392	0.027990698	11611	0.01821488	32446
ENSCSAT00000006371.1	ENSCSAG00000008347.1_ex2	chr12	-	81611204	81611791	81610085	81610918	0.055172414	290	0.006188119	808
ENSCSAT00000005525.1	ENSCSAG00000007484.1_ex12	chr12	+	95590872	95620325	95620365	96119166	0.031722054	27804	0.028859738	441688
ENSCSAT00000005381.1	ENSCSAG00000007339.1_ex5	chr12	+	98957129	98960733	98960935	98987692	0.036090226	2660	0.02451402	23252
ENSCSAT00000005323.1	ENSCSAG00000007280.1_ex14	chr12	+	101343770	101347136	101349857	101717429	0.032801685	3323	0.032729467	323195
ENSCSAT00000005019.1	ENSCSAG00000006974.1_ex1	chr12	-	104910032	104913701	104886676	104904135	0.022776239	3249	0.0	8352
ENSCSAT00000004757.1	ENSCSAG00000006736.1_ex14	chr12	+	106630362	106633278	106633317	106673313	0.039874082	2859	0.034212215	34286
ENSCSAT00000009175.1	ENSCSAG00000011090.1_ex1	chr12	-	39571385	39578665	39542191	39567850	0.027244882	6203	0.028073476	20197
ENSCSAT00000009851.1	ENSCSAG00000011760.1_ex1	chr12	-	29375810	29378905	29059937	29371207	0.033666667	3000	0.027228523	247608
ENSCSAT00000012550.1	ENSCSAG00000014458.1_ex2	chr12	-	9249629	9259127	9243562	9247462	0.022077114	6432	0.035849607	3431
ENSCSAT00000012924.1	ENSCSAG00000014833.1_ex2	chr12	+	6871396	6878709	6881992	7001737	0.031008948	6482	0.027436235	99467
ENSCSAT00000011627.1	ENSCSAG00000013532.1_ex15	chr9	+	6349632	6352125	6354933	6410509	0.039173014	1838	0.009224965	43469
ENSCSAT00000011582.1	ENSCSAG00000013499.1_ex1	chr9	-	7226436	7229993	6923891	7226293	0.033848847	3427	0.006990985	259334
ENSCSAT00000011482.1	ENSCSAG00000013395.1_ex1	chr9	-	11519563	11529292	11220131	11514088	0.02995499	6443	0.032211861	270894
ENSCSAT00000011313.1	ENSCSAG00000013223.1_ex1	chr9	-	12942686	12955473	12856211	12940632	0.034067447	11624	0.030427453	73552
ENSCSAT00000010857.1	ENSCSAG00000012762.1_ex1	chr9	-	16539860	16592484	16501513	16535571	0.031871087	47598	0.029083009	28539
ENSCSAT00000009836.1	ENSCSAG00000011743.1_ex1	chr9	-	27230575	27230627	27098903	27227972	0.0	53	0.012311705	104291
ENSCSAT00000009473.1	ENSCSAG00000011392.1_ex1	chr9	-	33398727	33402692	33014673	33396244	0.031356899	3508	0.02868302	330544
ENSCSAT00000009049.1	ENSCSAG00000010963.1_ex8	chr9	+	38848111	38851160	38853708	38923144	0.030946065	2262	0.03044246	58898
ENSCSAT00000005422.1	ENSCSAG00000007379.1_ex48	chr9	+	71244352	71250612	71254246	71318638	0.029104217	5738	0.027814682	58710
ENSCSAT00000006338.1	ENSCSAG00000008285.1_ex4	chr9	+	60999887	61012838	61015357	61028461	0.031838856	9234	0.035347985	10920
ENSCSAT00000007400.1	ENSCSAG00000009325.1_ex4	chr9	+	52069420	52072662	52076901	52744394	0.037817938	2988	0.030350124	588762
ENSCSAT00000007697.1	ENSCSAG00000009619.1_ex1	chr9	-	47324293	47327372	47159904	47324227	0.0339098	2949	0.028784044	125243
ENSCSAT00000004620.1	ENSCSAG00000006579.1_ex1	chr9	-	85331694	85346281	85257226	85331464	0.027916667	12000	0.02142059	63537
ENSCSAT00000003351.1	ENSCSAG00000005318.1_ex2	chr9	-	96932084	96935362	96926009	96931885	0.024691358	2997	0.034276082	5339
ENSCSAT00000002821.1	ENSCSAG00000004789.1_ex1	chr9	-	110809653	110812576	110549768	110805020	0.025910364	2856	0.030861586	236378
ENSCSAT00000008039.1	ENSCSAG00000009953.1_ex6	chr1	+	1119244	1123769	1125046	1159426	NA	0	NA	0
ENSCSAT00000002402.1	ENSCSAG00000004376.1_ex1	chr1	-	57863740	57866687	57824576	57862896	0.030449827	2890	0.019620109	35168
ENSCSAT00000003468.1	ENSCSAG00000005433.1_ex1	chr1	-	30043136	30046545	30004770	30039747	0.024305556	3168	0.027029552	32113
ENSCSAT00000003504.1	ENSCSAG00000005470.1_ex1	chr1	-	29464161	29494510	29390783	29464088	0.023461874	24039	0.020579268	41984
ENSCSAT00000003511.1	ENSCSAG00000005478.1_ex1	chr1	-	28774662	28780497	28724701	28771791	0.035350249	4611	0.030547848	40723
ENSCSAT00000007447.1	ENSCSAG00000009403.1_ex9	chr1	+	4095290	4101145	4101718	4424206	0.032709431	5503	0.028759368	258594
ENSCSAT00000001934.1	ENSCSAG00000003902.1_ex15	chr1	+	67337258	67349682	67353167	67505459	0.030746321	11416	0.031059615	133775
ENSCSAT00000001918.1	ENSCSAG00000003894.1_ex1	chr1	-	67566008	67567416	67491293	67564075	0.01891253	1269	0.029388708	62507
ENSCSAT00000001496.1	ENSCSAG00000003469.1_ex1	chr1	-	84398335	84400978	84010740	84398025	0.039336676	2593	0.026875622	328811
ENSCSAT00000001320.1	ENSCSAG00000003290.1_ex2	chr1	+	86357359	86376770	86377975	86443967	NA	0	0.026724249	54183
ENSCSAT00000006085.1	ENSCSAG00000008069.1_ex16	chr11	+	20531442	20540657	20540901	20548373	0.009873323	5368	0.021751333	7126
ENSCSAT00000005162.1	ENSCSAG00000007119.1_ex23	chr11	+	37310994	37329625	37333315	37514404	0.028258327	16243	0.031651734	155031
ENSCSAT00000004790.1	ENSCSAG00000006749.1_ex17	chr11	+	42109943	42115876	42118893	42777906	0.028977871	3796	0.023848297	533623
ENSCSAT00000003390.1	ENSCSAG00000005358.1_ex1	chr11	-	51044584	51049821	50903220	51042093	0.0	4851	0.0	103336
ENSCSAT00000002572.1	ENSCSAG00000004540.1_ex1	chr11	-	57600314	57621156	56937067	57597695	0.022681247	19752	0.028589868	553168
ENSCSAT00000002544.1	ENSCSAG00000004515.1_ex1	chr11	-	58539305	58548742	58514468	58534470	0.019078799	8858	0.031108122	17841
ENSCSAT00000002529.1	ENSCSAG00000004499.1_ex22	chr11	+	59844818	59850926	59851303	59875905	0.007528461	5446	0.005398481	21858
ENSCSAT00000002221.1	ENSCSAG00000004199.1_ex1	chr11	-	65284048	65293094	65261005	65283136	0.032402995	7345	0.023448614	20385
ENSCSAT00000002204.1	ENSCSAG00000004174.1_ex3	chr11	+	65992897	66007031	66007202	66244905	0.028677288	13495	0.026032909	186149
ENSCSAT00000001811.1	ENSCSAG00000003781.1_ex1	chr11	-	83860556	83864746	83685376	83856155	0.029737903	3968	0.032213056	139757
ENSCSAT00000001793.1	ENSCSAG00000003766.1_ex1	chr11	-	84989195	84992808	84953561	84989167	0.022209727	3557	0.02987691	26241
ENSCSAT00000001026.1	ENSCSAG00000002999.1_ex3	chr11	+	99897950	99981124	99981978	100029068	0.007520643	65154	0.024155751	41605
ENSCSAT00000016569.1	ENSCSAG00000001960.1_ex6	chr11	+	124081013	124084816	124087646	124168492	0.042386185	3185	0.02673708	66275
ENSCSAT00000016581.1	ENSCSAG00000001950.1_ex11	chr11	+	124340134	124352916	124353080	124936197	NA	0	0.026099789	465521
ENSCSAT00000015816.1	ENSCSAG00000017717.1_ex1	chr3	-	27228320	27237537	26831782	27225944	0.032836645	7248	0.021582288	306733
ENSCSAT00000015792.1	ENSCSAG00000017698.1_ex2	chr3	+	29150615	29164344	29165153	29196600	0.028837281	13004	0.032710463	25527
ENSCSAT00000015739.1	ENSCSAG00000017645.1_ex2	chr3	+	35428647	35428709	35428795	35443064	0.0	63	0.033961991	13839
ENSCSAT00000015739.1	ENSCSAG00000017645.1_ex5	chr3	+	35485879	35514056	35519024	35652591	0.031160942	26668	0.029826157	116542
ENSCSAT00000015724.1	ENSCSAG00000017630.1_ex1	chr3	-	50593855	50612176	49838326	50590269	0.033611256	15352	0.031025096	656114
ENSCSAT00000015616.1	ENSCSAG00000017521.1_ex2	chr3	+	76163771	76180859	76184665	76188408	0.028842226	12239	0.048218029	477
ENSCSAT00000015565.1	ENSCSAG00000017471.1_ex2	chr3	-	88074665	88218872	88059926	88071943	0.031212296	126809	0.033169533	11396
ENSCSAT00000013549.1	ENSCSAG00000015453.1_ex13	chr24	+	14330986	14356784	14359883	14395843	0.01444948	18755	0.026151853	32426
ENSCSAT00000013268.1	ENSCSAG00000015176.1_ex1	chr24	-	27317326	27326356	27308212	27314281	0.033353186	5037	0.028495827	4913
ENSCSAT00000004471.1	ENSCSAG00000006440.1_ex6	chr26	+	55532181	55538512	55538856	55738007	0.025719639	5871	0.006485586	165598
ENSCSAT00000005382.1	ENSCSAG00000007337.1_ex4	chr26	+	42904872	42911029	42915063	42938793	0.03119141	5867	0.033659608	20024
ENSCSAT00000009651.1	ENSCSAG00000011567.1_ex19	chr26	+	29898821	29901560	29901670	29903033	0.025037936	2636	0.039346696	1347
ENSCSAT00000009736.1	ENSCSAG00000011625.1_ex5	chr26	+	28216794	28225111	28227964	28229065	0.029396256	7586	0.02283105	876
ENSCSAT00000012130.1	ENSCSAG00000014038.1_ex2	chr26	+	9743221	9748335	9749063	9800860	0.027848101	4345	0.030090693	45097
ENSCSAT00000012817.1	ENSCSAG00000014721.1_ex7	chr26	+	6247111	6249836	6251897	6286187	0.028110945	2668	0.03705774	30412
