#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	relevantExonStart	relevantExonEnd
162	ENSPTRT00000001813	chr1	-	93999485	94281176	93999485	94281166	18	93999485,94051454,94093679,94095934,94112516,94114119,94125381,94154825,94166067,94182689,94183187,94184186,94186731,94191533,94192790,94193957,94224237,94281115,	93999800,94051550,94093775,94096081,94112675,94114260,94125516,94154879,94166128,94182787,94183277,94184330,94186857,94191608,94193015,94194147,94224467,94281176,	0	ENSPTRG00000000962	cmpl	cmpl	0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,	93999485	93999800
168	ENSPTRT00000001862	chr1	-	100456276	100571845	100459101	100571624	6	100456276,100480828,100487912,100519864,100523365,100571387,	100459134,100480963,100488089,100520115,100523498,100571845,	0	ENSPTRG00000000993	cmpl	cmpl	0,0,0,1,0,0,	100456276	100459134
170	ENSPTRT00000043353	chr1	+	101947311	102118608	101947747	102116612	16	101947311,101948554,101973479,101986688,102023123,102038134,102041116,102053586,102061000,102066305,102082640,102093144,102094328,102096423,102097267,102116582,	101947796,101948645,101973555,101986781,102023203,102038201,102041179,102053674,102061231,102066444,102082800,102093257,102094376,102096546,102097601,102118608,	0	ENSPTRG00000001007	cmpl	cmpl	0,1,2,0,0,2,0,0,1,1,2,0,2,2,2,0,	102116582	102118608
2	ENSPTRT00000058950	chr1	+	108822601	109170392	108831078	109169408	9	108822601,108830552,109004807,109082241,109082549,109090734,109117923,109123831,109169178,	108822677,108831324,109005448,109082418,109082566,109090740,109118091,109123966,109170392,	0	ENSPTRG00000001023	cmpl	cmpl	-1,0,0,2,2,1,1,1,1,	109169178	109170392
187	ENSPTRT00000047368	chr1	-	120052792	120210767	120056379	120210032	13	120052792,120076464,120079870,120082445,120086162,120113516,120119675,120137939,120157533,120163338,120172537,120175740,120209730,	120056512,120076580,120080043,120082665,120086278,120113610,120119799,120138034,120157614,120163457,120172634,120175996,120210767,	0	ENSPTRG00000024134	cmpl	cmpl	2,0,1,0,1,0,2,0,0,1,0,2,0,	120052792	120056512
186	ENSPTRT00000002178	chr1	+	118577806	118684464	118637161	118684320	9	118577806,118637048,118642268,118644066,118645283,118654693,118669729,118678075,118683535,	118577826,118637262,118642370,118644238,118645451,118654758,118669827,118678174,118684464,	0	ENSPTRG00000001172	cmpl	cmpl	-1,0,2,2,0,0,2,1,1,	118683535	118684464
1574	ENSPTRT00000002338	chr1	-	129682497	129736223	129684590	129733886	7	129682497,129700289,129702108,129733153,129733199,129733703,129736057,	129685018,129700404,129702240,129733197,129733221,129733898,129736223,	0	ENSPTRG00000001262	cmpl	cmpl	1,0,0,1,0,0,-1,	129682497	129685018
1575	ENSPTRT00000002341	chr1	-	129767457	129802507	129770067	129801440	8	129767457,129784405,129786641,129788418,129791635,129794501,129801314,129802375,	129770167,129784508,129786807,129788646,129791785,129794624,129801441,129802507,	0	ENSPTRG00000001264	cmpl	cmpl	2,1,0,0,0,0,0,-1,	129767457	129770167
201	ENSPTRT00000002622	chr1	-	134501717	134732697	134501911	134691382	29	134501717,134502343,134503107,134504113,134506733,134508121,134508411,134508990,134511196,134512469,134514124,134514339,134517510,134519290,134522129,134522398,134525108,134535623,134535896,134544032,134544254,134545794,134561259,134581814,134604927,134628118,134646949,134690962,134732487,	134502003,134502576,134503176,134504154,134506900,134508294,134508550,134509081,134511283,134512718,134514257,134514394,134517663,134519448,134522224,134522563,134525217,134535770,134536103,134544141,134544300,134545883,134561354,134581994,134605669,134628220,134651513,134691481,134732697,	0	ENSPTRG00000001425	cmpl	cmpl	1,2,2,0,1,2,1,0,0,0,2,1,1,2,0,0,2,2,2,1,0,1,2,2,1,1,0,0,-1,	134646949	134651513
1707	ENSPTRT00000064035	chr1	+	147083512	147152261	147083512	147149285	5	147083512,147126948,147133692,147134651,147149260,	147083783,147127115,147133906,147134784,147152261,	0	ENSPTRG00000024131	incmpl	cmpl	0,1,0,1,2,	147149260	147152261
217	ENSPTRT00000049851	chr1	+	151319946	151890722	151319946	151890722	21	151319946,151399188,151468574,151469861,151513704,151514397,151519612,151523303,151525690,151531577,151551034,151564002,151574996,151575868,151613156,151738875,151793999,151861888,151869994,151871439,151890652,	151320035,151399262,151468724,151470065,151513803,151514558,151519755,151523439,151525758,151531668,151551121,151564073,151575048,151575898,151613270,151738985,151794111,151862053,151870221,151871676,151890722,	0	ENSPTRG00000001684	incmpl	cmpl	0,2,1,1,1,1,0,2,0,2,0,0,2,0,0,0,2,0,0,2,2,	151890652	151890722
1749	ENSPTRT00000003067	chr1	-	152670433	152694477	152673219	152694321	3	152670433,152675222,152694168,	152673569,152675271,152694477,	0	ENSPTRG00000001692	cmpl	cmpl	1,0,0,	152670433	152673569
259	ENSPTRT00000058198	chr1	+	195552729	195788368	195552729	195786447	7	195552729,195634341,195673334,195718875,195721685,195744875,195786129,	195552763,195634652,195673452,195719036,195721872,195745015,195788368,	0	ENSPTRG00000001978	cmpl	cmpl	0,1,0,1,0,1,0,	195786129	195788368
32	ENSPTRT00000043883	chr1	-	197078233	197303335	197081934	197257494	7	197078233,197094176,197139258,197143026,197230992,197257091,197303113,	197082179,197094446,197139441,197143137,197231109,197257507,197303335,	0	ENSPTRG00000023622	cmpl	cmpl	1,1,1,1,1,0,-1,	197078233	197082179
2142	ENSPTRT00000003663	chr1	+	204152368	204154413	204152418	204154290	1	204152368,	204154413,	0	ENSPTRG00000002015	cmpl	cmpl	0,	204152368	204154413
2213	ENSPTRT00000064911	chr1	+	213450659	213455555	213450666	213453384	1	213450659,	213455555,	0	ENSPTRG00000034279	cmpl	cmpl	0,	213450659	213455555
279	ENSPTRT00000003898	chr1	-	216369694	216479279	216370698	216403682	4	216369694,216403583,216422326,216478936,	216370827,216403692,216422438,216479279,	0	ENSPTRG00000002133	cmpl	cmpl	0,0,-1,-1,	216369694	216370827
284	ENSPTRT00000003950	chr1	-	221395244	221521194	221398640	221399147	2	221395244,221520917,	221399148,221521194,	0	ENSPTRG00000002160	cmpl	cmpl	0,-1,	221395244	221399148
2322	ENSPTRT00000004013	chr1	+	227680465	227761653	227680465	227760433	8	227680465,227715432,227726627,227728652,227729205,227740925,227754045,227760227,	227680844,227715638,227726658,227728739,227729318,227741822,227754181,227761653,	0	ENSPTRG00000002189	cmpl	cmpl	0,1,0,1,1,0,0,1,	227760227	227761653
638	ENSPTRT00000021671	chr2a	+	7040712	7061434	7040848	7059150	6	7040712,7046579,7050138,7053380,7056882,7058985,	7041194,7046741,7050368,7053530,7056915,7061434,	0	ENSPTRG00000011629	cmpl	cmpl	0,1,1,0,0,0,	7058985	7061434
724	ENSPTRT00000021763	chr2a	+	18236659	18290878	18288929	18290405	3	18236659,18275518,18288870,	18236788,18275710,18290878,	0	ENSPTRG00000011680	cmpl	cmpl	-1,-1,0,	18288870	18290878
98	ENSPTRT00000021847	chr2a	-	26283896	26428261	26288238	26428017	12	26283896,26295096,26298938,26301429,26304879,26312967,26314125,26316824,26344749,26352051,26392058,26427960,	26290686,26295814,26299044,26301526,26305043,26313111,26314252,26316925,26344900,26352163,26392141,26428261,	0	ENSPTRG00000011726	cmpl	cmpl	0,2,1,0,1,1,0,1,0,2,0,0,	26283896	26290686
787	ENSPTRT00000021848	chr2a	-	26482559	26541239	26484951	26540582	8	26482559,26485278,26485928,26508847,26511808,26513082,26513884,26539037,	26485045,26485451,26486037,26508964,26511927,26513205,26513986,26541239,	0	ENSPTRG00000011727	cmpl	cmpl	2,0,2,2,0,0,0,0,	26539037	26541239
809	ENSPTRT00000021944	chr2a	+	29384245	29436300	29384245	29432672	9	29384245,29384787,29409983,29411940,29414861,29417038,29422061,29427226,29432567,	29384278,29384869,29410115,29412171,29414966,29417110,29422213,29427361,29436300,	0	ENSPTRG00000011788	incmpl	cmpl	0,0,1,1,1,1,1,0,0,	29432567	29436300
811	ENSPTRT00000021951	chr2a	-	29702613	29715189	29705793	29715189	2	29702613,29711521,	29705992,29715189,	0	ENSPTRG00000011794	cmpl	cmpl	2,0,	29702613	29705992
820	ENSPTRT00000058994	chr2a	+	30896104	30922430	30896104	30922004	3	30896104,30898768,30921815,	30896130,30898871,30922430,	0	ENSPTRG00000030525	cmpl	cmpl	0,2,0,	30921815	30922430
102	ENSPTRT00000065094	chr2a	+	31116661	31313493	31195256	31309876	6	31116661,31195252,31202785,31229639,31235547,31309373,	31116809,31195421,31202984,31229786,31235664,31313493,	0	ENSPTRG00000011801	cmpl	cmpl	-1,0,0,1,1,1,	31309373	31313493
835	ENSPTRT00000021983	chr2a	+	32793471	32887643	32793596	32886355	17	32793471,32817643,32820705,32830560,32846493,32847558,32847974,32858473,32859939,32868270,32868584,32868820,32873623,32875055,32876662,32878935,32886232,	32794011,32817730,32820789,32830656,32846681,32847692,32848068,32858548,32860011,32868346,32868676,32868900,32873666,32875135,32876733,32878976,32887643,	0	ENSPTRG00000011812	cmpl	cmpl	0,1,1,1,1,0,2,0,0,0,1,0,2,0,2,1,0,	32886232	32887643
878	ENSPTRT00000022039	chr2a	-	38475581	38502320	38476559	38477324	2	38475581,38502141,	38477559,38502320,	0	ENSPTRG00000011840	cmpl	cmpl	0,-1,	38475581	38477559
14	ENSPTRT00000022122	chr2a	+	46721351	47261098	46721351	47261098	16	46721351,46721380,46916658,47050296,47053766,47055998,47060230,47077303,47080442,47083365,47086248,47162058,47220410,47226362,47233929,47260951,	46721378,46721698,46916722,47050456,47053801,47056084,47060360,47077446,47080539,47083565,47086422,47162213,47220549,47226551,47234076,47261098,	0	ENSPTRG00000011890	cmpl	cmpl	0,0,0,1,2,1,0,1,0,1,0,0,2,0,0,0,	47260951	47261098
139	ENSPTRT00000022336	chr2a	+	69949254	70061687	69949254	70061687	13	69949254,69972394,69985604,69995949,69996804,69996819,69996826,69996854,70009709,70021718,70029024,70052194,70061484,	69949350,69972466,69985777,69996097,69996818,69996825,69996852,69996938,70009891,70022074,70029150,70052241,70061687,	0	ENSPTRG00000012004	cmpl	cmpl	0,0,0,2,0,2,2,1,1,0,2,2,1,	70061484	70061687
140	ENSPTRT00000022345	chr2a	+	70499721	70748039	70499864	70744354	18	70499721,70527421,70532106,70560425,70561532,70562799,70565374,70567198,70581307,70594556,70614973,70616522,70645962,70664245,70676220,70676927,70691829,70744093,	70500016,70527493,70532178,70560507,70561566,70562879,70565443,70567279,70581368,70594655,70615043,70616601,70646058,70664287,70676316,70677095,70691910,70748039,	0	ENSPTRG00000012011	cmpl	cmpl	0,2,2,2,0,1,0,0,0,1,1,2,0,0,0,0,0,0,	70744093	70748039
144	ENSPTRT00000022428	chr2a	-	74519757	74650186	74520212	74650055	14	74519757,74536633,74544717,74548212,74564886,74576283,74577765,74578859,74598308,74600566,74601232,74618857,74636460,74649953,	74520290,74536751,74544803,74548328,74564977,74576349,74577822,74578913,74598334,74600621,74601259,74618935,74636529,74650186,	0	ENSPTRG00000012056	cmpl	cmpl	0,2,0,1,0,0,0,0,1,0,0,0,0,0,	74519757	74520290
1162	ENSPTRT00000022460	chr2a	+	75638723	75699103	75638723	75693107	9	75638723,75663716,75670665,75678742,75680813,75683837,75684464,75690206,75691323,	75640818,75663807,75670759,75678951,75680964,75683927,75684602,75690543,75699103,	0	ENSPTRG00000012075	cmpl	cmpl	0,1,2,0,2,0,0,0,1,	75638723	75640818
1260	ENSPTRT00000058811	chr2a	-	88552342	88573836	88552791	88573003	4	88552342,88561527,88570443,88572777,	88554370,88561643,88570583,88573836,	0	ENSPTRG00000012157	cmpl	cmpl	2,0,1,0,	88552342	88554370
178	ENSPTRT00000022899	chr2a	+	110664731	110817067	110664731	110817067	11	110664731,110686453,110699706,110704125,110716817,110721667,110723751,110727896,110733324,110813619,110816898,	110665100,110686557,110699877,110704379,110717137,110721685,110723811,110727911,110733362,110813688,110817067,	0	ENSPTRG00000012336	incmpl	cmpl	0,0,2,2,1,0,0,0,0,2,2,	110816898	110817067
186	ENSPTRT00000023012	chr2b	-	118527120	118627109	118531914	118626983	24	118527120,118542607,118547051,118548220,118550575,118552735,118555560,118557062,118558343,118559646,118560860,118563926,118569883,118585957,118586884,118587222,118590023,118597893,118608430,118609248,118613800,118619687,118621512,118626941,	118531968,118542721,118547136,118548258,118550658,118552844,118555623,118557116,118558415,118559728,118560934,118563989,118570000,118586044,118586935,118587315,118590060,118597994,118608487,118609347,118613912,118619782,118621626,118627109,	0	ENSPTRG00000012394	cmpl	cmpl	0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,	118527120	118531968
3	ENSPTRT00000023256	chr2b	+	159271124	159429587	159271319	159428401	3	159271124,159282164,159427814,	159272021,159282381,159429587,	0	ENSPTRG00000012547	cmpl	cmpl	0,0,1,	159427814	159429587
2089	ENSPTRT00000023639	chr2b	-	197137071	197150002	197138670	197149672	2	197137071,197149189,	197139465,197150002,	0	ENSPTRG00000012755	cmpl	cmpl	0,0,	197137071	197139465
268	ENSPTRT00000023678	chr2b	-	204673186	204874036	204675904	204864719	12	204673186,204713003,204728073,204732977,204754139,204776043,204787781,204789107,204842040,204864550,204869378,204873763,	204676366,204713201,204728229,204733190,204754612,204776146,204787905,204789234,204842217,204864778,204869459,204874036,	0	ENSPTRG00000012779	cmpl	cmpl	0,0,0,0,1,0,2,1,1,0,-1,-1,	204673186	204676366
34	ENSPTRT00000023808	chr2b	+	210090186	211175624	210090186	211175624	23	210090186,210232439,210515111,210593947,210650762,210659783,210665201,210667886,210671075,210672361,210705148,210718694,210722928,210732238,210739679,210791610,210847433,210848370,210952970,210992467,211054166,211107680,211175266,	210090306,210232541,210515283,210594057,210650851,210659870,210665327,210668245,210671215,210672490,210705334,210718865,210723061,210732338,210739795,210791655,210847640,210848608,210953081,210992770,211054302,211107760,211175624,	0	ENSPTRG00000012838	cmpl	cmpl	0,0,0,1,0,2,2,2,1,0,0,0,0,1,2,1,1,1,2,2,2,0,2,	211175266	211175624
2361	ENSPTRT00000024066	chr2b	-	232816023	232881087	232876336	232880062	2	232816023,232876315,	232817056,232881087,	0	ENSPTRG00000012989	cmpl	cmpl	-1,0,	232816023	232817056
2425	ENSPTRT00000045320	chr2b	+	241186221	241292936	241272475	241291035	6	241186221,241231802,241272343,241278403,241289780,241290810,	241186301,241231876,241272593,241280763,241289969,241292936,	0	ENSPTRG00000013066	cmpl	cmpl	-1,-1,0,1,0,0,	241278403	241280763
81	ENSPTRT00000027268	chr3	-	9145339	9233372	9146819	9233295	13	9145339,9155783,9164284,9167761,9177734,9179065,9204024,9207707,9209619,9217053,9218341,9228773,9233244,	9146922,9155846,9164438,9167902,9177795,9179142,9204209,9207807,9209957,9217124,9218403,9228855,9233372,	0	ENSPTRG00000014583	cmpl	cmpl	2,2,1,1,0,1,2,1,2,0,1,0,0,	9145339	9146922
10	ENSPTRT00000058556	chr3	+	11465969	11575297	11570560	11572024	3	11465969,11570525,11573088,	11465996,11572560,11575297,	0	ENSPTRG00000030304	cmpl	cmpl	-1,0,-1,	11570525	11572560
87	ENSPTRT00000027418	chr3	+	15174539	15292308	15174539	15291086	20	15174539,15219935,15236995,15237165,15254927,15255357,15256157,15257834,15258435,15265564,15268731,15275014,15276519,15279664,15280157,15280792,15281755,15283836,15290495,15291049,	15177064,15220068,15237054,15237196,15255088,15255514,15256245,15257885,15258494,15265636,15268800,15275098,15276599,15279764,15280295,15280922,15281886,15283965,15290650,15292308,	0	ENSPTRG00000014656	cmpl	cmpl	0,2,0,2,0,2,0,1,1,0,0,0,0,2,0,0,1,0,0,2,	15174539	15177064
772	ENSPTRT00000027488	chr3	+	24537888	24574298	24538035	24571971	8	24537888,24547098,24548589,24554338,24556648,24559657,24562346,24571774,	24538168,24547365,24548678,24554483,24557277,24559843,24562557,24574298,	0	ENSPTRG00000014696	incmpl	cmpl	0,1,1,0,1,0,0,1,	24571774	24574298
891	ENSPTRT00000048219	chr3	-	40151125	40169347	40153073	40169347	2	40151125,40169260,	40154150,40169347,	0	ENSPTRG00000014771	cmpl	cmpl	0,0,	40151125	40154150
14	ENSPTRT00000027680	chr3	-	44034944	44061754	44035394	44037137	2	44034944,44061515,	44037242,44061754,	0	ENSPTRG00000014808	cmpl	cmpl	0,-1,	44034944	44037242
116	ENSPTRT00000027695	chr3	+	45312462	45383401	45328147	45381633	11	45312462,45328103,45331115,45334743,45341133,45366386,45369945,45370288,45373892,45374740,45381392,	45312845,45328176,45331251,45334897,45341386,45366509,45370043,45370380,45374125,45374872,45383401,	0	ENSPTRG00000014815	cmpl	cmpl	-1,0,2,0,1,2,2,1,0,2,2,	45381392	45383401
932	ENSPTRT00000027713	chr3	+	45567102	45582013	45580140	45581136	3	45567102,45568243,45579961,	45567146,45568352,45582013,	0	ENSPTRG00000014821	cmpl	cmpl	-1,-1,0,	45579961	45582013
933	ENSPTRT00000027714	chr3	+	45633719	45645801	45636035	45644958	4	45633719,45635908,45637544,45643711,	45633813,45636227,45637689,45645801,	0	ENSPTRG00000014822	cmpl	cmpl	-1,0,0,1,	45643711	45645801
174	ENSPTRT00000065779	chr3	+	106215524	106476824	106436899	106476768	16	106215524,106216346,106376921,106378251,106385381,106415536,106436891,106452155,106455427,106456999,106461404,106463299,106468100,106469530,106476161,106476592,	106215593,106216547,106377026,106378442,106385437,106415684,106437005,106452376,106455609,106457072,106461502,106463380,106468272,106469639,106476191,106476824,	0	ENSPTRG00000015180	cmpl	cmpl	-1,-1,-1,-1,-1,-1,0,1,0,2,0,2,2,0,1,1,	106476592	106476824
177	ENSPTRT00000028392	chr3	-	109724912	109939150	109725617	109937576	19	109724912,109737499,109745738,109748774,109749019,109752610,109760752,109769375,109771270,109787339,109801342,109804503,109808349,109815420,109820964,109845593,109922919,109937408,109938842,	109725877,109737619,109745879,109748906,109749114,109752757,109760847,109769741,109771456,109787543,109801474,109804591,109808487,109815542,109821121,109845740,109923170,109937590,109939150,	0	ENSPTRG00000015184	cmpl	cmpl	1,1,1,1,2,2,0,0,0,0,0,2,2,0,2,2,0,0,-1,	109724912	109725877
195	ENSPTRT00000028594	chr3	-	128290651	128330589	128291708	128330589	9	128290651,128308014,128308220,128310588,128322783,128324737,128326641,128326846,128330573,	128292648,128308147,128308439,128310671,128322925,128325254,128326736,128327083,128330589,	0	ENSPTRG00000015308	cmpl	cmpl	2,1,1,2,1,0,1,1,0,	128290651	128292648
220	ENSPTRT00000047540	chr3	-	154380871	154521637	154384444	154521637	7	154380871,154389648,154391478,154405991,154436722,154521205,154521553,	154384629,154389761,154391612,154406194,154436859,154521552,154521637,	0	ENSPTRG00000015519	cmpl	cmpl	1,2,0,1,2,0,0,	154380871	154384629
1764	ENSPTRT00000028957	chr3	-	154605675	154617396	154606448	154617349	5	154605675,154615584,154616315,154617114,154617282,	154606646,154615758,154616398,154617192,154617396,	0	ENSPTRG00000015520	cmpl	cmpl	0,0,1,1,0,	154605675	154606646
1806	ENSPTRT00000029012	chr3	+	160071684	160168391	160071684	160165116	22	160071684,160072575,160103956,160105437,160105616,160105820,160107703,160121503,160123956,160125798,160126044,160127250,160128166,160130946,160132353,160144754,160151228,160152826,160153066,160156451,160156870,160165016,	160071844,160072611,160104118,160105518,160105712,160105939,160107769,160121638,160124058,160125935,160126138,160127379,160128265,160131027,160132457,160144813,160151348,160152960,160153132,160156547,160156947,160168391,	0	ENSPTRG00000015550	cmpl	cmpl	0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,2,	160165016	160168391
242	ENSPTRT00000029140	chr3	+	177266129	177630438	177340062	177627220	26	177266129,177340034,177361019,177455271,177476200,177479931,177514570,177524022,177527388,177536353,177539838,177557951,177559539,177562088,177563934,177566333,177570124,177572518,177573595,177575830,177576720,177582305,177592104,177607718,177610415,177626908,	177266153,177340173,177361095,177455348,177476444,177480213,177514629,177524174,177527448,177536492,177539892,177558076,177559714,177562175,177564073,177566405,177570243,177572624,177573768,177575944,177576870,177582586,177592317,177607885,177610543,177630438,	0	ENSPTRG00000015629	cmpl	cmpl	-1,0,0,1,0,1,1,0,2,2,0,0,2,0,0,1,1,0,1,0,0,0,2,2,1,0,	177626908	177630438
2039	ENSPTRT00000057970	chr3	-	190627840	190699691	190627867	190699622	2	190627840,190699426,	190628424,190699691,	0	ENSPTRG00000030030	cmpl	cmpl	1,0,	190627840	190628424
261	ENSPTRT00000029342	chr3	-	197792987	198057582	197794491	198056756	5	197792987,197813829,197981022,198006748,198056557,	197794610,197814028,197981126,198006859,198057582,	0	ENSPTRG00000015746	cmpl	cmpl	1,0,1,1,0,	197792987	197794610
2099	ENSPTRT00000029344	chr3	-	198450274	198571382	198451855	198571061	2	198450274,198570850,	198453120,198571382,	0	ENSPTRG00000015747	cmpl	cmpl	1,0,	198450274	198453120
2127	ENSPTRT00000029429	chr3	+	202206841	202225725	202215856	202222756	3	202206841,202215856,202222570,	202207018,202216213,202225725,	0	ENSPTRG00000015783	incmpl	cmpl	-1,0,0,	202222570	202225725
634	ENSPTRT00000029653	chr4	+	6444807	6472931	6444807	6472931	7	6444807,6456239,6458130,6460353,6461073,6464119,6471704,	6445039,6456322,6458275,6460524,6461154,6464268,6472931,	0	ENSPTRG00000015882	cmpl	cmpl	0,1,0,1,1,1,0,	6471704	6472931
79	ENSPTRT00000029656	chr4	-	6491272	6562664	6493993	6562664	10	6491272,6500884,6505486,6520733,6551835,6555119,6557707,6560292,6561772,6562655,	6494285,6500976,6505656,6520898,6552013,6555232,6557873,6560390,6561782,6562664,	0	ENSPTRG00000015883	cmpl	incmpl	2,0,1,1,0,1,0,1,0,0,	6491272	6494285
102	ENSPTRT00000029800	chr4	+	30923420	31352624	30923420	31352624	4	30923420,30924351,31124840,31352247,	30924210,30926594,31125033,31352624,	0	ENSPTRG00000015972	cmpl	cmpl	0,1,0,1,	31352247	31352624
155	ENSPTRT00000029879	chr4	+	86588665	86676721	86588817	86671514	9	86588665,86615985,86629475,86648841,86649900,86655835,86656087,86660872,86671247,	86588921,86616134,86629543,86649062,86649983,86655973,86656240,86661087,86676721,	0	ENSPTRG00000016024	cmpl	cmpl	0,2,1,0,2,1,1,1,0,	86671247	86676721
1184	ENSPTRT00000029926	chr4	-	78552590	78598494	78552590	78598208	13	78552590,78552905,78564058,78566547,78569117,78570143,78572045,78576930,78579169,78587605,78589022,78589397,78598121,	78552598,78552951,78564142,78566671,78569293,78570302,78572307,78577170,78579265,78587718,78589138,78589503,78598494,	0	ENSPTRG00000016054	cmpl	cmpl	1,0,0,2,0,0,2,2,2,0,1,0,0,	78552590	78552598
1062	ENSPTRT00000030001	chr4	+	62628280	62646794	62630031	62643705	3	62628280,62639404,62643460,	62630553,62639624,62646794,	0	ENSPTRG00000016100	cmpl	cmpl	0,0,1,	62628280	62630553
1043	ENSPTRT00000030048	chr4	-	60117991	60127593	60117991	60125771	3	60117991,60125717,60127499,	60119002,60125786,60127593,	0	ENSPTRG00000016131	cmpl	cmpl	0,0,-1,	60117991	60119002
1008	ENSPTRT00000060211	chr4	-	55445658	55563783	55449522	55563720	4	55445658,55461785,55482262,55563500,	55449607,55461864,55482988,55563783,	0	ENSPTRG00000031197	cmpl	incmpl	2,1,1,0,	55445658	55449607
1004	ENSPTRT00000030102	chr4	+	54980502	55016004	54980634	55012710	9	54980502,54985609,54985970,55001412,55003646,55003797,55003942,55004879,55012581,	54980724,54985729,54986086,55001491,55003691,55003856,55003969,55005000,55016004,	0	ENSPTRG00000016170	cmpl	cmpl	0,0,0,2,0,0,2,2,0,	55012581	55016004
