susannes_file_line_index	transcript	exon	chrom	exonStart	exonEnd
42	ENSPTRT00000021847	ENSPTRG00000011726_ex1/12	chr2a	-	26283896	26290686
43	ENSPTRT00000021848	ENSPTRG00000011727_ex8/8	chr2a	-	26539037	26541239
44	ENSPTRT00000021944	ENSPTRG00000011788_ex9/9	chr2a	+	29432567	29436300
45	ENSPTRT00000021951	ENSPTRG00000011794_ex1/2	chr2a	-	29702613	29705992
46	ENSPTRT00000058994	ENSPTRG00000030525_ex3/3	chr2a	+	30921815	30922430
47	ENSPTRT00000065094	ENSPTRG00000011801_ex6/6	chr2a	+	31309373	31313493
48	ENSPTRT00000021983	ENSPTRG00000011812_ex17/17	chr2a	+	32886232	32887643
49	ENSPTRT00000022039	ENSPTRG00000011840_ex1/2	chr2a	-	38475581	38477559
50	ENSPTRT00000022122	ENSPTRG00000011890_ex16/16	chr2a	+	47260951	47261098
51	ENSPTRT00000022336	ENSPTRG00000012004_ex13/13	chr2a	+	70061484	70061687
52	ENSPTRT00000022345	ENSPTRG00000012011_ex18/18	chr2a	+	70744093	70748039
53	ENSPTRT00000022428	ENSPTRG00000012056_ex1/14	chr2a	-	74519757	74520290
54	ENSPTRT00000022460	ENSPTRG00000012075_ex1/9	chr2a	+	75638723	75640818
55	ENSPTRT00000058811	ENSPTRG00000012157_ex1/4	chr2a	-	88552342	88554370
56	ENSPTRT00000022899	ENSPTRG00000012336_ex11/11	chr2a	+	110816898	110817067
57	ENSPTRT00000023012	ENSPTRG00000012394_ex1/24	chr2b	-	118527120	118531968
59	ENSPTRT00000023256	ENSPTRG00000012547_ex3/3	chr2b	+	159427814	159429587
60	ENSPTRT00000023639	ENSPTRG00000012755_ex1/2	chr2b	-	197137071	197139465
61	ENSPTRT00000023678	ENSPTRG00000012779_ex1/12	chr2b	-	204673186	204676366
62	ENSPTRT00000023808	ENSPTRG00000012838_ex23/23	chr2b	+	211175266	211175624
63	ENSPTRT00000024066	ENSPTRG00000012989_ex1/2	chr2b	-	232816023	232817056
64	ENSPTRT00000045320	ENSPTRG00000013066_ex4/6	chr2b	+	241278403	241280763
66	ENSPTRT00000027268	ENSPTRG00000014583_ex1/13	chr3	-	9145339	9146922
67	ENSPTRT00000058556	ENSPTRG00000030304_ex2/3	chr3	+	11570525	11572560
68	ENSPTRT00000027418	ENSPTRG00000014656_ex1/20	chr3	+	15174539	15177064
69	ENSPTRT00000027488	ENSPTRG00000014696_ex8/8	chr3	+	24571774	24574298
70	ENSPTRT00000048219	ENSPTRG00000014771_ex1/2	chr3	-	40151125	40154150
71	ENSPTRT00000027680	ENSPTRG00000014808_ex1/2	chr3	-	44034944	44037242
72	ENSPTRT00000027695	ENSPTRG00000014815_ex11/11	chr3	+	45381392	45383401
73	ENSPTRT00000027713	ENSPTRG00000014821_ex3/3	chr3	+	45579961	45582013
74	ENSPTRT00000027714	ENSPTRG00000014822_ex4/4	chr3	+	45643711	45645801
75	ENSPTRT00000065779	ENSPTRG00000015180_ex16/16	chr3	+	106476592	106476824
76	ENSPTRT00000028392	ENSPTRG00000015184_ex1/19	chr3	-	109724912	109725877
77	ENSPTRT00000028594	ENSPTRG00000015308_ex1/9	chr3	-	128290651	128292648
79	ENSPTRT00000047540	ENSPTRG00000015519_ex1/7	chr3	-	154380871	154384629
80	ENSPTRT00000028957	ENSPTRG00000015520_ex1/5	chr3	-	154605675	154606646
81	ENSPTRT00000029012	ENSPTRG00000015550_ex22/22	chr3	+	160165016	160168391
83	ENSPTRT00000029140	ENSPTRG00000015629_ex26/26	chr3	+	177626908	177630438
84	ENSPTRT00000057970	ENSPTRG00000030030_ex1/2	chr3	-	190627840	190628424
85	ENSPTRT00000029342	ENSPTRG00000015746_ex1/5	chr3	-	197792987	197794610
86	ENSPTRT00000029344	ENSPTRG00000015747_ex1/2	chr3	-	198450274	198453120
87	ENSPTRT00000029429	ENSPTRG00000015783_ex3/3	chr3	+	202222570	202225725
89	ENSPTRT00000029653	ENSPTRG00000015882_ex7/7	chr4	+	6471704	6472931
90	ENSPTRT00000029656	ENSPTRG00000015883_ex1/10	chr4	-	6491272	6494285
93	ENSPTRT00000029800	ENSPTRG00000015972_ex4/4	chr4	+	31352247	31352624
95	ENSPTRT00000029879	ENSPTRG00000016024_ex9/9	chr4	+	86671247	86676721
96	ENSPTRT00000029926	ENSPTRG00000016054_ex1/13	chr4	-	78552590	78552598
98	ENSPTRT00000030001	ENSPTRG00000016100_ex1/3	chr4	+	62628280	62630553
99	ENSPTRT00000030048	ENSPTRG00000016131_ex1/3	chr4	-	60117991	60119002
101	ENSPTRT00000060211	ENSPTRG00000031197_ex1/4	chr4	-	55445658	55449607
102	ENSPTRT00000030102	ENSPTRG00000016170_ex9/9	chr4	+	55012581	55016004
103	ENSPTRT00000030136	ENSPTRG00000016190_ex8/22	chr4	-	53721447	53722329
104	ENSPTRT00000030138	ENSPTRG00000016191_ex1/3	chr4	+	53563242	53563602
106	ENSPTRT00000030295	ENSPTRG00000016281_ex1/2	chr4	-	92178163	92184121
108	ENSPTRT00000030393	ENSPTRG00000016332_ex1/3	chr4	-	107817414	107821377
109	ENSPTRT00000050131	ENSPTRG00000016382_ex46/46	chr4	+	116907446	116909721
110	ENSPTRT00000030477	ENSPTRG00000016384_ex1/2	chr4	-	117442665	117444064
112	ENSPTRT00000067874	ENSPTRG00000024046_ex1/17	chr4	+	128767102	128772277
113	ENSPTRT00000030573	ENSPTRG00000016444_ex5/5	chr4	+	136765782	136767218
114	ENSPTRT00000047838	ENSPTRG00000016465_ex1/8	chr4	-	144631948	144634759
115	ENSPTRT00000030731	ENSPTRG00000016532_ex9/9	chr4	-	158697073	158699125
116	ENSPTRT00000030780	ENSPTRG00000016559_ex1/14	chr4	-	165644118	165644821
118	ENSPTRT00000030832	ENSPTRG00000016591_ex1/3	chr4	-	174417918	174423632
119	ENSPTRT00000030854	ENSPTRG00000016607_ex2/11	chr4	-	179138660	179139330
121	ENSPTRT00000030892	ENSPTRG00000016636_ex1/8	chr4	-	188744565	188747239
122	ENSPTRT00000065618	ENSPTRG00000033811_ex2/2	chr5	+	6635609	6636983
123	ENSPTRT00000031146	ENSPTRG00000016776_ex25/25	chr5	+	82214546	82214725
125	ENSPTRT00000031260	ENSPTRG00000016848_ex3/3	chr5	+	72074957	72076860
126	ENSPTRT00000031287	ENSPTRG00000016868_ex1/2	chr5	-	61388915	61392312
128	ENSPTRT00000031364	ENSPTRG00000016919_ex1/7	chr5	-	51324907	51325107
129	ENSPTRT00000055696	ENSPTRG00000016927_ex25/25	chr5	+	50519660	50522862
130	ENSPTRT00000031505	ENSPTRG00000016992_ex1/1	chr5	+	40855042	40858427
131	ENSPTRT00000031562	ENSPTRG00000017026_ex9/9	chr5	+	36414707	36416937
132	ENSPTRT00000046825	ENSPTRG00000017053_ex4/4	chr5	+	32602580	32602651
133	ENSPTRT00000031610	ENSPTRG00000017057_ex11/11	chr5	+	31696456	31697724
134	ENSPTRT00000031640	ENSPTRG00000024095_ex5/5	chr5	+	21394210	21394328
135	ENSPTRT00000031692	ENSPTRG00000017102_ex5/5	chr5	+	99761473	99764875
136	ENSPTRT00000065106	ENSPTRG00000030296_ex1/8	chr5	-	104162369	104164539
138	ENSPTRT00000031852	ENSPTRG00000017205_ex3/3	chr5	+	131778265	131779828
140	ENSPTRT00000055454	ENSPTRG00000017328_ex4/4	chr5	+	142777846	142780562
144	ENSPTRT00000032348	ENSPTRG00000017494_ex1/11	chr5	-	163393766	163399729
145	ENSPTRT00000032399	ENSPTRG00000017527_ex1/18	chr5	-	174317519	174318924
146	ENSPTRT00000042784	ENSPTRG00000017575_ex5/23	chr5	+	179586989	179589552
147	ENSPTRT00000032567	ENSPTRG00000017614_ex1/22	chr5	-	181560147	181560622
148	ENSPTRT00000032618	ENSPTRG00000017642_ex1/4	chr5	-	183300853	183303405
150	ENSPTRT00000032773	ENSPTRG00000017734_ex1/2	chr6	-	13585838	13587914
151	ENSPTRT00000025457	ENSPTRG00000017749_ex4/4	chr6	+	17630032	17632154
153	ENSPTRT00000032841	ENSPTRG00000017769_ex1/1	chr6	+	22995471	22996538
154	ENSPTRT00000032882	ENSPTRG00000017795_ex7/7	chr6	+	26475259	26477220
155	ENSPTRT00000033498	ENSPTRG00000018121_ex7/7	chr6	+	38220063	38224058
156	ENSPTRT00000033704	ENSPTRG00000023379_ex1/10	chr6	-	45911742	45911784
157	ENSPTRT00000033733	ENSPTRG00000018244_ex18/18	chr6	+	48723614	48723704
158	ENSPTRT00000033819	ENSPTRG00000018296_ex4/4	chr6	+	56179429	56181806
160	ENSPTRT00000065002	ENSPTRG00000033954_ex5/7	chr6	+	78889322	78889334
161	ENSPTRT00000034105	ENSPTRG00000018454_ex1/8	chr6	-	106854456	106855051
162	ENSPTRT00000034125	ENSPTRG00000018466_ex1/8	chr6	-	108981663	108983884
164	ENSPTRT00000034147	ENSPTRG00000018476_ex4/4	chr6	+	110526494	110527407
165	ENSPTRT00000034267	ENSPTRG00000018553_ex1/5	chr6	-	120826430	120827901
166	ENSPTRT00000034280	ENSPTRG00000018560_ex2/2	chr6	+	123505313	123508213
167	ENSPTRT00000064256	ENSPTRG00000018567_ex2/41	chr6	-	125334197	125334740
168	ENSPTRT00000064256	ENSPTRG00000018567_ex21/41	chr6	-	125465123	125465171
169	ENSPTRT00000034346	ENSPTRG00000018599_ex7/7	chr6	+	133570158	133572172
172	ENSPTRT00000034483	ENSPTRG00000018677_ex2/2	chr6	+	146712738	146714480
173	ENSPTRT00000034488	ENSPTRG00000018680_ex74/74	chr6	+	147391650	147393672
174	ENSPTRT00000034506	ENSPTRG00000018689_ex9/9	chr6	+	151731242	151731526
175	ENSPTRT00000034507	ENSPTRG00000018690_ex7/7	chr6	+	152073584	152075634
176	ENSPTRT00000056737	ENSPTRG00000018724_ex1/12	chr6	-	156996916	156997280
177	ENSPTRT00000034690	ENSPTRG00000018781_ex1/12	chr6	-	164336576	164336689
179	ENSPTRT00000046568	ENSPTRG00000028664_ex5/5	chr7	+	6671279	6673588
180	ENSPTRT00000067503	ENSPTRG00000018944_ex1/25	chr7	-	14253498	14253606
181	ENSPTRT00000064559	ENSPTRG00000034402_ex1/10	chr7	-	16227960	16228227
182	ENSPTRT00000035061	ENSPTRG00000018970_ex6/6	chr7	+	21797973	21801494
183	ENSPTRT00000035221	ENSPTRG00000019053_ex1/20	chr7	-	32107813	32107983
184	ENSPTRT00000035249	ENSPTRG00000019072_ex16/16	chr7	+	34555875	34558651
186	ENSPTRT00000066596	ENSPTRG00000019246_ex6/6	chr7	+	65771152	65771845
187	ENSPTRT00000035749	ENSPTRG00000019320_ex1/2	chr7	-	75720184	75723637
188	ENSPTRT00000035795	ENSPTRG00000019341_ex1/22	chr7	-	77383993	77384031
189	ENSPTRT00000055382	ENSPTRG00000028511_ex1/1	chr7	+	90896154	90900482
190	ENSPTRT00000035882	ENSPTRG00000019389_ex8/50	chr7	+	91625081	91627469
191	ENSPTRT00000049139	ENSPTRG00000019463_ex1/7	chr7	-	99738542	99739126
192	ENSPTRT00000055226	ENSPTRG00000028417_ex3/3	chr7	+	111201156	111204189
193	ENSPTRT00000036325	ENSPTRG00000019612_ex2/2	chr7	+	116705511	116705662
194	ENSPTRT00000036343	ENSPTRG00000019623_ex1/6	chr7	+	120581776	120582891
195	ENSPTRT00000036389	ENSPTRG00000019646_ex2/2	chr7	-	125127909	125129583
196	ENSPTRT00000036463	ENSPTRG00000019683_ex12/12	chr7	+	130174448	130176507
198	ENSPTRT00000050296	ENSPTRG00000019732_ex2/5	chr7	-	136488327	136489670
200	ENSPTRT00000042866	ENSPTRG00000019832_ex24/24	chr7	+	149033718	149033918
201	ENSPTRT00000055141	ENSPTRG00000028363_ex6/8	chr7	-	149748404	149749193
202	ENSPTRT00000036878	ENSPTRG00000019904_ex2/3	chr7	+	155832169	155832418
203	ENSPTRT00000036980	ENSPTRG00000019946_ex14/14	chr8	+	6692771	6693399
209	ENSPTRT00000037070	ENSPTRG00000020011_ex1/8	chr8	-	10127344	10127539
210	ENSPTRT00000037097	ENSPTRG00000020023_ex15/16	chr8	-	13951027	13952663
211	ENSPTRT00000037255	ENSPTRG00000020113_ex1/9	chr8	-	24352320	24354141
213	ENSPTRT00000037502	ENSPTRG00000020240_ex17/17	chr8	+	48808220	48808411
214	ENSPTRT00000037555	ENSPTRG00000020273_ex5/5	chr8	+	56258209	56262044
215	ENSPTRT00000059894	ENSPTRG00000020289_ex1/14	chr8	-	59762013	59762021
217	ENSPTRT00000059886	ENSPTRG00000030985_ex3/3	chr8	+	69072174	69072985
218	ENSPTRT00000037664	ENSPTRG00000020341_ex2/2	chr8	+	71338905	71341062
220	ENSPTRT00000059839	ENSPTRG00000020488_ex5/5	chr8	+	102258514	102258625
221	ENSPTRT00000038012	ENSPTRG00000020545_ex3/4	chr8	+	122500078	122502815
222	ENSPTRT00000038084	ENSPTRG00000020595_ex1/12	chr8	-	132230276	132230556
223	ENSPTRT00000038288	ENSPTRG00000024143_ex1/5	chr8	-	144723034	144725503
224	ENSPTRT00000038472	ENSPTRG00000020787_ex26/26	chr9	+	16365899	16366190
227	ENSPTRT00000038553	ENSPTRG00000020837_ex1/4	chr9	-	27935148	27936633
228	ENSPTRT00000038558	ENSPTRG00000020840_ex1/7	chr9	-	28540115	28542285
229	ENSPTRT00000038854	ENSPTRG00000021013_ex1/2	chr9	-	69147779	69151197
230	ENSPTRT00000038857	ENSPTRG00000021014_ex1/26	chr9	-	69302083	69304437
231	ENSPTRT00000056520	ENSPTRG00000021038_ex1/12	chr9	-	75483568	75486793
232	ENSPTRT00000050236	ENSPTRG00000021064_ex15/15	chr9	+	83820258	83820296
233	ENSPTRT00000056496	ENSPTRG00000029233_ex3/3	chr9	+	86343954	86344152
234	ENSPTRT00000039009	ENSPTRG00000021088_ex6/6	chr9	+	87605288	87608920
235	ENSPTRT00000039024	ENSPTRG00000021098_ex13/13	chr9	+	90051729	90052339
236	ENSPTRT00000056475	ENSPTRG00000021118_ex1/5	chr9	-	92057562	92060044
237	ENSPTRT00000044963	ENSPTRG00000021155_ex1/14	chr9	-	95695008	95697715
238	ENSPTRT00000039179	ENSPTRG00000021186_ex8/8	chr9	+	99097734	99101018
239	ENSPTRT00000039271	ENSPTRG00000021242_ex14/14	chr9	+	109608869	109608968
240	ENSPTRT00000039545	ENSPTRG00000021378_ex3/3	chr9	+	126604059	126606797
241	ENSPTRT00000039684	ENSPTRG00000021443_ex3/4	chr9	+	128752188	128754353
244	ENSPTRT00000039793	ENSPTRG00000021484_ex1/2	chr9	-	131264426	131267707
245	ENSPTRT00000057922	ENSPTRG00000002267_ex15/15	chr10	+	6388444	6391072
246	ENSPTRT00000004162	ENSPTRG00000002271_ex1/21	chr10	-	7329775	7329916
247	ENSPTRT00000004188	ENSPTRG00000002286_ex1/15	chr10	-	11729331	11732574
248	ENSPTRT00000004209	ENSPTRG00000002297_ex1/3	chr10	-	13219888	13221875
249	ENSPTRT00000004265	ENSPTRG00000002325_ex1/8	chr10	-	17227808	17228437
250	ENSPTRT00000004331	ENSPTRG00000002361_ex1/1	chr10	+	24021003	24023906
251	ENSPTRT00000004378	ENSPTRG00000002385_ex1/7	chr10	-	28316175	28318712
252	ENSPTRT00000050381	ENSPTRG00000002415_ex1/27	chr10	-	34860458	34862460
253	ENSPTRT00000004541	ENSPTRG00000002443_ex7/7	chr10	+	43348980	43351037
254	ENSPTRT00000004547	ENSPTRG00000002446_ex1/4	chr10	-	43572326	43574647
256	ENSPTRT00000004718	ENSPTRG00000002526_ex1/21	chr10	-	58879569	58880994
257	ENSPTRT00000004761	ENSPTRG00000002545_ex3/3	chr10	+	66077671	66081190
258	ENSPTRT00000042292	ENSPTRG00000002588_ex1/5	chr10	-	69383772	69386309
259	ENSPTRT00000005032	ENSPTRG00000002670_ex1/4	chr10	-	78692312	78696461
260	ENSPTRT00000043599	ENSPTRG00000002697_ex11/11	chr10	+	84626257	84631339
261	ENSPTRT00000005200	ENSPTRG00000002753_ex1/10	chr10	-	92363027	92363255
264	ENSPTRT00000005552	ENSPTRG00000002919_ex1/10	chr10	-	104334898	104335196
266	ENSPTRT00000005644	ENSPTRG00000002956_ex1/1	chr10	+	114737651	114740513
267	ENSPTRT00000044603	ENSPTRG00000002965_ex30/30	chr10	+	116662276	116662398
268	ENSPTRT00000043954	ENSPTRG00000002982_ex2/7	chr10	-	118742918	118744886
269	ENSPTRT00000057301	ENSPTRG00000003005_ex1/12	chr10	-	122581227	122581969
270	ENSPTRT00000006038	ENSPTRG00000003151_ex2/6	chr11	-	1316926	1317108
271	ENSPTRT00000006156	ENSPTRG00000003220_ex2/2	chr11	+	4475373	4476807
272	ENSPTRT00000055726	ENSPTRG00000028737_ex1/2	chr11	-	4507001	4508242
273	ENSPTRT00000006277	ENSPTRG00000003309_ex7/8	chr11	+	6780733	6780826
277	ENSPTRT00000006594	ENSPTRG00000003501_ex18/18	chr11	+	35509878	35513147
279	ENSPTRT00000006601	ENSPTRG00000003504_ex5/5	chr11	+	36094814	36096665
280	ENSPTRT00000055621	ENSPTRG00000003509_ex10/10	chr11	+	36757238	36760085
281	ENSPTRT00000006617	ENSPTRG00000003515_ex1/2	chr11	-	40509899	40512029
282	ENSPTRT00000007471	ENSPTRG00000004007_ex1/29	chr11	-	68762206	68767781
283	ENSPTRT00000007612	ENSPTRG00000004088_ex17/17	chr11	+	74520469	74521172
284	ENSPTRT00000007616	ENSPTRG00000004091_ex1/4	chr11	-	74735121	74737052
286	ENSPTRT00000007782	ENSPTRG00000004171_ex1/11	chr11	-	91675893	91677055
288	ENSPTRT00000007819	ENSPTRG00000004191_ex2/2	chr11	+	93661077	93665355
290	ENSPTRT00000008343	ENSPTRG00000004507_ex1/30	chr12	-	293380	295222
293	ENSPTRT00000008475	ENSPTRG00000004581_ex1/2	chr12	-	6842169	6844804
294	ENSPTRT00000042890	ENSPTRG00000004738_ex1/4	chr12	-	17011107	17014052
295	ENSPTRT00000045962	ENSPTRG00000004748_ex16/16	chr12	+	21230364	21231276
296	ENSPTRT00000008930	ENSPTRG00000004825_ex10/10	chr12	+	50331402	50332789
297	ENSPTRT00000046590	ENSPTRG00000004834_ex1/23	chr12	-	48797134	48797468
298	ENSPTRT00000008986	ENSPTRG00000004853_ex1/22	chr12	-	43878416	43881520
300	ENSPTRT00000009288	ENSPTRG00000005048_ex4/4	chr12	+	34558929	34559112
301	ENSPTRT00000067935	ENSPTRG00000005162_ex7/7	chr12	+	27809309	27811444
302	ENSPTRT00000009500	ENSPTRG00000005165_ex10/10	chr12	+	26862082	26866732
303	ENSPTRT00000046438	ENSPTRG00000005170_ex2/23	chr12	-	25333690	25335042
304	ENSPTRT00000064374	ENSPTRG00000005184_ex1/5	chr12	-	23489490	23489538
306	ENSPTRT00000009570	ENSPTRG00000005208_ex1/10	chr12	-	69988675	69990879
307	ENSPTRT00000009596	ENSPTRG00000005218_ex3/3	chr12	+	70756808	70757342
309	ENSPTRT00000009675	ENSPTRG00000005262_ex1/9	chr12	-	81441023	81441354
310	ENSPTRT00000009709	ENSPTRG00000005281_ex1/10	chr12	-	89345218	89349618
311	ENSPTRT00000067114	ENSPTRG00000005286_ex1/22	chr12	-	90433870	90437113
312	ENSPTRT00000009881	ENSPTRG00000005379_ex4/4	chr12	+	105900078	105901235
313	ENSPTRT00000010347	ENSPTRG00000005627_ex6/6	chr12	+	130686581	130689403
314	ENSPTRT00000010349	ENSPTRG00000005629_ex8/8	chr12	+	130983338	130985372
316	ENSPTRT00000010476	ENSPTRG00000005681_ex1/2	chr13	-	19669675	19674713
317	ENSPTRT00000045156	ENSPTRG00000022593_ex1/1	chr13	+	24696339	24698737
318	ENSPTRT00000010645	ENSPTRG00000005785_ex2/2	chr13	+	36486120	36489038
324	ENSPTRT00000010765	ENSPTRG00000005856_ex19/19	chr13	+	46601773	46601980
325	ENSPTRT00000010764	ENSPTRG00000005856_ex18/18	chr13	+	46610791	46611817
326	ENSPTRT00000010791	ENSPTRG00000005872_ex1/9	chr13	-	49199374	49201702
328	ENSPTRT00000010816	ENSPTRG00000005888_ex4/4	chr13	+	51198317	51199124
329	ENSPTRT00000060167	ENSPTRG00000005914_ex1/4	chr13	+	57541135	57544592
330	ENSPTRT00000060167	ENSPTRG00000005914_ex4/4	chr13	+	57636675	57640992
331	ENSPTRT00000049255	ENSPTRG00000005922_ex1/4	chr13	-	66347305	66347679
332	ENSPTRT00000010876	ENSPTRG00000005924_ex1/12	chr13	-	71617158	71619876
333	ENSPTRT00000010989	ENSPTRG00000005983_ex2/2	chr13	+	98230434	98234214
334	ENSPTRT00000060071	ENSPTRG00000031125_ex1/3	chr13	-	108180828	108181118
335	ENSPTRT00000011069	ENSPTRG00000006030_ex2/5	chr13	-	110828291	110828707
337	ENSPTRT00000011516	ENSPTRG00000006284_ex14/14	chr14	+	36685331	36689685
339	ENSPTRT00000011584	ENSPTRG00000006329_ex1/10	chr14	-	49445365	49445561
341	ENSPTRT00000059418	ENSPTRG00000030707_ex1/2	chr14	-	70164857	70167429
342	ENSPTRT00000011913	ENSPTRG00000006504_ex17/18	chr14	+	72245185	72245226
344	ENSPTRT00000044314	ENSPTRG00000006831_ex1/10	chr15	-	24022275	24026886
346	ENSPTRT00000048729	ENSPTRG00000006912_ex1/4	chr15	-	37053471	37057462
347	ENSPTRT00000049347	ENSPTRG00000007092_ex1/20	chr15	-	50860560	50864560
349	ENSPTRT00000013091	ENSPTRG00000007095_ex1/6	chr15	-	52617337	52619336
350	ENSPTRT00000058382	ENSPTRG00000030242_ex1/2	chr15	-	71538795	71539607
352	ENSPTRT00000013505	ENSPTRG00000007322_ex1/7	chr15	-	74912052	74912990
355	ENSPTRT00000013596	ENSPTRG00000007375_ex3/3	chr15	+	80270587	80273394
356	ENSPTRT00000013844	ENSPTRG00000007511_ex1/9	chr15	-	99222974	99224705
357	ENSPTRT00000064224	ENSPTRG00000007671_ex10/10	chr16	+	3063262	3065780
358	ENSPTRT00000014217	ENSPTRG00000007711_ex1/9	chr16	-	4083323	4084515
359	ENSPTRT00000014286	ENSPTRG00000007751_ex6/6	chr16	+	9399757	9400002
360	ENSPTRT00000014328	ENSPTRG00000007785_ex12/12	chr16	+	12945855	12945982
361	ENSPTRT00000014331	ENSPTRG00000007787_ex1/4	chr16	-	13043566	13048747
364	ENSPTRT00000014476	ENSPTRG00000007857_ex2/2	chr16	+	21339260	21341066
365	ENSPTRT00000014585	ENSPTRG00000007907_ex2/2	chr16	+	26511341	26511978
367	ENSPTRT00000060311	ENSPTRG00000007918_ex1/6	chr16	-	28223998	28224575
368	ENSPTRT00000048611	ENSPTRG00000008118_ex9/9	chr16	+	53461731	53462956
370	ENSPTRT00000015271	ENSPTRG00000008282_ex5/5	chr16	+	69284533	69288369
371	ENSPTRT00000015716	ENSPTRG00000008522_ex1/4	chr17	-	1384134	1385603
373	ENSPTRT00000015851	ENSPTRG00000008589_ex1/5	chr17	-	4345715	4349035
374	ENSPTRT00000016130	ENSPTRG00000008761_ex2/14	chr17	-	46563082	46563407
375	ENSPTRT00000016188	ENSPTRG00000008789_ex2/2	chr17	+	42857032	42858161
377	ENSPTRT00000016709	ENSPTRG00000009070_ex21/21	chr17	+	19039809	19039944
380	ENSPTRT00000017361	ENSPTRG00000009468_ex5/5	chr17	+	58608670	58611085
381	ENSPTRT00000059603	ENSPTRG00000009538_ex1/16	chr17	-	63613744	63615086
382	ENSPTRT00000017599	ENSPTRG00000009599_ex2/3	chr17	-	72768518	72770376
383	ENSPTRT00000017604	ENSPTRG00000009600_ex1/43	chr17	-	72823387	72824373
384	ENSPTRT00000017816	ENSPTRG00000009707_ex5/5	chr17	+	77896315	77898491
385	ENSPTRT00000018008	ENSPTRG00000009806_ex10/10	chr17	+	82846790	82850087
386	ENSPTRT00000018052	ENSPTRG00000009824_ex12/12	chr18	+	16073833	16076873
387	ENSPTRT00000018113	ENSPTRG00000009861_ex1/7	chr18	-	6725587	6728912
388	ENSPTRT00000066095	ENSPTRG00000009892_ex2/2	chr18	+	2612348	2613854
389	ENSPTRT00000018214	ENSPTRG00000009921_ex1/10	chr18	-	19407105	19408396
390	ENSPTRT00000018330	ENSPTRG00000009986_ex4/6	chr18	+	41148135	41151595
391	ENSPTRT00000018370	ENSPTRG00000010010_ex1/4	chr18	-	45146349	45148407
392	ENSPTRT00000018426	ENSPTRG00000010042_ex28/28	chr18	+	53455325	53458132
394	ENSPTRT00000018439	ENSPTRG00000010052_ex9/13	chr18	-	55003298	55004470
395	ENSPTRT00000056599	ENSPTRG00000010075_ex7/7	chr18	+	58879822	58880109
396	ENSPTRT00000018483	ENSPTRG00000010079_ex1/3	chr18	-	59631472	59636871
397	ENSPTRT00000018558	ENSPTRG00000010117_ex8/9	chr18	+	71942385	71943401
